,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11
c_num_of_genes,0.10002941753620202,-0.44153554190854233,-0.4032664884517323,0.20481349199466484,0.11411835116397685,0.06277958353931867,-0.04588227461006199,-0.20743784192203468,-0.12574283260688102,-0.3446015330626818,-0.6275401672722521
c_len,0.3503367896121217,-0.33412909760908205,-0.2518445368307022,0.2762739455256679,0.006958727874868235,0.0847494933795582,-0.10428967995101199,-0.09837802315546343,-0.09980692303524906,-0.2211985579651248,0.734297772725627
c_genelenm,0.4212258273261053,0.21669305876113412,0.27178656173648447,0.052230526382336745,-0.23966354701962309,-0.2239025309750374,-0.022158136183643463,0.023124863039918574,-0.7548721075471106,-0.0709536858381336,-0.12471540373197393
c_genelensd,0.4781089035567876,0.09463034026042583,0.22615058928329387,0.0719836075841036,-0.18232492775428372,0.09968412487093631,0.037710233189801004,0.4570313032537749,0.4869166120738149,-0.4412330233731207,-0.14449186948243878
g_len,0.32516737051630845,0.3327555682857707,-0.3023811467252153,-0.0805513188648857,-0.07620930230703704,-0.1321885436313466,0.6414317223960612,-0.4624493770601596,0.18836484672367337,0.03912762274677378,0.005385541081329437
g_lendev_c,0.08084770330713655,0.25462343761029094,-0.6395629514135288,-0.22871138819854805,0.05921820722560706,0.29527611530862014,0.021189923020074865,0.5511318767659035,-0.2304997368120005,0.13874240140416758,-0.0033413463339560003
g_abspos,-0.11627120271989494,0.2659842481809266,-0.16461755817426252,0.6660304558078164,0.29149139976023725,-0.5376254838638785,0.008351332470128144,0.2511863694692142,0.06931073498821565,0.054295129635755446,-0.010639808875119283
g_terminal,-0.08073191676796873,0.37597887293373217,0.21180651731481842,0.4076866371983422,0.2975038369140617,0.6947856300694663,0.09030656625507937,-0.17995470207190556,-0.12804614427531694,-0.11226703593230926,-0.01666049033906236
c_pearson_r,0.4991666586428361,-0.09538277299218571,0.026176902614974393,0.18691054666696102,0.034187157407990956,0.13952244902828814,-0.29953960696425136,-0.0927427628147825,0.1875247904834355,0.7230099295504773,-0.17101056647488638
g_pearson_r_o,0.2807207980376294,-0.03688726420627043,0.1695930734435301,-0.3814335328805047,0.8426771562905464,-0.15429049207599427,0.004604570798120138,0.015336958078745314,-0.03659662615712385,-0.09590674775476647,0.02962474265658104
g_pearson_r_c,0.030993607530850287,0.4892521725312494,-0.21692241849138305,-0.15743253836595883,-0.04672909778580234,-0.0954195022849147,-0.6893849205175894,-0.3405267002467154,0.14488455750775237,-0.2536261799462273,0.0038861050819191667
