g_name,c_name,c_num_of_genes,c_len,c_pct_assemby_len,c_genelenm,c_genelensd,c_pearson_r,c_pearson_p,c_gc_cont,c_gcdev,g_len,g_lendev_c,g_lendev_o,g_abspos,g_terminal,g_single,g_pearson_r_o,g_pearson_p_o,g_pearson_r_c,g_pearson_p_c,g_gc_cont,g_gcdev_c,g_gcdev_o
GBPCPCFC_00875,gnl|Prokka|GBPCPCFC_19,3,4017,0.0018,1220.0,561.7099,0.4271,0.0,0.6794,2.8302,2013,1.4118,1.5355,0.9397,1,0,0.2778,0.0,0.7271,0.0,0.6731,-0.3132,2.5766
GBPCPCFC_00876,gnl|Prokka|GBPCPCFC_19,3,4017,0.0018,1220.0,561.7099,0.4271,0.0,0.6794,2.8302,864,-0.6338,-0.0328,0.507,0,0,0.0961,0.1429,0.3741,0.0,0.6968,1.7141,2.7876
GBPCPCFC_00877,gnl|Prokka|GBPCPCFC_19,3,4017,0.0018,1220.0,561.7099,0.4271,0.0,0.6794,2.8302,783,-0.778,-0.1434,0.9133,1,0,0.2579,0.0,0.4745,0.0,0.6641,-1.0863,2.4962
GBPCPCFC_00124,gnl|Prokka|GBPCPCFC_2,5,6699,0.0029,1121.4,349.7614,0.5439,0.0,0.6556,2.6071,843,-0.796,-0.0615,0.9776,1,0,0.1972,0.0024,0.4184,0.0,0.6619,-0.3673,2.4766
GBPCPCFC_00125,gnl|Prokka|GBPCPCFC_2,5,6699,0.0029,1121.4,349.7614,0.5439,0.0,0.6556,2.6071,816,-0.8732,-0.0983,0.7817,0,0,0.2679,0.0,0.3866,0.0,0.6654,-0.1516,2.508
GBPCPCFC_00126,gnl|Prokka|GBPCPCFC_2,5,6699,0.0029,1121.4,349.7614,0.5439,0.0,0.6556,2.6071,1635,1.4684,1.0195,0.4975,0,0,0.2975,0.0,0.5988,0.0,0.663,-0.3014,2.4862
GBPCPCFC_00127,gnl|Prokka|GBPCPCFC_2,5,6699,0.0029,1121.4,349.7614,0.5439,0.0,0.6556,2.6071,1452,0.9452,0.7698,0.4279,0,0,0.3535,0.0,0.5057,0.0,0.6928,1.5275,2.7526
GBPCPCFC_00128,gnl|Prokka|GBPCPCFC_2,5,6699,0.0029,1121.4,349.7614,0.5439,0.0,0.6556,2.6071,861,-0.7445,-0.0369,0.7811,1,0,0.1402,0.0273,0.3813,0.0,0.6434,-1.5002,2.3117
GBPCPCFC_00692,gnl|Prokka|GBPCPCFC_13,4,4435,0.002,1059.0,579.4855,0.2325,0.0002,0.6762,2.8006,1653,1.025,1.0441,0.9644,1,0,0.1194,0.0605,0.7101,0.0,0.6661,-0.9935,2.5136
GBPCPCFC_00693,gnl|Prokka|GBPCPCFC_13,4,4435,0.002,1059.0,579.4855,0.2325,0.0002,0.6762,2.8006,450,-1.0509,-0.5979,0.1894,0,0,0.1494,0.0321,0.3265,0.0,0.6756,0.0993,2.5983
