#gene_id	taxID	e_value	fasta_id
GBPCPCFC_00875	4842	1.17e-116	GBPCPCFC_00875-0
GBPCPCFC_00876	33154	6.20e-203	GBPCPCFC_00876-0
GBPCPCFC_00877	2759	3.46e-17	GBPCPCFC_00877-0
GBPCPCFC_00124	33154	9.82e-194	GBPCPCFC_00124-0
GBPCPCFC_00125	64495	3.23e-79	GBPCPCFC_00125-0
GBPCPCFC_00126			GBPCPCFC_00126-0
GBPCPCFC_00127	40323	8.01e-215	GBPCPCFC_00127-0
GBPCPCFC_00128	33154	7.10e-37	GBPCPCFC_00128-0
GBPCPCFC_00692	1206794	0.0	GBPCPCFC_00692-0
GBPCPCFC_00693	198620	4.53e-68	GBPCPCFC_00693-0
GBPCPCFC_00694	198620	4.09e-25	GBPCPCFC_00694-0
GBPCPCFC_00695	64495	7.58e-32	GBPCPCFC_00695-0
GBPCPCFC_02166			GBPCPCFC_02166-0
GBPCPCFC_02167	291331	6.71e-98	GBPCPCFC_02167-0
GBPCPCFC_02168			GBPCPCFC_02168-0
GBPCPCFC_02169	936053	1.04e-87	GBPCPCFC_02169-0
GBPCPCFC_02170	64495	1.23e-230	GBPCPCFC_02170-0
GBPCPCFC_02171	64495	1.20e-135	GBPCPCFC_02171-0
GBPCPCFC_02172	64495	9.88e-192	GBPCPCFC_02172-0
GBPCPCFC_02173	64495	2.16e-60	GBPCPCFC_02173-0
GBPCPCFC_02174	40323	6.15e-151	GBPCPCFC_02174-0
GBPCPCFC_02154	33154	3.35e-128	GBPCPCFC_02154-0
GBPCPCFC_02155	1206794	1.76e-06	GBPCPCFC_02155-0
GBPCPCFC_02156			GBPCPCFC_02156-0
GBPCPCFC_02157	40323	1.11e-111	GBPCPCFC_02157-0
GBPCPCFC_02158	64495	1.00e-102	GBPCPCFC_02158-0
GBPCPCFC_02159	64495	1.99e-47	GBPCPCFC_02159-0
GBPCPCFC_02160	40323	3.76e-121	GBPCPCFC_02160-0
GBPCPCFC_02161	2	3.92e-95	GBPCPCFC_02161-0
GBPCPCFC_02162	2	9.47e-144	GBPCPCFC_02162-0
GBPCPCFC_02163	2	2.74e-207	GBPCPCFC_02163-0
GBPCPCFC_02164	64495	5.52e-61	GBPCPCFC_02164-0
GBPCPCFC_02165	2759	3.91e-09	GBPCPCFC_02165-0
GBPCPCFC_00895			GBPCPCFC_00895-0
GBPCPCFC_00896			GBPCPCFC_00896-0
GBPCPCFC_00897			GBPCPCFC_00897-0
GBPCPCFC_00898	64495	5.07e-08	GBPCPCFC_00898-0
GBPCPCFC_00899	114280	3.94e-21	GBPCPCFC_00899-0
GBPCPCFC_00900			GBPCPCFC_00900-0
GBPCPCFC_00901			GBPCPCFC_00901-0
GBPCPCFC_00902	2	0.0	GBPCPCFC_00902-0
GBPCPCFC_00903	33154	8.90e-87	GBPCPCFC_00903-0
GBPCPCFC_00904	1303443	1.87e-17	GBPCPCFC_00904-0
GBPCPCFC_00905	33154	4.79e-214	GBPCPCFC_00905-0
GBPCPCFC_00906	1224	3.10e-10	GBPCPCFC_00906-0
GBPCPCFC_00907	573	8.73e-12	GBPCPCFC_00907-0
GBPCPCFC_00908			GBPCPCFC_00908-0
GBPCPCFC_00909	33154	1.23e-222	GBPCPCFC_00909-0
GBPCPCFC_00910	64495	1.81e-55	GBPCPCFC_00910-0
GBPCPCFC_00911	40324	1.54e-239	GBPCPCFC_00911-0
GBPCPCFC_00912	64495	3.60e-80	GBPCPCFC_00912-0
GBPCPCFC_00913	64495	1.35e-240	GBPCPCFC_00913-0
GBPCPCFC_02136	64495	4.78e-310	GBPCPCFC_02136-0
GBPCPCFC_02137	40323	6.61e-149	GBPCPCFC_02137-0
GBPCPCFC_02138	1236	3.46e-143	GBPCPCFC_02138-0
GBPCPCFC_02139	40323	1.98e-125	GBPCPCFC_02139-0
GBPCPCFC_02140	64495	2.63e-57	GBPCPCFC_02140-0
GBPCPCFC_02141	64495	1.10e-89	GBPCPCFC_02141-0
GBPCPCFC_02142	2	4.93e-189	GBPCPCFC_02142-0
GBPCPCFC_02143	64495	1.05e-43	GBPCPCFC_02143-0
GBPCPCFC_02144	33154	2.49e-151	GBPCPCFC_02144-0
GBPCPCFC_02145	58291	7.41e-35	GBPCPCFC_02145-0
GBPCPCFC_02146	1184266	2.91e-18	GBPCPCFC_02146-0
GBPCPCFC_02147	64495	1.70e-148	GBPCPCFC_02147-0
GBPCPCFC_02148	64495	4.93e-18	GBPCPCFC_02148-0
GBPCPCFC_02149	64495	3.51e-158	GBPCPCFC_02149-0
GBPCPCFC_02150	64495	2.92e-83	GBPCPCFC_02150-0
GBPCPCFC_02151	4842	1.24e-107	GBPCPCFC_02151-0
GBPCPCFC_02152	64495	1.77e-62	GBPCPCFC_02152-0
GBPCPCFC_02153	378806	1.04e-28	GBPCPCFC_02153-0
GBPCPCFC_00696	40324	6.91e-115	GBPCPCFC_00696-0
GBPCPCFC_00697	2018661	4.35e-22	GBPCPCFC_00697-0
GBPCPCFC_00698	93759	1.64e-32	GBPCPCFC_00698-0
GBPCPCFC_00699	64495	3.47e-138	GBPCPCFC_00699-0
GBPCPCFC_00700	287	1.27e-68	GBPCPCFC_00700-0
GBPCPCFC_00701	286	1.62e-42	GBPCPCFC_00701-0
GBPCPCFC_00702	936053	1.96e-07	GBPCPCFC_00702-0
GBPCPCFC_00703	2	3.89e-263	GBPCPCFC_00703-0
GBPCPCFC_00704	2	1.62e-198	GBPCPCFC_00704-0
GBPCPCFC_00705	33154	1.61e-96	GBPCPCFC_00705-0
GBPCPCFC_00706			GBPCPCFC_00706-0
GBPCPCFC_00707	64495	1.46e-16	GBPCPCFC_00707-0
GBPCPCFC_00708	40323	3.98e-129	GBPCPCFC_00708-0
GBPCPCFC_00709	33154	2.90e-133	GBPCPCFC_00709-0
