g_name,c_name,c_num_of_genes,c_len,c_pct_assemby_len,c_genelenm,c_genelensd,c_pearson_r,c_pearson_p,c_gc_cont,c_gcdev,g_len,g_lendev_c,g_lendev_o,g_abspos,g_terminal,g_single,g_pearson_r_o,g_pearson_p_o,g_pearson_r_c,g_pearson_p_c,g_gc_cont,g_gcdev_c,g_gcdev_o,PC_1,PC_2,PC_3,diamond_header,fasta_header,best_hit,best_hitID,bh_pident,bh_evalue,bh_bitscore,lca,lcaID,refined_lca,refined_lcaID,taxon_assignment,taxon_assignmentID,is_target,plot_label,plot_labelID,start,end,upstream_gene,downstream_gene,gene_biotype
LONINKCB_00521,contig_101,4,5416,0.0,239.25,45.4168,0.2438,0.0001,0.3471,-0.8798,204,-0.7761,-0.4481,0.4614,1,0,-0.0466,0.5135,0.1612,0.0229,0.3382,-0.6812,-0.8025,5.116338246519335,-1.489840150439531,-0.42276115761500827,LONINKCB_00521-0,LONINKCB_00521-0,,,,,,,,,,,,0,Unassigned,,1459,1662,,LONINKCB_00522,mRNA
LONINKCB_00522,contig_101,4,5416,0.0,239.25,45.4168,0.2438,0.0001,0.3471,-0.8798,204,-0.7761,-0.4481,0.1611,0,0,0.009,0.8965,0.0599,0.3868,0.4412,0.9837,1.3131,3.729794907036543,-1.6339268858607092,-0.9193495357351847,LONINKCB_00522-0,LONINKCB_00522-0,,,,,,,,,,,,0,Unassigned,,2272,2475,LONINKCB_00521,LONINKCB_00523,mRNA
LONINKCB_00523,contig_101,4,5416,0.0,239.25,45.4168,0.2438,0.0001,0.3471,-0.8798,315,1.6679,0.3226,0.0876,0,0,0.2119,0.0009,0.0439,0.4968,0.4317,0.8312,1.1193,3.736165814838805,0.788632045159453,-2.1640449912734914,LONINKCB_00523-0,LONINKCB_00523-0,,,,,,,,,,,,0,Unassigned,,2632,2946,LONINKCB_00522,LONINKCB_00524,mRNA
LONINKCB_00524,contig_101,4,5416,0.0,239.25,45.4168,0.2438,0.0001,0.3471,-0.8798,234,-0.1156,-0.2398,0.6786,1,0,-0.0915,0.226,0.0945,0.2111,0.2949,-1.3826,-1.6937,5.0168252951106265,-1.2002507150026926,-0.42453484079138093,LONINKCB_00524-0,LONINKCB_00524-0,,,,,,,,,,,,0,Unassigned,,4313,4546,LONINKCB_00523,,mRNA
LONINKCB_00628,contig_102,13,13011,0.0,667.1538,277.7865,0.3792,0.0,0.4024,4.2734,279,-1.3973,0.0727,0.9239,1,0,0.1127,0.091,0.2182,0.001,0.4588,1.2765,1.6749,1.908710981458998,5.616304005177454,12.687133173979515,LONINKCB_00628-0,LONINKCB_00628-0,,,,,,,,,,,,0,Unassigned,,496,774,,LONINKCB_00629,mRNA
LONINKCB_00629,contig_102,13,13011,0.0,667.1538,277.7865,0.3792,0.0,0.4024,4.2734,231,-1.5701,-0.2606,0.8761,0,0,0.0023,0.9726,0.2042,0.0021,0.4329,-0.0561,1.143,0.5698504830168076,4.818880049803299,12.546519475175737,LONINKCB_00629-0,LONINKCB_00629-0,,,,,,,,,,,,0,Unassigned,,807,1037,LONINKCB_00628,LONINKCB_00630,mRNA
LONINKCB_00630,contig_102,13,13011,0.0,667.1538,277.7865,0.3792,0.0,0.4024,4.2734,1044,1.3566,5.3843,0.523,0,0,-0.0249,0.6922,0.31,0.0,0.4377,0.193,1.2425,0.49808779249900126,9.991286804676266,10.475167891052024,LONINKCB_00630-0,LONINKCB_00630-0,,,,,,,,,,,,0,Unassigned,,3104,4147,LONINKCB_00629,LONINKCB_00631,mRNA
LONINKCB_00631,contig_102,13,13011,0.0,667.1538,277.7865,0.3792,0.0,0.4024,4.2734,294,-1.3433,0.1768,0.337,0,0,0.1682,0.0113,0.3348,0.0,0.398,-1.8553,0.4249,0.7548214696424357,5.851800604225826,11.771798256927154,LONINKCB_00631-0,LONINKCB_00631-0,,,,,,,,,,,,0,Unassigned,,4314,4607,LONINKCB_00630,LONINKCB_00632,mRNA
LONINKCB_00632,contig_102,13,13011,0.0,667.1538,277.7865,0.3792,0.0,0.4024,4.2734,441,-0.8141,1.1975,0.291,0,0,0.1367,0.034,0.3259,0.0,0.3991,-1.7969,0.4482,0.7033366895218588,6.671183226685673,11.492986915715658,LONINKCB_00632-0,LONINKCB_00632-0,,,,,,,,,,,,0,Unassigned,,4613,5053,LONINKCB_00631,LONINKCB_00633,mRNA
LONINKCB_00633,contig_102,13,13011,0.0,667.1538,277.7865,0.3792,0.0,0.4024,4.2734,888,0.795,4.3012,0.2238,0,0,0.0042,0.9465,0.4306,0.0,0.4122,-1.124,0.7168,0.6745036072544266,9.243324430334903,10.537530813323112,LONINKCB_00633-0,LONINKCB_00633-0,,,,,,,,,,,,0,Unassigned,,5050,5937,LONINKCB_00632,LONINKCB_00634,mRNA
