#gene_id	taxID	e_value	fasta_id
None-gene-2	7148	1.05e-25	None-gene-2-0
None-gene-910	7147	2.37e-08	None-gene-910-0
None-gene-3818	35572	3.40e-70	None-gene-3818-0
None-gene-9933	33392	2.85e-45	None-gene-9933-0
None-gene-14790	35571	2.79e-29	None-gene-14790-0
None-gene-16425	7184	4.73e-33	None-gene-16425-0
None-gene-17762	1913989	1.24e-84	None-gene-17762-0
None-gene-19488	7148	1.05e-53	None-gene-19488-0
None-gene-20450	35571	2.47e-22	None-gene-20450-0
None-gene-22386	2794478	2.19e-15	None-gene-22386-0
None-gene-35903	35571	2.69e-19	None-gene-35903-0
None-gene-36827	7148	1.67e-08	None-gene-36827-0
None-gene-37011	67767	4.04e-63	None-gene-37011-0
None-gene-37739	7147	1.58e-05	None-gene-37739-0
None-gene-40008	41830	1.17e-30	None-gene-40008-0
None-gene-41109	7184	5.21e-37	None-gene-41109-0
None-gene-41581	7147	2.54e-36	None-gene-41581-0
None-gene-42033	7148	6.86e-82	None-gene-42033-0
None-gene-42349	6333	1.48e-05	None-gene-42349-0
None-gene-44266	33392	4.93e-34	None-gene-44266-0
None-gene-45189	35571	6.46e-44	None-gene-45189-0
None-gene-51765	35571	1.84e-32	None-gene-51765-0
None-gene-52471	7148	6.08e-59	None-gene-52471-0
None-gene-54040	41830	5.34e-19	None-gene-54040-0
None-gene-58937	7147	6.43e-08	None-gene-58937-0
None-gene-59553			None-gene-59553-0
None-gene-60944	7147	1.19e-27	None-gene-60944-0
None-gene-66186	35572	4.08e-23	None-gene-66186-0
None-gene-67085	33392	6.60e-12	None-gene-67085-0
None-gene-68920	33392	2.17e-11	None-gene-68920-0
None-gene-69991	7186	1.55e-242	None-gene-69991-0
None-gene-72052	35571	6.43e-55	None-gene-72052-0
None-gene-73715	7186	5.99e-138	None-gene-73715-0
None-gene-75179	33340	2.18e-33	None-gene-75179-0
None-gene-84922	33392	5.87e-29	None-gene-84922-0
None-gene-86763	7148	2.61e-18	None-gene-86763-0
None-gene-87106	35572	4.56e-38	None-gene-87106-0
None-gene-89599	7147	9.05e-36	None-gene-89599-0
None-gene-90952	7147	5.55e-20	None-gene-90952-0
None-gene-92377	149990	2.01e-22	None-gene-92377-0
None-gene-97726	7148	2.71e-15	None-gene-97726-0
None-gene-100444	33392	4.69e-10	None-gene-100444-0
None-gene-102234	33392	2.63e-11	None-gene-102234-0
None-gene-102989	35572	7.30e-20	None-gene-102989-0
None-gene-110762	35572	7.43e-21	None-gene-110762-0
None-gene-122583	35571	6.63e-11	None-gene-122583-0
