c_name,num_of_genes,lca,lcaID,percentage_target,most_abundant_taxon,target_bitscore_mean,target_bitscore_sd,target_evalue_mean,target_evalue_sd,other_bitscore_mean,other_bitscore_sd,other_evalue_mean,other_evalue_sd
contig_101,4,Unassigned,,0,,,,,,,,,
contig_102,13,cellular organisms,131567,0.38461538461538464,cellular organisms,158.26,81.64,2.3000003e-08,5.142956180544459e-08,245.0,117.38,5.95e-41,8.414570696119916e-41
contig_1005,31,Unassigned,,0,,,,,,,,,
contig_1017,39,Bradysia coprophila,38358,0,Bradysia coprophila,,,,,163.5,121.89,3.2025024725e-21,6.331877332319469e-21
contig_1003,54,Unassigned,,0,,,,,,,,,
contig_103,27,Arthropoda,6656,0.25925925925925924,Bradysia coprophila,92.3,51.07,5.600700325714286e-05,0.00010171406941690453,86.44,35.03,1.9700005920104397e-05,4.405053584730875e-05
contig_1001,58,Bradysia,35571,0.034482758620689655,Bradysia coprophila,97.35,32.03,2.515e-15,3.5567471093683344e-15,94.15,40.32,4.85000002525e-07,9.699999983166667e-07
contig_104,21,cellular organisms,131567,0.14285714285714285,Bradysia coprophila,298.23,323.8,2.3066666666666665e-15,3.9952638627922105e-15,140.5,31.82,3.900000000000095e-25,5.515432893254936e-25
contig_1018,64,cellular organisms,131567,0.0625,Bradysia,150.02,120.44,7.17502675000335e-15,1.4349982166753082e-14,392.5,112.43,7.25e-104,1.0253048327204938e-103
contig_1027,50,Bradysia,35571,0.1,Bradysia coprophila,182.3,97.56,7.0400000001772e-13,1.5741918561499463e-12,232.88,218.69,1.070000025403775e-28,3.0264170132137484e-28
contig_1050,26,Unassigned,,0,,,,,,,,,
contig_1009,81,Unassigned,,0,,,,,,,,,
contig_1042,73,Sciaridae,7184,0.136986301369863,Bradysia coprophila,135.69,77.79,2.947040227e-11,9.189944395699523e-11,282.06,190.6,2.1052631578947426e-05,9.176629354822467e-05
contig_1060,27,Pseudolycoriella hygida,35572,0,Pseudolycoriella hygida,,,,,52.4,,6.3e-06,
