#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_3	254214	44	N	N	1	none	*	1,3,5,1777,-6,5,1777,-6
contig_4	1469160	42	N	N	1	none	*	161,161,162,169,-168,162,163,163,-161,162,162,165,-162,-162,-163,-162,-162,-162,165,-162,165,-163,165,-162,-173,165,165,165,165,-164,-164,-164,-163,-163,-162,168,-162,-162,-162,-162,-162,-162,-161,-162,165,-162,-162,-161,-162,-161,-162,4
contig_9	55143	51	N	N	1	none	*	-1,9
contig_11	926	90	N	N	2	right	*	11
contig_12	975605	44	N	N	1	none	*	1875,1680,1678,1679,1875,1680,1678,1679,12,30
contig_13	1700798	46	N	N	1	none	*	-1084,-1088,-1084,-1086,-1084,-1084,-1092,-1084,-1084,-1084,-1085,-1084,-1084,-1084,-1084,-1084,-1084,-1088,-1088,-1087,-1084,-1087,-1089,-1084,-1091,-1092,-1084,-1085,-1086,-1093,-1084,-1085,-1084,-1084,-1084,-1084,-1084,-1084,-1085,-1084,-1088,-1085,-1088,-1085,-1092,-1084,-1084,-1084,-1084,-1084,-1091,-1087,-1095,-1087,-1084,-1089,-1084,-1084,-1088,-1084,-1084,-1088,-1084,-1084,-1084,-1084,-1084,-1085,-1093,-1084,-1084,-1084,-1084,-1085,13
contig_14	190269	42	N	N	1	none	*	853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,854,-853,14,855
contig_15	474103	41	N	N	1	none	*	-922,-922,-922,-922,-1823,-923,-922,-922,-922,-922,-922,-922,-922,-1823,-923,-922,-922,-922,-922,-1823,-923,-922,-922,-922,-922,-1823,-923,-922,-922,-922,-922,-922,15,829
contig_16	739026	32	N	N	1	none	*	16,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665
contig_17	17634260	45	N	N	1	none	*	17,1814
contig_46	6805	11	N	N	1	none	*	29,46,37,47
contig_62	45679	42	N	N	1	none	*	29,50,62
contig_66	10541	50	N	N	1	none	*	66
contig_75	3950822	43	N	N	1	none	*	-1817,75,1694,-1695,1694,-1695,1694,-1695,1694,-1695,1694
contig_76	2533788	45	N	N	1	none	*	269,269,271,-270,-269,-257,-254,-253,-252,76,-186,-184,-186,-184,-186,-184,-186,-184,-186,-184,-186,-184,-186,-184,-186,-184,-186,-184,-186,-184
contig_77	4046958	44	N	N	1	none	*	-757,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,77,324,313
contig_78	43599	41	N	N	1	right	*	78,-330
contig_79	1364368	44	N	N	1	none	*	112,79
contig_80	8777527	44	N	N	1	right	*	-257,-254,80
contig_81	993577	43	N	N	1	left	*	330,-333,-333,-333,-333,333,-333,345,81
contig_82	7433811	45	N	N	1	none	*	82,1817
contig_83	11955692	43	N	N	1	none	*	1817,83,187,188,187,188,187,188,187,188,187,188,191,188,187,188,187,188,187,188,187,188,187,188,187,188,187,188,187,188,187,188,187
contig_84	42260	13	N	N	1	right	*	84
contig_85	51472	21	N	N	1	none	*	85
contig_88	325476	31	N	N	1	none	*	88
contig_89	180640	12	N	N	1	none	*	89
contig_90	5606287	46	N	N	1	none	*	90
contig_91	116121	37	N	N	1	none	*	63,45,91,1557,-754
contig_92	13510754	45	N	N	1	none	*	92,734
contig_93	316337	31	N	N	1	none	*	248,93
contig_95	5906	9	N	N	1	none	*	29,29,95,-112
contig_96	195387	28	N	N	1	none	*	50,61,96
contig_97	339994	12	N	N	1	none	*	97
contig_98	2871108	44	N	N	1	right	*	1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1741,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,98
contig_101	5333	19	N	N	1	none	*	101
contig_102	12743	12	N	N	1	none	*	102,964,-759,758
contig_103	13051	18	N	N	1	none	*	103,964,-759,758
contig_104	16201	14	N	N	1	none	*	-41,-33,104,-759,758
contig_105	424354	31	N	N	1	none	*	105,-1831
contig_106	375883	13	N	N	1	none	*	106,-1831
contig_107	85298	34	N	N	1	none	*	107
contig_108	238194	29	N	N	1	none	*	108
contig_109	181544	11	N	N	1	none	*	758,109,1862,1863
contig_110	306755	12	N	N	1	none	*	110
contig_111	136143	14	N	N	1	none	*	111
contig_113	210716	13	N	N	1	none	*	810,113
contig_116	42225780	43	N	N	1	none	*	-375,376,116
contig_117	946662	13	N	N	1	none	*	117
contig_118	30225	15	N	N	1	none	*	118
contig_119	47845	26	N	N	1	none	*	-1780,119
contig_120	222218	15	N	N	1	none	*	120
contig_121	311644	13	N	N	1	none	*	121,-1193
contig_122	81267	33	N	N	1	none	*	122,-890,-888,889
contig_123	3636126	43	N	N	1	none	*	123
contig_125	745958	13	N	N	1	none	*	125
contig_126	162457	34	N	N	1	none	*	126
contig_127	254257	28	N	N	1	none	*	-1779,127,-1807
contig_128	227374	12	N	N	1	none	*	128,-1807
contig_129	79770	32	N	N	1	none	*	129
contig_131	255651	42	N	N	1	none	*	375,131
contig_132	356518	12	N	N	1	none	*	132
contig_133	376323	31	N	N	1	none	*	133
contig_134	207210	13	N	N	1	none	*	-544,134,-538
contig_135	277594	34	N	N	1	none	*	135
contig_136	2376882	44	N	N	1	both	*	330,136,-330
contig_137	6062302	46	N	N	1	right	*	137,-330
contig_138	10482448	45	N	N	1	left	*	138,756,756,756,756,756,756,756,756,756,756,756
contig_139	244597	15	N	N	1	none	*	1858,139
contig_140	904422	43	N	N	1	none	*	140,-1817
contig_141	163279	30	N	N	1	none	*	-1821,141,-1820
contig_142	153600	18	N	N	1	none	*	142
contig_143	2580546	46	N	N	1	none	*	1078,1079,-1078,143
contig_144	9972	8	N	N	1	both	*	144
contig_145	6402728	44	N	N	1	none	*	1809,755,-1809,145,1146
contig_146	1213488	44	N	N	1	both	*	330,-333,-333,-333,-333,-333,345,146
contig_147	3525102	44	N	N	1	none	*	147,1080,-1081,1080,-1081,1080
contig_148	5092945	46	N	N	1	none	*	1446,1447,1446,148,1826,942,1826,942,1826
contig_149	1418552	46	N	N	1	right	*	-257,-254,-253,-252,149
contig_150	1944838	44	N	N	1	none	*	-257,-254,-253,-252,150
contig_151	1359266	42	N	N	1	none	*	151,-855
contig_152	592348	13	N	N	1	both	*	152
contig_153	2794292	46	N	N	1	right	*	-257,-254,260,153
contig_155	203675	30	N	N	1	none	*	445,155
contig_157	47519	10	N	N	1	both	*	157
contig_158	6210	1	N	N	1	both	*	158
contig_159	15487	11	N	N	1	none	*	162,-168,170,163,162,161,-172,159,168,-162,-162,-162,-162,-162
contig_179	25819	6	N	N	1	none	*	162,-168,162,162,161,163,162,161,-168,162,179,-177
contig_180	13667	14	N	N	1	none	*	160,180,172,-162
contig_185	1883760	44	N	N	1	left	*	185,-1817
contig_193	1082	24	N	N	1	both	*	193
contig_194	2350196	41	N	N	1	none	*	-1445,-1445,-1444,-1445,-1443,-1442,194,-1850
contig_200	8161	36	N	N	1	none	*	200
contig_232	328080	44	N	N	1	none	*	209,232
contig_233	373821	39	N	N	1	none	*	233,390,391,391,390,390,390,390,391,390,392,391,392,390,390,390,390,390,390,390,390,390,390,390,394,390,390,390,390,390,390,392,390,390,391,390,391,390,390,391,390,391,390,390,390,390,390,391,392,392,390,390,390,390,390,390,390
contig_237	68484	9	N	N	1	both	*	237
contig_238	5280	217	Y	N	5	none	*	238
contig_240	99990	30	N	N	1	none	*	240,-917
contig_244	403625	35	N	N	1	none	*	244,249,-246
contig_245	7134	50	N	N	1	none	*	245,-246
contig_247	2635	56	N	N	1	none	*	247
contig_250	8438363	44	N	N	1	none	*	250,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285
contig_258	582915	45	N	N	1	none	*	-368,371,-369,-367,-367,-367,-368,-340,-332,335,-331,339,-369,-367,-367,-367,-367,-368,-340,-332,335,-331,339,258,375
contig_259	11808	14	N	N	1	none	*	259,1120
contig_261	204959	32	N	N	1	none	*	273,-257,-254,-253,-252,261,921
contig_262	137559	33	N	N	1	none	*	-257,-254,-253,-253,262
contig_263	200182	31	N	N	1	none	*	-257,-254,-253,-252,263,406
contig_264	1211823	12	N	N	1	none	*	-257,-254,-253,-252,264,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662
