RS_ID	BC_ID	Neighbor_ID	Gene_ID	Chrom	Start	End	Rep	core_id
QRW18479.1	XP_037028847.1	XP_037029388.1	LOC119069432	NC_050735.1	6054986	6056369	False	XP_037029388.1|LOC119069432|150
QRW18479.1	XP_037028847.1	XP_037029038.1	LOC119069193	NC_050735.1	6066799	6068688	False	XP_037029038.1|LOC119069193|370
QRW18479.1	XP_037028847.1	XP_037028494.1	LOC119068826	NC_050735.1	6070700	6075293	False	XP_037028494.1|LOC119068826|1300
QRW18479.1	XP_037028847.1	XP_037028847.1	LOC119069071	NC_050735.1	6085443	6100075	False	XP_037028847.1|LOC119069071|508
QRW18479.1	XP_037028847.1	XP_037028676.1	LOC119068915	NC_050735.1	6104602	6107780	False	XP_037028676.1|LOC119068915|903
QRW18479.1	XP_037028847.1	XP_037028783.1	LOC119069011	NC_050735.1	6148451	6157316	False	XP_037028783.1|LOC119069011|585
QRW18479.1	XP_037028847.1	XP_037045951.1	LOC119081269	NC_050735.1	6163695	6167507	False	XP_037045951.1|LOC119081269|224
QRW18479.1	XP_037028856.1	XP_037029388.1	LOC119069432	NC_050735.1	6054986	6056369	True	XP_037029388.1|LOC119069432|150
QRW18479.1	XP_037028856.1	XP_037029038.1	LOC119069193	NC_050735.1	6066799	6068688	True	XP_037029038.1|LOC119069193|370
QRW18479.1	XP_037028856.1	XP_037028494.1	LOC119068826	NC_050735.1	6070700	6075293	True	XP_037028494.1|LOC119068826|1300
QRW18479.1	XP_037028856.1	XP_037028847.1	LOC119069071	NC_050735.1	6085443	6100075	True	XP_037028847.1|LOC119069071|508
QRW18479.1	XP_037028856.1	XP_037028676.1	LOC119068915	NC_050735.1	6104602	6107780	True	XP_037028676.1|LOC119068915|903
QRW18479.1	XP_037028856.1	XP_037028783.1	LOC119069011	NC_050735.1	6148451	6157316	True	XP_037028783.1|LOC119069011|585
QRW18479.1	XP_037028856.1	XP_037045951.1	LOC119081269	NC_050735.1	6163695	6167507	True	XP_037045951.1|LOC119081269|224
QRW25588.1	XP_037025833.1	XP_037025836.1	LOC119067144	NW_023503293.1	4633699	4634843	True	XP_037025836.1|LOC119067144|275
QRW25588.1	XP_037025833.1	XP_037025810.1	LOC119067131	NW_023503293.1	4667562	4676800	True	XP_037025810.1|LOC119067131|1302
QRW25588.1	XP_037025833.1	XP_037026047.1	LOC119067273	NW_023503293.1	4684556	4694650	True	XP_037026047.1|LOC119067273|255
QRW25588.1	XP_037025833.1	XP_037025833.1	LOC119067140	NW_023503293.1	4695242	4696877	True	XP_037025833.1|LOC119067140|370
QRW25588.1	XP_037025833.1	XP_037025812.1	LOC119067132	NW_023503293.1	4739430	4790502	True	XP_037025812.1|LOC119067132|615
QRW25588.1	XP_037025833.1	XP_037025840.1	LOC119067147	NW_023503293.1	4798034	4798651	True	XP_037025840.1|LOC119067147|94
QRW25588.1	XP_037025833.1	XP_037025795.1	LOC119067126	NW_023503293.1	4837216	4838562	True	XP_037025795.1|LOC119067126|337
QRW23661.1	XP_037031341.1	XP_037031352.1	LOC119070919	NW_023503372.1	397680	404834	False	XP_037031352.1|LOC119070919|652
QRW23661.1	XP_037031341.1	XP_037031376.1	LOC119070933	NW_023503372.1	409783	413264	False	XP_037031376.1|LOC119070933|98
QRW23661.1	XP_037031341.1	XP_037031361.1	LOC119070924	NW_023503372.1	413723	421942	False	XP_037031361.1|LOC119070924|460
QRW23661.1	XP_037031341.1	XP_037031339.1	LOC119070913	NW_023503372.1	428101	436453	False	XP_037031339.1|LOC119070913|2398
QRW23661.1	XP_037031341.1	XP_037031342.1	LOC119070914	NW_023503372.1	445761	464720	False	XP_037031342.1|LOC119070914|1066
QRW23661.1	XP_037031341.1	XP_037031372.1	LOC119070932	NW_023503372.1	471079	474377	False	XP_037031372.1|LOC119070932|267
QRW23661.1	XP_037031341.1	XP_037031378.1	LOC119070938	NW_023503372.1	483034	483825	False	XP_037031378.1|LOC119070938|159
QRW23661.1	XP_037031340.1	XP_037031352.1	LOC119070919	NW_023503372.1	397680	404834	False	XP_037031352.1|LOC119070919|652
QRW23661.1	XP_037031340.1	XP_037031376.1	LOC119070933	NW_023503372.1	409783	413264	False	XP_037031376.1|LOC119070933|98
QRW23661.1	XP_037031340.1	XP_037031361.1	LOC119070924	NW_023503372.1	413723	421942	False	XP_037031361.1|LOC119070924|460
QRW23661.1	XP_037031340.1	XP_037031339.1	LOC119070913	NW_023503372.1	428101	436453	False	XP_037031339.1|LOC119070913|2398
QRW23661.1	XP_037031340.1	XP_037031342.1	LOC119070914	NW_023503372.1	445761	464720	False	XP_037031342.1|LOC119070914|1066
QRW23661.1	XP_037031340.1	XP_037031372.1	LOC119070932	NW_023503372.1	471079	474377	False	XP_037031372.1|LOC119070932|267
QRW23661.1	XP_037031340.1	XP_037031378.1	LOC119070938	NW_023503372.1	483034	483825	False	XP_037031378.1|LOC119070938|159
QRW23661.1	XP_037031339.1	XP_037031352.1	LOC119070919	NW_023503372.1	397680	404834	True	XP_037031352.1|LOC119070919|652
QRW23661.1	XP_037031339.1	XP_037031376.1	LOC119070933	NW_023503372.1	409783	413264	True	XP_037031376.1|LOC119070933|98
QRW23661.1	XP_037031339.1	XP_037031361.1	LOC119070924	NW_023503372.1	413723	421942	True	XP_037031361.1|LOC119070924|460
QRW23661.1	XP_037031339.1	XP_037031339.1	LOC119070913	NW_023503372.1	428101	436453	True	XP_037031339.1|LOC119070913|2398
QRW23661.1	XP_037031339.1	XP_037031342.1	LOC119070914	NW_023503372.1	445761	464720	True	XP_037031342.1|LOC119070914|1066
QRW23661.1	XP_037031339.1	XP_037031372.1	LOC119070932	NW_023503372.1	471079	474377	True	XP_037031372.1|LOC119070932|267
QRW23661.1	XP_037031339.1	XP_037031378.1	LOC119070938	NW_023503372.1	483034	483825	True	XP_037031378.1|LOC119070938|159
QRW23661.1, QRW26843.1	XP_037032572.1	XP_037032561.1	LOC119071684	NW_023503374.1	8508520	8510297	True	XP_037032561.1|LOC119071684|535
QRW23661.1, QRW26843.1	XP_037032572.1	XP_037032559.1	LOC119071683	NW_023503374.1	8519099	8521599	True	XP_037032559.1|LOC119071683|560
QRW23661.1, QRW26843.1	XP_037032572.1	XP_037032569.1	LOC119071686	NW_023503374.1	8524989	8528382	True	XP_037032569.1|LOC119071686|628
QRW23661.1, QRW26843.1	XP_037032572.1	XP_037032572.1	LOC119071690	NW_023503374.1	8579029	8582042	True	XP_037032572.1|LOC119071690|612
QRW23661.1, QRW26843.1	XP_037032572.1	XP_037032575.1	LOC119071692	NW_023503374.1	8630575	8631483	True	XP_037032575.1|LOC119071692|154
QRW23661.1, QRW26843.1	XP_037032572.1	XP_037032585.1	LOC119071702	NW_023503374.1	8670593	8679357	True	XP_037032585.1|LOC119071702|411
QRW23661.1, QRW26843.1	XP_037032572.1	XP_037032593.1	LOC119071704	NW_023503374.1	8699242	8700946	True	XP_037032593.1|LOC119071704|398
QRW19682.1	XP_037035063.1	XP_037034879.1	LOC119073479	NW_023503409.1	2841652	2885421	True	XP_037034879.1|LOC119073479|667
QRW19682.1	XP_037035063.1	XP_037035016.1	LOC119073565	NW_023503409.1	2902442	2904705	True	XP_037035016.1|LOC119073565|376
QRW19682.1	XP_037035063.1	XP_037035084.1	LOC119073612	NW_023503409.1	2925036	2926305	True	XP_037035084.1|LOC119073612|262
QRW19682.1	XP_037035063.1	XP_037035063.1	LOC119073594	NW_023503409.1	2934591	2956083	True	XP_037035063.1|LOC119073594|303
QRW19682.1	XP_037035063.1	XP_037035181.1	LOC119073677	NW_023503409.1	2963077	2964359	True	XP_037035181.1|LOC119073677|73
QRW19682.1	XP_037035063.1	XP_037035177.1	LOC119073676	NW_023503409.1	2965868	2966344	True	XP_037035177.1|LOC119073676|79
QRW19682.1	XP_037035063.1	XP_037035067.1	LOC119073599	NW_023503409.1	2979966	2981265	True	XP_037035067.1|LOC119073599|292
QRW27021.1	XP_037038661.1	XP_037038589.1	LOC119076058	NW_023503493.1	6939380	6943564	True	XP_037038589.1|LOC119076058|533
QRW27021.1	XP_037038661.1	XP_037038641.1	LOC119076091	NW_023503493.1	6972950	6975223	True	XP_037038641.1|LOC119076091|395
QRW27021.1	XP_037038661.1	XP_037038615.1	LOC119076072	NW_023503493.1	6977110	6983442	True	XP_037038615.1|LOC119076072|474
QRW27021.1	XP_037038661.1	XP_037038661.1	LOC119076106	NW_023503493.1	6984699	6986045	True	XP_037038661.1|LOC119076106|349
QRW27021.1	XP_037038661.1	XP_037038749.1	LOC119076167	NW_023503493.1	6992413	6994341	True	XP_037038749.1|LOC119076167|126
QRW27021.1	XP_037038661.1	XP_037038626.1	LOC119076080	NW_023503493.1	6997860	6999321	True	XP_037038626.1|LOC119076080|451
QRW27021.1	XP_037038661.1	XP_037038743.1	LOC119076163	NW_023503493.1	7001479	7014000	True	XP_037038743.1|LOC119076163|150
QRW25588.1	XP_037039505.1	XP_037039463.1	LOC119076673	NW_023503493.1	12147324	12248859	True	XP_037039463.1|LOC119076673|584
QRW25588.1	XP_037039505.1	XP_037039445.1	LOC119076662	NW_023503493.1	12267601	12312252	True	XP_037039445.1|LOC119076662|1258
QRW25588.1	XP_037039505.1	XP_037039481.1	LOC119076684	NW_023503493.1	12318153	12331192	True	XP_037039481.1|LOC119076684|457
QRW25588.1	XP_037039505.1	XP_037039505.1	LOC119076699	NW_023503493.1	12333363	12334725	True	XP_037039505.1|LOC119076699|345
QRW25588.1	XP_037039505.1	XP_037039483.1	LOC119076686	NW_023503493.1	12337635	12351046	True	XP_037039483.1|LOC119076686|423
QRW25588.1	XP_037039505.1	XP_037039459.1	LOC119076670	NW_023503493.1	12349633	12365109	True	XP_037039459.1|LOC119076670|610
QRW25588.1	XP_037039505.1	XP_037039524.1	LOC119076712	NW_023503493.1	12372081	12374219	True	XP_037039524.1|LOC119076712|246
QRW27021.1	XP_037043383.1	XP_037043286.1	LOC119079463	NW_023503584.1	3004040	3012789	True	XP_037043286.1|LOC119079463|1172
QRW27021.1	XP_037043383.1	XP_037043413.1	LOC119079533	NW_023503584.1	3074989	3076270	True	XP_037043413.1|LOC119079533|251
QRW27021.1	XP_037043383.1	XP_037043268.1	LOC119079456	NW_023503584.1	3104226	3114401	True	XP_037043268.1|LOC119079456|1774
QRW27021.1	XP_037043383.1	XP_037043383.1	LOC119079522	NW_023503584.1	3117695	3118897	True	XP_037043383.1|LOC119079522|334
QRW27021.1	XP_037043383.1	XP_037043301.1	LOC119079473	NW_023503584.1	3137167	3150461	True	XP_037043301.1|LOC119079473|793
QRW27021.1	XP_037043383.1	XP_037043649.1	LOC119079696	NW_023503584.1	3234695	3235252	True	XP_037043649.1|LOC119079696|185
QRW27021.1	XP_037043383.1	XP_037043356.1	LOC119079506	NW_023503584.1	3283104	3289940	True	XP_037043356.1|LOC119079506|428
