g_name,c_name,c_num_of_genes,c_len,c_pct_assemby_len,c_genelenm,c_genelensd,c_pearson_r,c_pearson_p,c_gc_cont,c_gcdev,g_len,g_lendev_c,g_lendev_o,g_abspos,g_terminal,g_single,g_pearson_r_o,g_pearson_p_o,g_pearson_r_c,g_pearson_p_c,g_gc_cont,g_gcdev_c,g_gcdev_o
None-gene-2,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,279,0.0039,-0.5394,1.0,1,0,0.1591,0.0227,0.1591,0.0227,0.4194,0.6724,1.135
None-gene-910,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,462,0.0072,-0.4931,1.0,0,0,-0.0389,0.5421,-0.0389,0.5421,0.4004,0.6372,0.5871
None-gene-3818,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,591,0.0095,-0.4604,0.9999,0,0,0.0946,0.131,0.0946,0.131,0.4095,0.654,0.8489
None-gene-9933,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,630,0.0102,-0.4505,0.9996,0,0,0.0573,0.3681,0.0573,0.3681,0.4048,0.6452,0.7124
None-gene-14790,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,249,0.0033,-0.547,0.9995,0,0,-0.0275,0.6771,-0.0275,0.6771,0.3629,0.5673,-0.4996
None-gene-16425,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,627,0.0102,-0.4513,0.9994,0,0,0.0148,0.8165,0.0148,0.8165,0.4051,0.6459,0.7223
None-gene-17762,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,1371,0.0237,-0.2627,0.9994,0,0,0.0441,0.4826,0.0441,0.4826,0.4458,0.7216,1.8999
None-gene-19488,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,825,0.0138,-0.4011,0.9993,0,0,0.1039,0.1019,0.1039,0.1019,0.4248,0.6825,1.2914
None-gene-20450,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,606,0.0098,-0.4566,0.9993,0,0,0.1219,0.0514,0.1219,0.0514,0.4472,0.7243,1.9411
None-gene-22386,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,861,0.0144,-0.392,0.9992,0,0,0.0522,0.4055,0.0522,0.4055,0.3879,0.6139,0.2248
None-gene-35903,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,201,0.0024,-0.5592,0.9987,0,0,0.0794,0.2305,0.0794,0.2305,0.3881,0.6141,0.2288
None-gene-36827,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,66,0.0,-0.5934,0.9987,0,0,-0.0678,0.4735,-0.0678,0.4735,0.4394,0.7097,1.7152
