g_name,c_name,c_num_of_genes,c_len,c_pct_assemby_len,c_genelenm,c_genelensd,c_pearson_r,c_pearson_p,c_gc_cont,c_gcdev,g_len,g_lendev_c,g_lendev_o,g_abspos,g_terminal,g_single,g_pearson_r_o,g_pearson_p_o,g_pearson_r_c,g_pearson_p_c,g_gc_cont,g_gcdev_c,g_gcdev_o,PC_1,PC_2,PC_3,diamond_header,fasta_header,best_hit,best_hitID,bh_pident,bh_evalue,bh_bitscore,lca,lcaID,refined_lca,refined_lcaID,taxon_assignment,taxon_assignmentID,is_target,plot_label,plot_labelID,start,end,upstream_gene,downstream_gene,gene_biotype
GBPCPCFC_00875,gnl|Prokka|GBPCPCFC_19,3,4017,0.0018,1220.0,561.7099,0.4271,0.0,0.6794,2.8302,2013,1.4118,1.5355,0.9397,1,0,0.2778,0.0,0.7271,0.0,0.6731,-0.3132,2.5766,3.140217360703428,4.542201279230674,6.021238406156004,GBPCPCFC_00875-0,GBPCPCFC_00875-0,Rhizopus arrhizus,64495,80.1,1.17e-116,359,Rhizopus,4842,,,Rhizopus,4842,0,Rhizopus,4842,122,2134,,GBPCPCFC_00876,mRNA
GBPCPCFC_00876,gnl|Prokka|GBPCPCFC_19,3,4017,0.0018,1220.0,561.7099,0.4271,0.0,0.6794,2.8302,864,-0.6338,-0.0328,0.507,0,0,0.0961,0.1429,0.3741,0.0,0.6968,1.7141,2.7876,2.254659761940115,0.48236932881857375,0.6651926475386406,GBPCPCFC_00876-0,GBPCPCFC_00876-0,Stenotrophomonas maltophilia,40324,100,6.20e-203,565,cellular organisms,131567,Opisthokonta,33154,Opisthokonta,33154,1,Opisthokonta,33154,2164,3027,GBPCPCFC_00875,GBPCPCFC_00877,mRNA
GBPCPCFC_00877,gnl|Prokka|GBPCPCFC_19,3,4017,0.0018,1220.0,561.7099,0.4271,0.0,0.6794,2.8302,783,-0.778,-0.1434,0.9133,1,0,0.2579,0.0,0.4745,0.0,0.6641,-1.0863,2.4962,3.284647921959089,1.6438701726779834,6.067046286467263,GBPCPCFC_00877-0,GBPCPCFC_00877-0,Tanacetum cinerariifolium,118510,41.0,3.46e-17,93.2,cellular organisms,131567,Eukaryota,2759,Eukaryota,2759,1,Eukaryota,2759,3061,3843,GBPCPCFC_00876,,mRNA
GBPCPCFC_00124,gnl|Prokka|GBPCPCFC_2,5,6699,0.0029,1121.4,349.7614,0.5439,0.0,0.6556,2.6071,843,-0.796,-0.0615,0.9776,1,0,0.1972,0.0024,0.4184,0.0,0.6619,-0.3673,2.4766,3.8745784327192903,1.1777821310044556,5.7405589560156365,GBPCPCFC_00124-0,GBPCPCFC_00124-0,Stenotrophomonas maltophilia,40324,100,9.82e-194,541,cellular organisms,131567,Opisthokonta,33154,Opisthokonta,33154,1,Opisthokonta,33154,76,918,,GBPCPCFC_00125,mRNA
GBPCPCFC_00125,gnl|Prokka|GBPCPCFC_2,5,6699,0.0029,1121.4,349.7614,0.5439,0.0,0.6556,2.6071,816,-0.8732,-0.0983,0.7817,0,0,0.2679,0.0,0.3866,0.0,0.6654,-0.1516,2.508,2.773914045308458,1.0172373609288865,0.8268055996834128,GBPCPCFC_00125-0,GBPCPCFC_00125-0,Rhizopus arrhizus,64495,90.2,3.23e-79,246,Rhizopus arrhizus,64495,,,Rhizopus arrhizus,64495,0,Rhizopus,4842,732,1547,GBPCPCFC_00124,GBPCPCFC_00126,mRNA
GBPCPCFC_00126,gnl|Prokka|GBPCPCFC_2,5,6699,0.0029,1121.4,349.7614,0.5439,0.0,0.6556,2.6071,1635,1.4684,1.0195,0.4975,0,0,0.2975,0.0,0.5988,0.0,0.663,-0.3014,2.4862,2.5901320771554794,3.628500381180982,0.04867637133166534,GBPCPCFC_00126-0,GBPCPCFC_00126-0,,,,,,,,,,,,0,Unassigned,,1684,3318,GBPCPCFC_00125,GBPCPCFC_00127,mRNA
GBPCPCFC_00127,gnl|Prokka|GBPCPCFC_2,5,6699,0.0029,1121.4,349.7614,0.5439,0.0,0.6556,2.6071,1452,0.9452,0.7698,0.4279,0,0,0.3535,0.0,0.5057,0.0,0.6928,1.5275,2.7526,2.5330427042767316,3.155131774022175,-0.11193480459480398,GBPCPCFC_00127-0,GBPCPCFC_00127-0,Stenotrophomonas maltophilia,40324,99.8,8.01e-215,613,Stenotrophomonas,40323,,,Stenotrophomonas,40323,0,Gammaproteobacteria,1236,3332,4783,GBPCPCFC_00126,GBPCPCFC_00128,mRNA
GBPCPCFC_00128,gnl|Prokka|GBPCPCFC_2,5,6699,0.0029,1121.4,349.7614,0.5439,0.0,0.6556,2.6071,861,-0.7445,-0.0369,0.7811,1,0,0.1402,0.0273,0.3813,0.0,0.6434,-1.5002,2.3117,3.8524996114585823,0.8644656479007357,5.279579272130849,GBPCPCFC_00128-0,GBPCPCFC_00128-0,Bordetella pertussis,520,42.7,7.10e-37,142,cellular organisms,131567,Opisthokonta,33154,Opisthokonta,33154,1,Opisthokonta,33154,5106,5966,GBPCPCFC_00127,,mRNA
GBPCPCFC_00692,gnl|Prokka|GBPCPCFC_13,4,4435,0.002,1059.0,579.4855,0.2325,0.0002,0.6762,2.8006,1653,1.025,1.0441,0.9644,1,0,0.1194,0.0605,0.7101,0.0,0.6661,-0.9935,2.5136,4.395675703077175,3.4535734698985228,5.938939729795727,GBPCPCFC_00692-0,GBPCPCFC_00692-0,Stenotrophomonas maltophilia,40324,99.5,0.0,1103,cellular organisms,131567,Ecdysozoa,1206794,Ecdysozoa,1206794,1,Eumetazoa,6072,80,1732,,GBPCPCFC_00693,mRNA
GBPCPCFC_00693,gnl|Prokka|GBPCPCFC_13,4,4435,0.002,1059.0,579.4855,0.2325,0.0002,0.6762,2.8006,450,-1.0509,-0.5979,0.1894,0,0,0.1494,0.0321,0.3265,0.0,0.6756,0.0993,2.5983,3.27329277248125,0.1327447830747231,-0.25151541385057735,GBPCPCFC_00693-0,GBPCPCFC_00693-0,Pseudomonas koreensis,198620,71.8,4.53e-68,216,Pseudomonas koreensis,198620,,,Pseudomonas koreensis,198620,0,Gammaproteobacteria,1236,1798,2247,GBPCPCFC_00692,GBPCPCFC_00694,mRNA
GBPCPCFC_00694,gnl|Prokka|GBPCPCFC_13,4,4435,0.002,1059.0,579.4855,0.2325,0.0002,0.6762,2.8006,510,-0.9474,-0.516,0.258,0,0,-0.0094,0.886,0.3493,0.0,0.6686,-0.6982,2.5365,3.405493631625831,-0.3569211245986586,-0.0663421325320536,GBPCPCFC_00694-0,GBPCPCFC_00694-0,Pseudomonas koreensis,198620,67.1,4.09e-25,107,Pseudomonas koreensis,198620,,,Pseudomonas koreensis,198620,0,Gammaproteobacteria,1236,2281,2790,GBPCPCFC_00693,GBPCPCFC_00695,mRNA
