#seq_name	length	coverage
contig_14	192112	56
contig_11	932	160
contig_3	246462	62
contig_46	7104	17
contig_15	480580	58
contig_66	10680	51
contig_62	46703	142
contig_16	747236	44
contig_17	17773864	58
contig_12	984802	60
contig_9	38617	57
contig_78	43967	54
contig_75	3979609	56
contig_13	1713982	61
contig_76	2554872	59
contig_77	4077864	59
contig_80	8846614	57
contig_79	1373182	58
contig_81	1000866	58
contig_82	7490343	58
contig_84	42147	18
contig_85	51944	35
contig_83	12054552	56
contig_89	182753	18
contig_88	328857	41
contig_91	113716	49
contig_4	1476547	62
contig_95	5924	16
contig_97	343443	16
contig_101	5416	20
contig_96	195103	36
contig_102	13011	18
contig_103	13050	12
contig_104	15785	36
contig_93	319816	41
contig_90	5648553	60
contig_106	381691	18
contig_107	88076	54
contig_109	184336	17
contig_111	138319	17
contig_110	310815	17
contig_92	13619356	59
contig_105	429999	40
contig_113	212658	17
contig_108	241518	37
contig_98	2898847	59
contig_116	42559840	56
contig_118	30539	27
contig_119	48886	24
contig_120	225913	19
contig_122	82348	44
contig_121	316565	19
contig_117	956820	18
contig_126	158055	52
contig_128	231862	17
contig_129	78108	52
contig_127	257601	36
contig_134	209441	16
contig_125	755557	17
contig_132	359028	16
contig_135	280855	41
contig_131	259187	57
contig_133	379647	40
contig_139	247327	19
contig_141	165149	40
contig_142	154989	23
contig_123	3665889	58
contig_144	9948	105
contig_136	2396692	59
contig_137	6108870	59
contig_138	10564314	58
contig_140	912404	57
contig_145	6455038	58
contig_143	2601608	61
contig_152	598853	18
contig_158	6476	6
contig_159	14849	13
contig_179	27183	18
contig_157	47904	54
contig_193	864	1
contig_180	13360	42
contig_200	8327	43
contig_155	205785	40
contig_237	69456	14
contig_238	2094	0
contig_240	101168	39
contig_247	2647	14
contig_245	7188	42
contig_148	5136552	61
contig_147	3554986	59
contig_233	376911	52
contig_232	330953	61
contig_146	1219641	59
contig_244	411180	43
contig_259	12225	16
contig_262	138924	39
contig_261	206734	42
contig_153	2816890	59
contig_263	202608	42
contig_267	9243	9
contig_266	157310	16
contig_265	204922	39
contig_275	15951	56
contig_151	1373217	57
contig_194	2371428	56
contig_149	1430668	59
contig_264	1222356	16
contig_258	592359	58
contig_250	8506389	58
contig_288	7129	20
contig_283	778	12
contig_291	8792	9
contig_294	71887	52
contig_295	75711	10
contig_298	55248	21
contig_278	405317	54
contig_284	302177	36
contig_299	196900	20
contig_308	16949	34
contig_302	104423	19
contig_309	18602	20
contig_301	100434	38
contig_311	22280	54
contig_320	2023	39
contig_300	206485	37
contig_150	1964095	57
contig_316	44116	66
contig_323	190808	17
contig_322	93849	38
contig_338	63467	56
contig_346	10830	7
contig_343	8754	53
contig_341	27631	51
contig_347	36295	57
contig_327	190464	35
contig_351	139804	17
contig_354	21261	36
contig_353	82433	38
contig_277	5532143	59
contig_342	122126	63
contig_352	148704	43
contig_355	55084	32
contig_359	19663	13
contig_326	309755	54
contig_357	110006	45
contig_363	16306	30
contig_360	70156	56
contig_365	54416	17
contig_185	1898456	58
contig_362	111574	42
contig_276	1589202	40
contig_358	113262	53
contig_356	263991	38
contig_348	267452	66
contig_361	113746	59
contig_372	26683	55
contig_282	3076280	59
contig_374	30103	57
contig_386	59802	16
contig_281	2526954	60
contig_349	564858	59
contig_400	26859	41
contig_387	82417	49
contig_382	53311	124
contig_399	43135	50
contig_401	27931	47
contig_402	7328	2
contig_388	489160	16
contig_422	3054	2
contig_381	150416	61
contig_421	114525	17
contig_409	391511	18
contig_319	934571	53
contig_413	225480	15
contig_389	499797	38
contig_441	104892	44
contig_446	50459	16
contig_447	25594	39
contig_439	323323	18
contig_443	86702	55
contig_442	146712	43
contig_444	216905	17
contig_434	243321	40
contig_455	7480	3
contig_415	393926	38
contig_414	261515	43
contig_440	217186	38
contig_452	93299	16
contig_436	493366	18
contig_457	65991	15
contig_463	6964	20
contig_432	412039	22
contig_450	55925	54
contig_458	93969	34
contig_451	130424	38
contig_461	71984	55
contig_453	228999	16
contig_476	16736	12
contig_472	58469	20
contig_473	62595	37
contig_454	233443	39
contig_475	78112	53
contig_487	150904	14
contig_486	151753	21
contig_325	1141014	61
contig_491	203060	18
contig_485	156834	40
contig_467	142282	54
contig_497	60303	37
contig_499	105896	17
contig_480	172341	49
contig_468	399971	17
contig_488	175993	40
contig_496	72454	41
contig_515	2341	0
contig_492	241615	37
contig_520	27683	10
contig_493	100706	43
contig_498	106990	40
contig_268	1868921	58
contig_522	65605	14
contig_505	235469	16
contig_511	152077	16
contig_512	112540	21
contig_507	222094	15
contig_370	3739628	56
contig_510	144826	38
contig_521	117062	43
contig_530	2506	1
contig_525	66887	52
contig_531	48030	10
contig_513	160747	38
contig_524	250036	18
contig_527	79740	14
contig_504	255478	39
contig_534	59990	40
contig_464	439663	39
contig_506	221605	41
contig_412	1022823	38
contig_514	231394	53
contig_535	62765	15
contig_528	92131	36
contig_523	267119	40
contig_435	597513	60
contig_542	56692	16
contig_554	3897	1
contig_529	213076	45
contig_403	852682	54
contig_537	230404	19
contig_548	214097	19
contig_536	233163	41
contig_551	232923	18
contig_553	220998	18
contig_552	217794	39
contig_550	235420	39
contig_572	78278	16
contig_568	73411	49
contig_547	257492	41
contig_571	81815	35
contig_577	68552	47
contig_593	2706	27
contig_541	228855	38
contig_569	309002	18
contig_589	93701	19
contig_588	81793	30
contig_594	33939	42
contig_614	5037	2
contig_580	155242	17
contig_621	34983	14
contig_596	131657	19
contig_618	96338	15
contig_599	100359	38
contig_606	179758	15
contig_626	65981	13
contig_627	71472	13
contig_566	285382	40
contig_629	65505	15
contig_579	158985	40
contig_562	518985	19
contig_557	412994	37
contig_570	277067	40
contig_608	291146	16
contig_607	159895	35
contig_628	64294	38
contig_630	83771	25
contig_366	1455799	58
contig_635	116552	20
contig_595	175631	39
contig_660	19456	20
contig_638	175150	16
contig_613	116613	57
contig_605	306422	18
contig_663	19758	46
contig_641	123771	15
contig_623	356671	17
contig_648	63409	22
contig_636	111372	39
contig_640	112254	40
contig_670	57594	17
contig_668	37588	36
contig_683	82992	15
contig_691	53422	11
contig_609	290589	39
contig_677	146978	13
contig_556	888156	20
contig_704	56645	26
contig_706	56816	10
contig_617	317103	47
contig_705	130328	20
contig_673	137273	46
contig_686	269581	17
contig_717	1448	2
contig_716	25568	5
contig_719	1749	1
contig_718	98	0
contig_720	33502	5
contig_690	303563	18
contig_674	212236	39
contig_639	261061	44
contig_696	361956	17
contig_732	52774	10
contig_713	155165	20
contig_687	260009	37
contig_669	264899	48
contig_707	177407	50
contig_747	4319	12
contig_729	313804	18
contig_750	4662	27
contig_725	163734	47
contig_731	153156	40
contig_697	352168	38
contig_624	510597	41
contig_664	455507	40
contig_667	409748	38
contig_753	24678	21
contig_752	227779	15
contig_735	512301	18
contig_763	77069	18
contig_773	5004	1
contig_578	893487	40
contig_762	112386	39
contig_715	423424	44
contig_793	2191	13
contig_766	157121	24
contig_783	33154	11
contig_782	42011	38
contig_744	19735	559
contig_771	57956	47
contig_592	1606974	17
contig_796	9443	33
contig_751	246513	37
contig_769	212708	21
contig_801	58518	11
contig_767	162580	35
contig_807	134744	17
contig_817	72891	28
contig_806	125221	32
contig_708	582222	42
contig_819	112669	20
contig_818	95453	38
contig_824	32669	44
contig_834	1436	1
contig_835	5315	10
contig_825	10783	20
contig_814	257831	18
contig_827	24625	58
contig_776	286561	36
