locus_tag	ftype	length_bp	gene	EC_number	COG	product
LONINKCB_00001	CDS	210				hypothetical protein
LONINKCB_00002	CDS	192				hypothetical protein
LONINKCB_00003	CDS	252				hypothetical protein
LONINKCB_00004	CDS	198				hypothetical protein
LONINKCB_00005	CDS	153				hypothetical protein
LONINKCB_00006	CDS	240				hypothetical protein
LONINKCB_00007	CDS	216				hypothetical protein
LONINKCB_00008	CDS	228				hypothetical protein
LONINKCB_00009	CDS	300				hypothetical protein
LONINKCB_00010	CDS	294				hypothetical protein
LONINKCB_00011	CDS	264				hypothetical protein
LONINKCB_00012	CDS	249				hypothetical protein
LONINKCB_00013	CDS	363				hypothetical protein
LONINKCB_00014	CDS	333				hypothetical protein
LONINKCB_00015	CDS	210				hypothetical protein
LONINKCB_00016	CDS	237				hypothetical protein
LONINKCB_00017	CDS	210				hypothetical protein
LONINKCB_00018	CDS	180				hypothetical protein
LONINKCB_00019	CDS	201				hypothetical protein
LONINKCB_00020	CDS	366				hypothetical protein
LONINKCB_00021	CDS	198				hypothetical protein
LONINKCB_00022	CDS	300				hypothetical protein
LONINKCB_00023	CDS	168				hypothetical protein
LONINKCB_00024	CDS	207				hypothetical protein
LONINKCB_00025	CDS	165				hypothetical protein
LONINKCB_00026	CDS	201				hypothetical protein
LONINKCB_00027	CDS	339				hypothetical protein
LONINKCB_00028	CDS	165				hypothetical protein
LONINKCB_00029	CDS	405				hypothetical protein
LONINKCB_00030	CDS	228				hypothetical protein
LONINKCB_00031	CDS	159				hypothetical protein
LONINKCB_00032	CDS	225				hypothetical protein
LONINKCB_00033	CDS	372				hypothetical protein
LONINKCB_00034	CDS	309				hypothetical protein
LONINKCB_00035	CDS	291				hypothetical protein
LONINKCB_00036	CDS	237				hypothetical protein
LONINKCB_00037	CDS	255				hypothetical protein
LONINKCB_00038	CDS	231				hypothetical protein
LONINKCB_00039	CDS	291				hypothetical protein
LONINKCB_00040	CDS	249				hypothetical protein
LONINKCB_00041	CDS	231				hypothetical protein
LONINKCB_00042	CDS	198				hypothetical protein
LONINKCB_00043	CDS	300				hypothetical protein
LONINKCB_00044	CDS	141				hypothetical protein
LONINKCB_00045	CDS	150				hypothetical protein
LONINKCB_00046	CDS	234				hypothetical protein
LONINKCB_00047	CDS	228				hypothetical protein
LONINKCB_00048	CDS	237				hypothetical protein
LONINKCB_00049	CDS	198				hypothetical protein
LONINKCB_00050	CDS	201				hypothetical protein
LONINKCB_00051	CDS	123				hypothetical protein
LONINKCB_00052	CDS	846				hypothetical protein
LONINKCB_00053	CDS	297				hypothetical protein
LONINKCB_00054	CDS	402				hypothetical protein
LONINKCB_00055	CDS	507				hypothetical protein
LONINKCB_00056	CDS	210				hypothetical protein
LONINKCB_00057	CDS	168				hypothetical protein
LONINKCB_00058	CDS	180				hypothetical protein
LONINKCB_00059	CDS	231				hypothetical protein
LONINKCB_00060	CDS	255				hypothetical protein
LONINKCB_00061	CDS	294				hypothetical protein
LONINKCB_00062	CDS	192				hypothetical protein
LONINKCB_00063	CDS	186				hypothetical protein
LONINKCB_00064	CDS	231				hypothetical protein
LONINKCB_00065	CDS	297				hypothetical protein
LONINKCB_00066	CDS	219				hypothetical protein
LONINKCB_00067	CDS	228				hypothetical protein
LONINKCB_00068	CDS	171				hypothetical protein
LONINKCB_00069	CDS	258				hypothetical protein
LONINKCB_00070	CDS	174				hypothetical protein
LONINKCB_00071	CDS	207				hypothetical protein
LONINKCB_00072	CDS	177				hypothetical protein
LONINKCB_00073	CDS	420				hypothetical protein
LONINKCB_00074	CDS	225				hypothetical protein
LONINKCB_00075	CDS	243				hypothetical protein
LONINKCB_00076	CDS	210				hypothetical protein
LONINKCB_00077	CDS	303				hypothetical protein
LONINKCB_00078	CDS	261				hypothetical protein
LONINKCB_00079	CDS	447				hypothetical protein
LONINKCB_00080	CDS	213				hypothetical protein
LONINKCB_00081	CDS	210				hypothetical protein
LONINKCB_00082	CDS	213				hypothetical protein
LONINKCB_00083	CDS	225				hypothetical protein
LONINKCB_00084	CDS	306				hypothetical protein
LONINKCB_00085	CDS	237				hypothetical protein
LONINKCB_00086	CDS	189				hypothetical protein
LONINKCB_00087	CDS	231				hypothetical protein
LONINKCB_00088	CDS	180				hypothetical protein
LONINKCB_00089	CDS	213				hypothetical protein
LONINKCB_00090	CDS	213				hypothetical protein
LONINKCB_00091	CDS	339				hypothetical protein
LONINKCB_00092	CDS	234				hypothetical protein
LONINKCB_00093	CDS	534				hypothetical protein
LONINKCB_00094	CDS	273				hypothetical protein
LONINKCB_00095	CDS	288				hypothetical protein
LONINKCB_00096	CDS	201				hypothetical protein
LONINKCB_00097	CDS	207				hypothetical protein
LONINKCB_00098	CDS	216				hypothetical protein
LONINKCB_00099	CDS	201				hypothetical protein
LONINKCB_00100	CDS	222				hypothetical protein
LONINKCB_00101	CDS	177				hypothetical protein
LONINKCB_00102	CDS	309				hypothetical protein
LONINKCB_00103	CDS	183				hypothetical protein
LONINKCB_00104	CDS	303				hypothetical protein
