qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	taxid	taxname
None-gene-585-0	MBL7704751.1	37.5	408	208	17	2	383	1	387	1.48e-53	192	1869185	Taibaiella sp.
None-gene-1949-0	MBL7704752.1	35.6	472	254	16	1	448	6	451	4.38e-60	217	1869185	Taibaiella sp.
None-gene-1949-0	RYD98560.1	36.1	479	245	17	1	449	6	453	9.91e-55	203	2044944	Sphingobacteriales bacterium
None-gene-9-0	MBL7704750.1	66.0	97	31	2	1	95	1	97	5.14e-27	113	1869185	Taibaiella sp.
None-gene-9-0	OJV55428.1	66.0	97	31	2	1	95	1	97	7.24e-27	112	1895923	Bacteroidetes bacterium 43-16
None-gene-9-0	RYD98558.1	66.0	97	31	2	1	95	1	97	9.96e-27	112	2044944	Sphingobacteriales bacterium
None-gene-3646-0	MBL7704754.1	88.1	126	13	2	1	124	431	556	1.28e-59	207	1869185	Taibaiella sp.
None-gene-3646-0	RYD98568.1	86.5	126	15	2	1	124	430	555	6.76e-59	205	2044944	Sphingobacteriales bacterium
None-gene-3646-0	OJV55634.1	82.4	125	20	2	2	124	431	555	1.08e-55	197	1895923	Bacteroidetes bacterium 43-16
None-gene-451-0	XP_055628203.1	32.5	117	72	3	1	112	249	363	7.38e-04	51.2	329112	Toxorhynchites rutilus septentrionalis
None-gene-451-0	XP_048006729.1	33.9	118	70	4	1	112	116	231	8.29e-04	50.8	1035111	Leguminivora glycinivorella
None-gene-4755-0	WP_141370422.1	42.7	942	375	38	1	858	287	1147	7.23e-119	399	82380	Microbacterium oxydans
None-gene-4755-0	NIG63151.1	43.1	941	372	39	1	858	287	1147	1.01e-118	399	2720211	Microbacterium sp. Be9
None-gene-4755-0	WP_029259756.1	43.1	941	372	39	1	858	287	1147	1.01e-118	399	2609290	unclassified Microbacterium
None-gene-4755-0	WP_105670884.1	42.6	942	376	37	1	858	287	1147	1.40e-118	398	1848690	Microbacterium sp. MYb62
None-gene-4755-0	WP_055877094.1	43.1	943	370	39	1	858	287	1147	1.95e-118	398	1736514	Microbacterium sp. Root322
None-gene-4755-0	WP_137771921.1	42.3	945	374	36	1	858	287	1147	2.71e-118	397	2609290	unclassified Microbacterium
None-gene-4755-0	WP_055869986.1	42.8	946	368	39	1	858	287	1147	2.71e-118	397	1736463	Microbacterium sp. Root1433D1
None-gene-4755-0	WP_255163692.1	42.6	942	376	39	1	858	287	1147	3.77e-118	397	33918	Microbacterium liquefaciens
None-gene-4755-0	WP_021198073.1	43.0	941	373	39	1	858	287	1147	3.77e-118	397	300020;LCA:300020	Microbacterium maritypicum;LCA:Microbacterium maritypicum
None-gene-4755-0	WP_058630454.1	42.5	942	377	38	1	858	287	1147	5.25e-118	397	82380	Microbacterium oxydans
None-gene-4755-0	WP_113680960.1	42.4	942	378	38	1	858	287	1147	5.25e-118	397	2609290;LCA:2609290	unclassified Microbacterium;LCA:unclassified Microbacterium
None-gene-4755-0	MBE7955454.1	42.5	942	377	38	1	858	287	1147	5.25e-118	397	322686	Microbacterium sp. R1
None-gene-4755-0	WP_218682363.1	42.9	943	371	39	1	858	29	889	3.38e-120	396	2821146	Microbacterium sp. BF1
None-gene-4755-0	WP_270411257.1	42.9	943	371	39	1	858	287	1147	7.30e-118	396	33918	Microbacterium liquefaciens
None-gene-4755-0	WP_046747293.1	42.2	945	375	36	1	858	287	1147	7.30e-118	396	1643443	Microbacterium sp. Ag1
None-gene-4755-0	MBP5800564.1	42.6	942	376	39	1	858	287	1147	7.30e-118	396	300020	Microbacterium maritypicum
None-gene-4755-0	WP_127011836.1	42.2	946	374	37	1	858	287	1147	7.30e-118	396	82380	Microbacterium oxydans
None-gene-4755-0	WP_017828111.1	42.3	939	383	38	1	858	287	1147	7.30e-118	396	1247714	Microbacterium sp. UCD-TDU
None-gene-4755-0	WP_267417377.1	42.5	953	361	39	1	858	287	1147	1.01e-117	396	82380	Microbacterium oxydans
None-gene-4755-0	WP_029265980.1	43.0	944	369	40	1	858	287	1147	1.41e-117	395	2609290	unclassified Microbacterium
None-gene-4755-0	WP_061015527.1	42.5	942	377	38	1	858	287	1147	1.41e-117	395	1768780	Microbacterium sp. CCH5-D1
None-gene-4755-0	KAB1883551.1	42.9	943	371	39	1	858	287	1147	1.96e-117	395	300020	Microbacterium maritypicum
None-gene-4755-0	WP_275093531.1	42.5	943	375	38	1	858	287	1147	2.73e-117	395	33918	Microbacterium liquefaciens
None-gene-4755-0	WP_141386868.1	42.9	947	366	40	1	858	287	1147	3.80e-117	394	33918	Microbacterium liquefaciens
None-gene-4755-0	WP_219869562.1	43.3	944	366	41	1	858	287	1147	3.80e-117	394	2861281	Microbacterium sp. PAMC22086
None-gene-4755-0	WP_127481884.1	42.5	943	375	38	1	858	287	1147	7.35e-117	394	82380	Microbacterium oxydans
None-gene-4755-0	WP_136057070.1	42.5	944	374	40	1	858	287	1147	1.97e-116	392	2305446	Microbacterium sp. K24
None-gene-4755-0	WP_105721631.1	42.1	957	359	40	1	858	287	1147	3.82e-116	392	1848692	Microbacterium sp. MYb66
None-gene-4755-0	WP_045264118.1	41.9	954	365	38	1	858	287	1147	3.82e-116	392	82380	Microbacterium oxydans
None-gene-4755-0	WP_136025332.1	42.8	944	371	40	1	858	287	1147	1.03e-115	390	2305445	Microbacterium sp. K27
None-gene-4755-0	WP_105527769.1	42.1	946	375	37	1	858	287	1147	3.83e-115	389	2609290;LCA:2609290	unclassified Microbacterium;LCA:unclassified Microbacterium
None-gene-4755-0	WP_029263841.1	41.4	957	366	38	1	858	287	1147	5.32e-115	389	2609290	unclassified Microbacterium
None-gene-4755-0	WP_105711137.1	41.5	951	373	37	1	858	287	1147	1.43e-113	385	1827294	Microbacterium sp. MYb45
None-gene-4755-0	WP_262002300.1	41.4	951	374	37	1	858	287	1147	2.76e-113	384	2926012	Microbacterium sp. Mcb102
None-gene-4755-0	WP_136042984.1	42.1	945	376	39	1	858	287	1147	1.42e-112	382	2609290	unclassified Microbacterium
None-gene-4755-0	WP_134353019.1	42.0	949	371	39	1	858	287	1147	1.42e-112	382	2555725	Microbacterium sp. 3H14
None-gene-4755-0	WP_153243592.1	42.4	942	378	39	1	858	287	1147	1.42e-112	382	2603598	Microbacterium sp. CBA3102
None-gene-4755-0	WP_261811467.1	42.3	942	379	39	1	858	287	1147	1.98e-112	382	2851642	Microbacterium sp. KSW4-10
None-gene-4755-0	MBT2495154.1	41.6	951	372	36	1	858	287	1147	5.30e-112	380	2819159	Microbacterium sp. ISL-59
None-gene-4755-0	NJI59821.1	41.6	951	372	36	1	858	287	1147	5.30e-112	380	82380	Microbacterium oxydans
None-gene-4755-0	WP_256535854.1	42.1	944	378	39	1	858	287	1147	7.36e-112	380	2992441	Microbacterium sp. J1-1
None-gene-4755-0	MCE0508860.1	42.1	944	378	39	1	858	287	1147	1.02e-111	380	2904241	Microbacterium sp. KKR3/1
None-gene-4755-0	WP_052193312.1	42.0	940	384	37	1	858	287	1147	2.73e-111	379	1339233	Microbacterium sp. ZOR0019
None-gene-4755-0	WP_131491750.1	42.1	942	380	39	1	858	287	1147	5.27e-111	378	2545631	Microbacterium sp. PI-1
None-gene-4755-0	WP_116634427.1	40.7	947	387	38	1	858	287	1147	5.27e-111	378	2171975	Microbacterium sp. TPD7012
None-gene-4755-0	WP_248569737.1	42.1	942	380	39	1	858	287	1147	1.01e-110	377	2851644	Microbacterium sp. KSW4-16
None-gene-4755-0	WDM44259.1	40.6	949	385	38	1	858	287	1147	1.01e-110	377	69367	Microbacterium luteolum
None-gene-4755-0	WP_248539750.1	41.9	944	379	39	1	858	287	1147	1.41e-110	377	2851643	Microbacterium sp. SSW1-7
None-gene-4755-0	WP_269405161.1	41.7	951	371	39	1	858	287	1147	1.95e-110	376	82380	Microbacterium oxydans
None-gene-4755-0	WP_091035429.1	41.5	951	373	36	1	858	287	1147	1.95e-110	376	82380	Microbacterium oxydans
None-gene-4755-0	WP_045279160.1	41.1	956	368	40	2	858	288	1147	3.76e-110	375	82380	Microbacterium oxydans
None-gene-4755-0	KJL29159.1	41.1	956	368	40	2	858	302	1161	4.74e-110	375	82380	Microbacterium oxydans
None-gene-4755-0	WP_230114467.1	41.0	956	369	40	2	858	288	1147	1.94e-109	374	82380	Microbacterium oxydans
None-gene-4755-0	CAH0189259.1	41.0	956	369	40	2	858	302	1161	2.43e-109	374	82380	Microbacterium oxydans
None-gene-4755-0	WP_124894890.1	41.1	956	370	37	1	858	287	1147	3.78e-109	373	2048898	Microbacterium sp. Y-01
None-gene-4755-0	WP_270366447.1	41.2	954	372	37	1	858	287	1147	5.24e-109	373	2615184	Microbacterium algeriense
None-gene-4755-0	WP_151459879.1	41.1	953	374	36	1	858	287	1147	1.40e-108	372	2615184	Microbacterium algeriense
None-gene-4755-0	WP_120775119.1	40.4	962	368	37	1	858	287	1147	2.65e-108	370	2609290;LCA:2609290	unclassified Microbacterium;LCA:unclassified Microbacterium
None-gene-4755-0	WP_251051159.1	40.4	962	368	37	1	858	271	1131	2.04e-108	370	2819158	Microbacterium sp. ISL-108
None-gene-4755-0	WP_046013613.1	40.9	949	382	39	1	858	287	1147	1.88e-107	368	1263625	Microbacterium sp. SA39
None-gene-4755-0	WEK62174.1	39.6	959	380	35	1	858	286	1146	6.85e-107	367	51671	Microbacterium sp.
None-gene-4755-0	WP_136032003.1	39.7	946	397	33	1	858	287	1147	1.94e-106	365	2305435	Microbacterium sp. PF5
None-gene-4755-0	WP_136035868.1	39.7	946	397	33	1	858	287	1147	1.94e-106	365	2305440	Microbacterium sp. K35
None-gene-4755-0	WP_247982821.1	39.7	940	406	33	1	858	287	1147	1.94e-106	365	2851650	Microbacterium sp. SSW1-51
None-gene-4755-0	WP_102194148.1	40.8	955	374	42	1	858	287	1147	2.57e-106	365	76884	Microbacterium kitamiense
None-gene-4755-0	WP_229673036.1	40.4	955	378	41	1	858	287	1147	2.57e-106	365	69368	Microbacterium saperdae
None-gene-4755-0	WP_247638370.1	39.5	953	390	34	1	858	287	1147	3.73e-106	365	2851649	Microbacterium sp. SSW1-47
None-gene-4755-0	WP_079112300.1	40.0	951	388	38	1	858	287	1147	4.93e-106	364	104336	Microbacterium foliorum
None-gene-4755-0	AQY03273.1	40.0	951	388	38	1	858	285	1145	4.77e-106	364	104336	Microbacterium foliorum
None-gene-4755-0	MBN6190758.1	40.0	945	396	34	1	858	287	1147	5.17e-106	364	2814426	Aneurinibacillus sp. BA2021
None-gene-4755-0	WP_136045441.1	40.0	945	396	34	1	858	287	1147	9.92e-106	363	2305437	Microbacterium sp. K41
None-gene-4755-0	WP_082041059.1	39.7	951	390	38	1	858	287	1147	2.52e-105	362	1587523	Microbacterium sp. MEJ108Y
None-gene-4755-0	MCK2035783.1	39.3	961	380	39	1	858	301	1161	3.13e-105	362	2851645	Microbacterium sp. SSW1-49
None-gene-4755-0	WP_247629192.1	39.3	961	380	39	1	858	287	1147	2.52e-105	362		N/A
None-gene-4755-0	KIP92833.1	39.7	951	390	38	1	858	285	1145	2.44e-105	362	1587523	Microbacterium sp. MEJ108Y
None-gene-4755-0	WP_085603859.1	40.1	932	413	31	1	858	287	1147	3.71e-105	362	1978350	Microbacterium sp. LEMMJ01
None-gene-4755-0	WP_144880658.1	40.0	932	414	31	1	858	287	1147	3.71e-105	362	199592	Microbacterium paraoxydans
None-gene-4755-0	WP_259160330.1	40.7	936	402	37	1	858	287	1147	4.83e-105	362	124798	Microbacterium phyllosphaerae
None-gene-4755-0	MBO0982121.1	38.9	954	394	36	1	858	287	1147	6.69e-105	361	2782007	Microbacterium sp. SD291
None-gene-4755-0	WP_056309465.1	39.1	958	386	38	1	858	287	1147	6.69e-105	361	1736279	Microbacterium sp. Leaf159
None-gene-4755-0	WP_259975754.1	39.7	944	396	36	3	858	289	1147	7.12e-105	361	2916212	Microbacterium sp. p3-SID336
None-gene-4755-0	WP_149084478.1	39.6	941	405	34	1	858	287	1147	9.86e-105	361	2606451	Microbacterium sp. 1S1
None-gene-4755-0	WP_126894010.1	40.0	932	414	31	1	858	287	1147	9.86e-105	361	2419509	Microbacterium sp. HSID17254
None-gene-4755-0	WP_136051730.1	39.8	932	416	31	1	858	287	1147	1.37e-104	360	2305439	Microbacterium sp. K36
None-gene-4755-0	WP_082508824.1	39.9	958	379	39	1	858	287	1147	1.28e-104	360	1736281	Microbacterium sp. Leaf161
None-gene-4755-0	GAT72050.1	40.6	939	399	37	1	858	287	1147	1.28e-104	360	1778770	Microbacterium sp. HM58-2
None-gene-4755-0	KQR49799.1	39.9	958	379	39	1	858	285	1145	1.24e-104	360	1736281	Microbacterium sp. Leaf161
None-gene-4755-0	WP_164232800.1	40.6	939	399	37	1	858	287	1147	1.28e-104	360	273678	Microbacterium hydrocarbonoxydans
None-gene-4755-0	WP_060921694.1	39.9	932	415	31	1	858	287	1147	1.89e-104	360	199592	Microbacterium paraoxydans
None-gene-4755-0	WP_071327590.1	39.8	932	416	31	1	858	287	1147	3.62e-104	359	1914306	Microbacterium sp. LCT-H2
None-gene-4755-0	WP_025104478.1	39.9	932	415	31	1	858	287	1147	3.62e-104	359	33882;LCA:33882	Microbacterium;LCA:Microbacterium
None-gene-4755-0	WP_105949288.1	39.9	932	415	31	1	858	287	1147	3.62e-104	359	2609290;LCA:2609290	unclassified Microbacterium;LCA:unclassified Microbacterium
None-gene-3968-0	WP_256535855.1	55.8	77	33	1	27	102	182	258	6.30e-11	68.2	2992441	Microbacterium sp. J1-1
None-gene-3968-0	WP_269405160.1	55.8	77	33	1	27	102	182	258	3.27e-10	66.2	82380	Microbacterium oxydans
None-gene-3968-0	PKQ35638.1	54.5	77	34	1	27	102	182	258	4.54e-10	65.9	2013646	Actinobacteria bacterium HGW-Actinobacteria-11
None-gene-3968-0	WP_248539751.1	55.3	76	33	1	27	101	182	257	6.31e-10	65.5	2851643	Microbacterium sp. SSW1-7
None-gene-3968-0	WP_229703255.1	48.6	105	48	3	1	101	153	255	1.18e-09	64.7	1081040	Microbacterium murale
None-gene-3968-0	WP_047520549.1	54.5	77	34	1	27	102	182	258	1.69e-09	64.3	1339233	Microbacterium sp. ZOR0019
None-gene-3968-0	MBW8762061.1	48.1	104	48	3	2	101	154	255	2.26e-09	63.9	51671	Microbacterium sp.
None-gene-3968-0	WP_131491751.1	53.2	77	35	1	27	102	182	258	2.34e-09	63.9	2609290;LCA:2609290	unclassified Microbacterium;LCA:unclassified Microbacterium
None-gene-3968-0	WP_261811466.1	53.2	77	35	1	27	102	182	258	2.34e-09	63.9	2851642	Microbacterium sp. KSW4-10
None-gene-3968-0	WP_050721764.1	52.6	76	35	1	27	101	184	259	2.34e-09	63.9	1692239	Microbacterium sp. GCS4
None-gene-3968-0	WP_060927422.1	90.6	32	3	0	27	58	180	211	3.14e-09	63.5	273678	Microbacterium hydrocarbonoxydans
None-gene-3968-0	WP_232762530.1	90.6	32	3	0	27	58	182	213	4.51e-09	63.2	2904241	Microbacterium sp. KKR3/1
None-gene-3968-0	WP_134353021.1	53.2	77	35	1	27	102	182	258	8.66e-09	62.4	2555725	Microbacterium sp. 3H14
None-gene-3968-0	WP_232304662.1	63.9	61	17	2	1	58	196	254	1.54e-08	62.0	367477	Microbacterium sp. XT11
None-gene-3968-0	WP_259975755.1	52.6	76	35	1	27	101	204	279	1.39e-08	62.0	2916212	Microbacterium sp. p3-SID336
None-gene-3968-0	WP_105670885.1	51.3	76	36	1	27	101	182	257	1.22e-08	62.0	1848690	Microbacterium sp. MYb62
None-gene-3968-0	WP_227468250.1	87.5	32	4	0	27	58	187	218	2.34e-08	61.6	2763257	Microbacterium sp. YJN-G
None-gene-3968-0	WP_120775120.1	50.6	77	37	1	27	102	182	258	1.70e-08	61.6	2609290;LCA:2609290	unclassified Microbacterium;LCA:unclassified Microbacterium
None-gene-3968-0	WP_235282419.1	87.5	32	4	0	27	58	61	92	2.93e-09	61.6	1263625	Microbacterium sp. SA39
