#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_116	42559840	56	N	N	1	*	-375,376,116
contig_17	17773864	58	N	N	1	*	17,1814
contig_92	13619356	59	N	N	1	*	92,734
contig_83	12054552	56	N	N	1	*	1817,83,187,188,187,188,187,188,187,188,187,188,191,188,187,188,187,188,187,188,187,188,187,188,187,188,187,188,187,188,187,188,187
contig_138	10564314	58	N	N	1	*	*,138,756,756,756,756,756,756,756,756,756,756,756
contig_80	8846614	57	N	N	1	*	-257,-254,80,*
contig_250	8506389	58	N	N	1	*	250,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285,-285
contig_82	7490343	58	N	N	1	*	82,1817
contig_145	6455038	58	N	N	1	*	1809,755,-1809,145,1146
contig_137	6108870	59	N	N	1	*	137,-330,*
contig_90	5648553	60	N	N	1	*	90
contig_277	5532143	59	N	N	1	*	246,-249,251,277
contig_148	5136552	61	N	N	1	*	1446,1447,1446,148,1826,942,1826,942,1826
contig_77	4077864	59	N	N	1	*	-757,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,-756,77,324,313
contig_75	3979609	56	N	N	1	*	-1817,75,1694,-1695,1694,-1695,1694,-1695,1694,-1695,1694
contig_370	3739628	56	N	N	1	*	370
contig_123	3665889	58	N	N	1	*	123
contig_147	3554986	59	N	N	1	*	147,1080,-1081,1080,-1081,1080
contig_282	3076280	59	N	N	1	*	-270,-257,-254,-253,-252,282
contig_98	2898847	59	N	N	1	*	1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1741,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,98,*
contig_153	2816890	59	N	N	1	*	-257,-254,260,153,*
contig_143	2601608	61	N	N	1	*	1078,1079,-1078,143
contig_76	2554872	59	N	N	1	*	269,269,271,-270,-269,-257,-254,-253,-252,76,-186,-184,-186,-184,-186,-184,-186,-184,-186,-184,-186,-184,-186,-184,-186,-184,-186,-184,-186,-184
contig_281	2526954	60	N	N	1	*	281,-1147,-1146
contig_136	2396692	59	N	N	1	*	*,330,136,-330,*
contig_194	2371428	56	N	N	1	*	-1445,-1445,-1444,-1445,-1443,-1442,194,-1850
contig_150	1964095	57	N	N	1	*	-257,-254,-253,-252,150
contig_438	1911540	60	N	N	1	*	438
contig_185	1898456	58	N	N	1	*	*,185,-1817
contig_268	1868921	58	N	N	1	*	-257,-254,-253,-252,268
contig_701	1851119	60	N	N	1	*	701,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1669,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667
contig_13	1713982	61	N	N	1	*	-1084,-1088,-1084,-1086,-1084,-1084,-1092,-1084,-1084,-1084,-1085,-1084,-1084,-1084,-1084,-1084,-1084,-1088,-1088,-1087,-1084,-1087,-1089,-1084,-1091,-1092,-1084,-1085,-1086,-1093,-1084,-1085,-1084,-1084,-1084,-1084,-1084,-1084,-1085,-1084,-1088,-1085,-1088,-1085,-1092,-1084,-1084,-1084,-1084,-1084,-1091,-1087,-1095,-1087,-1084,-1089,-1084,-1084,-1088,-1084,-1084,-1088,-1084,-1084,-1084,-1084,-1084,-1085,-1093,-1084,-1084,-1084,-1084,-1085,13
contig_592	1606974	17	N	N	1	*	-661,592
contig_276	1589202	40	N	N	1	*	276,661
contig_4	1476547	62	N	N	1	*	161,161,162,169,-168,162,163,163,-161,162,162,165,-162,-162,-163,-162,-162,-162,165,-162,165,-163,165,-162,-173,165,165,165,165,-164,-164,-164,-163,-163,-162,168,-162,-162,-162,-162,-162,-162,-161,-162,165,-162,-162,-161,-162,-161,-162,4
contig_366	1455799	58	N	N	1	*	-257,-254,260,366,*
contig_149	1430668	59	N	N	1	*	-257,-254,-253,-252,149,*
contig_151	1373217	57	N	N	1	*	151,-855
contig_79	1373182	58	N	N	1	*	112,79
contig_702	1232132	57	N	N	1	*	-699,702
contig_264	1222356	16	N	N	1	*	-257,-254,-253,-252,264,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662,-662
contig_146	1219641	59	N	N	1	*	*,330,-333,-333,-333,-333,-333,345,146,*
contig_325	1141014	61	N	N	1	*	-749,-741,-740,-739,-738,-737,-749,-741,-740,-739,-738,-737,-743,-742,-743,-742,-749,-741,-740,325,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,757
contig_965	1069667	17	N	N	1	*	965,-406
contig_412	1022823	38	N	N	1	*	406,412
contig_81	1000866	58	N	N	1	*	*,330,-333,-333,-333,-333,333,-333,345,81
