#gene_id	taxID	e_value	fasta_id
None-gene-451	7148	7.38e-04	None-gene-451-0
None-gene-114	131567	9.19e-15	None-gene-114-0
None-gene-681	941280	1.02e-06	None-gene-681-0
None-gene-3238	33882	1.66e-09	None-gene-3238-0
None-gene-3968	201174	6.30e-11	None-gene-3968-0
None-gene-4755	1783272	7.23e-119	None-gene-4755-0
None-gene-9	976	5.14e-27	None-gene-9-0
None-gene-585	1869185	1.48e-53	None-gene-585-0
None-gene-1949	976	4.38e-60	None-gene-1949-0
None-gene-3646	976	1.28e-59	None-gene-3646-0
None-gene-63	562	9.55e-15	None-gene-63-0
None-gene-398	6656	7.37e-26	None-gene-398-0
None-gene-119	33340	1.69e-113	None-gene-119-0
None-gene-500	6656	6.65e-10	None-gene-500-0
None-gene-599	1349	2.53e-33	None-gene-599-0
None-gene-951	131567	1.39e-13	None-gene-951-0
None-gene-1130	131567	3.14e-20	None-gene-1130-0
None-gene-1269	2	4.27e-32	None-gene-1269-0
None-gene-1294	2	5.08e-35	None-gene-1294-0
None-gene-1945	2918898	2.10e-15	None-gene-1945-0
None-gene-2019	1236	2.85e-65	None-gene-2019-0
None-gene-69	131567	4.09e-24	None-gene-69-0
None-gene-266	2	1.81e-30	None-gene-266-0
None-gene-461	543	3.05e-17	None-gene-461-0
None-gene-577	33340	4.77e-126	None-gene-577-0
None-gene-581	59201	4.82e-19	None-gene-581-0
None-gene-1157	33340	9.75e-40	None-gene-1157-0
None-gene-1837	562	6.80e-32	None-gene-1837-0
None-gene-2001	33154	3.35e-128	None-gene-2001-0
None-gene-2181	40576	4.81e-06	None-gene-2181-0
None-gene-2604	131567	3.98e-44	None-gene-2604-0
None-gene-2798	119912	1.20e-45	None-gene-2798-0
None-gene-2874	2	6.35e-151	None-gene-2874-0
None-gene-3956	33154	4.54e-104	None-gene-3956-0
None-gene-4348	28901	6.10e-09	None-gene-4348-0
None-gene-4475	562	4.02e-31	None-gene-4475-0
None-gene-4810	33340	1.49e-40	None-gene-4810-0
None-gene-5355	33340	9.09e-154	None-gene-5355-0
None-gene-5470	2	3.18e-37	None-gene-5470-0
None-gene-6456	33340	7.39e-12	None-gene-6456-0
None-gene-6853	131567	1.69e-14	None-gene-6853-0
None-gene-7115	33340	1.88e-70	None-gene-7115-0
None-gene-7992	33340	4.47e-09	None-gene-7992-0
