locus_tag	ftype	length_bp	gene	EC_number	COG	product
GBPCPCFC_00001	CDS	96				hypothetical protein
GBPCPCFC_00001	gene	96				
GBPCPCFC_00002	CDS	369				hypothetical protein
GBPCPCFC_00002	gene	369				
GBPCPCFC_00003	CDS	246				hypothetical protein
GBPCPCFC_00003	gene	246				
GBPCPCFC_00004	CDS	288				hypothetical protein
GBPCPCFC_00004	gene	288				
GBPCPCFC_00005	CDS	96				hypothetical protein
GBPCPCFC_00005	gene	96				
GBPCPCFC_00006	CDS	165				hypothetical protein
GBPCPCFC_00006	gene	165				
GBPCPCFC_00007	CDS	135				hypothetical protein
GBPCPCFC_00007	gene	135				
GBPCPCFC_00008	CDS	162				hypothetical protein
GBPCPCFC_00008	gene	162				
GBPCPCFC_00009	CDS	255				hypothetical protein
GBPCPCFC_00009	gene	255				
GBPCPCFC_00010	CDS	288				hypothetical protein
GBPCPCFC_00010	gene	288				
GBPCPCFC_00011	CDS	1395				hypothetical protein
GBPCPCFC_00011	gene	1395				
GBPCPCFC_00012	CDS	573				hypothetical protein
GBPCPCFC_00012	gene	573				
GBPCPCFC_00013	CDS	345				hypothetical protein
GBPCPCFC_00013	gene	345				
GBPCPCFC_00014	CDS	276				hypothetical protein
GBPCPCFC_00014	gene	276				
GBPCPCFC_00015	CDS	105				hypothetical protein
GBPCPCFC_00015	gene	105				
GBPCPCFC_00016	CDS	171				hypothetical protein
GBPCPCFC_00016	gene	171				
GBPCPCFC_00017	CDS	255				hypothetical protein
GBPCPCFC_00017	gene	255				
GBPCPCFC_00018	CDS	207				hypothetical protein
GBPCPCFC_00018	gene	207				
GBPCPCFC_00019	CDS	1572	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
GBPCPCFC_00019	gene	1572	dnaE			
GBPCPCFC_00020	CDS	141				hypothetical protein
GBPCPCFC_00020	gene	141				
GBPCPCFC_00021	CDS	399				hypothetical protein
GBPCPCFC_00021	gene	399				
GBPCPCFC_00022	CDS	909				hypothetical protein
GBPCPCFC_00022	gene	909				
GBPCPCFC_00023	CDS	324				hypothetical protein
GBPCPCFC_00023	gene	324				
GBPCPCFC_00024	CDS	558	rpnD_1	3.1.21.-		Recombination-promoting nuclease RpnD
GBPCPCFC_00024	gene	558	rpnD_1			
GBPCPCFC_00025	CDS	240				hypothetical protein
GBPCPCFC_00025	gene	240				
GBPCPCFC_00026	CDS	2118				hypothetical protein
GBPCPCFC_00026	gene	2118				
GBPCPCFC_00027	CDS	765				hypothetical protein
GBPCPCFC_00027	gene	765				
GBPCPCFC_00028	CDS	1293				hypothetical protein
GBPCPCFC_00028	gene	1293				
GBPCPCFC_00029	CDS	354				hypothetical protein
GBPCPCFC_00029	gene	354				
GBPCPCFC_00030	CDS	1599	ltrA_1		COG3344	Group II intron-encoded protein LtrA
GBPCPCFC_00030	gene	1599	ltrA_1			
GBPCPCFC_00031	CDS	300	rpnA_1	3.1.21.-	COG5464	Recombination-promoting nuclease RpnA
GBPCPCFC_00031	gene	300	rpnA_1			
GBPCPCFC_00032	CDS	1182				hypothetical protein
GBPCPCFC_00032	gene	1182				
GBPCPCFC_00033	CDS	537				hypothetical protein
GBPCPCFC_00033	gene	537				
GBPCPCFC_00034	CDS	297				hypothetical protein
GBPCPCFC_00034	gene	297				
GBPCPCFC_00035	CDS	282	yafQ	3.1.-.-	COG3041	mRNA interferase toxin YafQ
GBPCPCFC_00035	gene	282	yafQ			
GBPCPCFC_00036	CDS	264	dinJ			Antitoxin DinJ
GBPCPCFC_00036	gene	264	dinJ			
GBPCPCFC_00037	CDS	144				Iron-sulfur cluster carrier protein
GBPCPCFC_00037	gene	144				
GBPCPCFC_00038	CDS	558	hin_1		COG1961	DNA-invertase hin
