g_name,c_name,c_num_of_genes,c_len,c_pct_assemby_len,c_genelenm,c_genelensd,c_pearson_r,c_pearson_p,c_gc_cont,c_gcdev,g_len,g_lendev_c,g_lendev_o,g_abspos,g_terminal,g_single,g_pearson_r_o,g_pearson_p_o,g_pearson_r_c,g_pearson_p_c,g_gc_cont,g_gcdev_c,g_gcdev_o,PC_1,PC_2,PC_3,diamond_header,fasta_header,best_hit,best_hitID,bh_pident,bh_evalue,bh_bitscore,lca,lcaID,refined_lca,refined_lcaID,taxon_assignment,taxon_assignmentID,is_target,plot_label,plot_labelID,start,end,upstream_gene,downstream_gene,gene_biotype
None-gene-1920,contig_372,2,26683,0.0001,9346.0,8701.0,0.4513,0.0,0.3931,3.1834,18047,1.0,4.2025,0.8562,1,0,0.3859,0.0,0.9475,0.0,0.3922,-0.1891,0.1198,8.026037122137021,-0.8781924035561115,10.716903322624903,None-gene-1920-0,None-gene-1920-0,Diabrotica virgifera virgifera,50390,49.7,1.47e-89,329,Endopterygota,33392,Endopterygota,33392,Endopterygota,33392,1,Eumetazoa,6072,1920,19966,,None-gene-21717,mRNA
None-gene-21717,contig_372,2,26683,0.0001,9346.0,8701.0,0.4513,0.0,0.3931,3.1834,645,-1.0,-0.4179,0.676,1,0,0.0687,0.2799,0.3501,0.0,0.4248,5.2896,1.0684,1.8766749678280135,1.6070914000771257,11.163477483704083,None-gene-21717-0,None-gene-21717-0,Diabrotica balteata,107213,60.6,1.23e-81,254,Cucujiformia,41088,,,Cucujiformia,41088,0,Eumetazoa,6072,21717,22361,None-gene-1920,,mRNA
None-gene-1964,contig_379,2,2742,0.0,319.5,97.5,0.2781,0.0,0.3665,0.8727,222,-1.0,-0.5303,0.5934,1,0,0.249,0.0006,0.4294,0.0,0.4505,1.3705,1.8144,-1.6571737357736516,-5.543340255176109,-0.6632260317809161,None-gene-1964-0,None-gene-1964-0,Pararge aegeria aegeria,348720,41.6,3.77e-11,63.5,Pararge aegeria aegeria,348720,,,Pararge aegeria aegeria,348720,0,Eumetazoa,6072,1964,2185,,None-gene-2321,mRNA
None-gene-2321,contig_379,2,2742,0.0,319.5,97.5,0.2781,0.0,0.3665,0.8727,417,1.0,-0.4785,0.9964,1,0,0.0542,0.4024,0.3035,0.0,0.4101,-0.7296,0.6398,-1.824693211869616,-5.580039730566701,-0.6027767352570247,None-gene-2321-0,None-gene-2321-0,Diabrotica balteata,107213,68.4,3.94e-54,181,Diabrotica,50385,,,Diabrotica,50385,0,Eumetazoa,6072,2321,2737,None-gene-1964,,mRNA
None-gene-686,contig_375,1,23279,0.0001,2941.0,,0.4038,0.0,0.3624,0.5138,2941,,0.1917,0.9411,1,1,0.2341,0.0002,0.2368,0.0001,0.3876,,-0.0133,-0.012121539054751485,-3.0923689786041675,3.1330973025029674,None-gene-686-0,None-gene-686-0,Pseudolycoriella hygida,35572,37.2,1.93e-30,143,Pseudolycoriella hygida,35572,,,Pseudolycoriella hygida,35572,0,Eumetazoa,6072,686,3626,,,mRNA
None-gene-2236,contig_382,6,53311,0.0002,985.5,656.4678,0.4141,0.0,0.3653,0.7708,1698,1.0854,-0.1384,0.9162,1,0,0.1842,0.0031,0.1465,0.0191,0.3863,-1.3131,-0.0507,-1.2283517746725425,-4.736898014548145,0.0030516439096446063,None-gene-2236-0,None-gene-2236-0,Aphidius gifuensis,684658,32.1,2.45e-05,58.5,Neoptera,33340,Endopterygota,33392,Endopterygota,33392,1,Eumetazoa,6072,2236,3933,None-gene-13420,,mRNA
None-gene-4990,contig_382,6,53311,0.0002,985.5,656.4678,0.4141,0.0,0.3653,0.7708,524,-0.703,-0.4501,0.8128,0,0,0.1639,0.0096,0.1449,0.0222,0.4065,-0.437,0.5355,-2.129895615533844,-3.2392137980850726,-1.2159820137594952,None-gene-4990-0,None-gene-4990-0,Photinus pyralis,7054,43.0,4.40e-14,81.3,Neoptera,33340,Endopterygota,33392,Endopterygota,33392,1,Eumetazoa,6072,4990,5513,None-gene-8728,None-gene-13420,mRNA
None-gene-5516,contig_382,6,53311,0.0002,985.5,656.4678,0.4141,0.0,0.3653,0.7708,213,-1.1768,-0.5326,0.7931,0,0,0.0496,0.4794,0.1755,0.0116,0.3944,-0.964,0.1829,-2.6944307952396125,-3.016619846408009,-1.111157036985481,None-gene-5516-0,None-gene-5516-0,Leptopilina heterotoma,63436,52.1,6.96e-15,79.0,Bilateria,33213,Diptera,7147,Diptera,7147,1,Eumetazoa,6072,5516,5728,None-gene-17628,None-gene-8728,mRNA
None-gene-8728,contig_382,6,53311,0.0002,985.5,656.4678,0.4141,0.0,0.3653,0.7708,2044,1.6124,-0.0465,0.6726,0,0,-0.0514,0.4127,0.1048,0.0944,0.4281,0.5018,1.1637,-1.8171873059395076,-3.4488002515735134,-1.6407103176762,None-gene-8728-0,None-gene-8728-0,Episyrphus balteatus,286459,41.0,6.50e-46,189,Diptera,7147,Sciaridae,7184,Sciaridae,7184,1,Eumetazoa,6072,8728,10771,None-gene-5516,None-gene-4990,mRNA
None-gene-13420,contig_382,6,53311,0.0002,985.5,656.4678,0.4141,0.0,0.3653,0.7708,674,-0.4745,-0.4102,0.4966,0,0,0.0773,0.218,0.1888,0.0024,0.454,1.6289,1.9179,-2.1975973095924157,-3.2154357505759794,-1.473079874111313,None-gene-13420-0,None-gene-13420-0,Callosobruchus maculatus,64391,47.1,2.26e-38,152,cellular organisms,131567,Diptera,7147,Diptera,7147,1,Eumetazoa,6072,13420,14093,None-gene-4990,None-gene-2236,mRNA
