g_name,c_name,c_num_of_genes,c_len,c_pct_assemby_len,c_genelenm,c_genelensd,c_pearson_r,c_pearson_p,c_gc_cont,c_gcdev,g_len,g_lendev_c,g_lendev_o,g_abspos,g_terminal,g_single,g_pearson_r_o,g_pearson_p_o,g_pearson_r_c,g_pearson_p_c,g_gc_cont,g_gcdev_c,g_gcdev_o,PC_1,PC_2,PC_3,diamond_header,fasta_header,best_hit,best_hitID,bh_pident,bh_evalue,bh_bitscore,lca,lcaID,refined_lca,refined_lcaID,taxon_assignment,taxon_assignmentID,is_target,plot_label,plot_labelID,start,end,upstream_gene,downstream_gene,gene_biotype
None-gene-2,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,279,-0.5394,-0.5394,1.0,1,0,0.1591,0.0227,0.1591,0.0227,0.4194,1.135,1.135,-0.8568322604362532,35.97939456653238,32.74165869335953,None-gene-2-0,None-gene-2-0,Vollenhovia emeryi,411798,51.6,1.05e-25,110,Eumetazoa,6072,Nematocera,7148,Nematocera,7148,1,Bilateria,33213,2,280,None-gene-3379219,None-gene-50011171,mRNA
None-gene-910,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,462,-0.4931,-0.4931,1.0,0,0,-0.0389,0.5421,-0.0389,0.5421,0.4004,0.5871,0.5871,-1.8007824305471392,1.0776131588690068,-1.161061286355663,None-gene-910-0,None-gene-910-0,Phthorimaea operculella,192464,24.5,2.37e-08,63.9,Endopterygota,33392,Diptera,7147,Diptera,7147,1,Bilateria,33213,910,1371,None-gene-30946378,None-gene-41530845,mRNA
None-gene-3818,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,591,-0.4604,-0.4604,0.9999,0,0,0.0946,0.131,0.0946,0.131,0.4095,0.8489,0.8489,-0.7711554846428278,1.1128846892014097,-1.1837124227057845,None-gene-3818-0,None-gene-3818-0,Pseudolycoriella hygida,35572,59.8,3.40e-70,234,Pseudolycoriella hygida,35572,,,Pseudolycoriella hygida,35572,0,Bilateria,33213,3818,4408,None-gene-2289720,None-gene-11055878,mRNA
None-gene-9933,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,630,-0.4505,-0.4505,0.9996,0,0,0.0573,0.3681,0.0573,0.3681,0.4048,0.7124,0.7124,-1.0399265444303756,1.1026489304747749,-1.1766955019193766,None-gene-9933-0,None-gene-9933-0,Phthorimaea operculella,192464,42.5,2.85e-45,169,Panarthropoda,88770,Endopterygota,33392,Endopterygota,33392,1,Bilateria,33213,9933,10562,None-gene-19147601,None-gene-25671887,mRNA
None-gene-14790,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,249,-0.547,-0.547,0.9995,0,0,-0.0275,0.6771,-0.0275,0.6771,0.3629,-0.4996,-0.4996,-1.769771556498646,1.0782836894285335,-1.1614853767291053,None-gene-14790-0,None-gene-14790-0,Bradysia odoriphaga,1564500,61.4,2.79e-29,120,Bradysia odoriphaga,1564500,,,Bradysia,35571,1,Bilateria,33213,14790,15038,None-gene-18712973,None-gene-19026187,mRNA
None-gene-16425,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,627,-0.4513,-0.4513,0.9994,0,0,0.0148,0.8165,0.0148,0.8165,0.4051,0.7223,0.7223,-1.3577556970537474,1.0910800534483618,-1.1689787980745712,None-gene-16425-0,None-gene-16425-0,Pseudolycoriella hygida,35572,37.3,4.73e-33,137,Diptera,7147,Sciaridae,7184,Sciaridae,7184,1,Bilateria,33213,16425,17051,None-gene-22054345,None-gene-7275240,mRNA
None-gene-17762,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,1371,-0.2627,-0.2627,0.9994,0,0,0.0441,0.4826,0.0441,0.4826,0.4458,1.8999,1.8999,-0.9504409950619066,1.1026395346699567,-1.1750219175772643,None-gene-17762-0,None-gene-17762-0,Gammaproteobacteria bacterium,1913989,33.6,1.24e-84,293,Gammaproteobacteria bacterium,1913989,,,Gammaproteobacteria bacterium,1913989,0,Gammaproteobacteria,1236,17762,19132,None-gene-2428242,None-gene-40176843,mRNA
None-gene-19488,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,825,-0.4011,-0.4011,0.9993,0,0,0.1039,0.1019,0.1039,0.1019,0.4248,1.2914,1.2914,-0.6419788016289067,1.1151361585684456,-1.1841765379477893,None-gene-19488-0,None-gene-19488-0,Chironomus thummi,7154,42.3,1.05e-53,198,cellular organisms,131567,Nematocera,7148,Nematocera,7148,1,Bilateria,33213,19488,20312,None-gene-30536838,None-gene-50473461,mRNA
None-gene-20450,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,606,-0.4566,-0.4566,0.9993,0,0,0.1219,0.0514,0.1219,0.0514,0.4472,1.9411,1.9411,-0.5631746714603629,1.118676983964438,-1.186926136857448,None-gene-20450-0,None-gene-20450-0,Polypedilum vanderplanki,319348,31.4,2.47e-22,102,Nematocera,7148,Bradysia,35571,Bradysia,35571,1,Bilateria,33213,20450,21055,None-gene-6543433,None-gene-53847407,mRNA
None-gene-22386,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,861,-0.392,-0.392,0.9992,0,0,0.0522,0.4055,0.0522,0.4055,0.3879,0.2248,0.2248,-1.0194137676757948,1.1015919526194142,-1.175188152854562,None-gene-22386-0,None-gene-22386-0,Emberiza rustica parvoviridae sp.,2794478,46.5,2.19e-15,83.6,Emberiza rustica parvoviridae sp.,2794478,,,Emberiza rustica parvoviridae sp.,2794478,0,Emberiza rustica parvoviridae sp.,2794478,22386,23246,None-gene-22341681,None-gene-456095,mRNA
None-gene-35903,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,201,-0.5592,-0.5592,0.9987,0,0,0.0794,0.2305,0.0794,0.2305,0.3881,0.2288,0.2288,-0.9835236651904952,1.1040351353409015,-1.177664638664508,None-gene-35903-0,None-gene-35903-0,Bradysia odoriphaga,1564500,64.2,2.69e-19,91.3,Bradysia odoriphaga,1564500,,,Bradysia,35571,1,Bilateria,33213,35903,36103,None-gene-54225026,None-gene-33589219,mRNA
None-gene-36827,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,66,-0.5934,-0.5934,0.9987,0,0,-0.0678,0.4735,-0.0678,0.4735,0.4394,1.7152,1.7152,-2.1169355661285714,1.0649228696772006,-1.1524324553430578,None-gene-36827-0,None-gene-36827-0,Blastocystis hominis,12968,100,1.67e-08,53.9,cellular organisms,131567,Nematocera,7148,Nematocera,7148,1,Bilateria,33213,36827,36892,None-gene-25046906,None-gene-22902665,mRNA
None-gene-37011,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,672,-0.4399,-0.4399,0.9986,0,0,-0.0148,0.8131,-0.0148,0.8131,0.4851,3.0392,3.0392,-1.5675009656277705,1.0817053310499147,-1.1620691227448974,None-gene-37011-0,None-gene-37011-0,Lasius niger,67767,50.7,4.04e-63,223,Lasius niger,67767,,,Lasius niger,67767,0,Bilateria,33213,37011,37682,None-gene-142951,None-gene-19286964,mRNA
None-gene-37739,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,168,-0.5676,-0.5676,0.9986,0,0,-0.1809,0.0125,-0.1809,0.0125,0.5952,6.2278,6.2278,-2.935588222932196,1.0357195023484753,-1.1330964528689473,None-gene-37739-0,None-gene-37739-0,Lucilia cuprina,7375,40.4,1.58e-05,51.6,Endopterygota,33392,Diptera,7147,Diptera,7147,1,Bilateria,33213,37739,37906,None-gene-4543083,None-gene-31851216,mRNA
None-gene-40008,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,312,-0.5311,-0.5311,0.9985,0,0,0.0359,0.5674,0.0359,0.5674,0.4359,1.614,1.614,-1.2797281275300894,1.0928096389108402,-1.1699412377278011,None-gene-40008-0,None-gene-40008-0,Phlebotomus papatasi,29031,56.0,1.17e-30,121,cellular organisms,131567,Sciaroidea,41830,Sciaroidea,41830,1,Bilateria,33213,40008,40319,None-gene-27966385,None-gene-5961797,mRNA
None-gene-41109,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,396,-0.5098,-0.5098,0.9985,0,0,0.0628,0.3166,0.0628,0.3166,0.4015,0.6184,0.6184,-1.057681295236013,1.1002671295315438,-1.1746361003756243,None-gene-41109-0,None-gene-41109-0,Pseudolycoriella hygida,35572,71.8,5.21e-37,139,Endopterygota,33392,Sciaridae,7184,Sciaridae,7184,1,Bilateria,33213,41109,41504,None-gene-22055452,None-gene-29568541,mRNA
None-gene-41581,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,444,-0.4976,-0.4976,0.9985,0,0,0.0076,0.9054,0.0076,0.9054,0.3941,0.405,0.405,-1.4576572236787086,1.0861204068968409,-1.1653147590346518,None-gene-41581-0,None-gene-41581-0,Rhagoletis pomonella,28610,48.2,2.54e-36,138,Arthropoda,6656,Diptera,7147,Diptera,7147,1,Bilateria,33213,41581,42024,None-gene-28434265,None-gene-19032203,mRNA
None-gene-42033,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,918,-0.3775,-0.3775,0.9985,0,0,0.0508,0.4185,0.0508,0.4185,0.4085,0.8206,0.8206,-1.0149053272837398,1.0998862658373605,-1.1733384094992665,None-gene-42033-0,None-gene-42033-0,Arctia plantaginis,874455,44.8,6.86e-82,281,Arthropoda,6656,Nematocera,7148,Nematocera,7148,1,Bilateria,33213,42033,42950,None-gene-24480109,None-gene-24615395,mRNA
None-gene-42349,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,342,-0.5235,-0.5235,0.9985,0,0,-0.0152,0.8123,-0.0152,0.8123,0.4035,0.6762,0.6762,-1.6541490069035372,1.0796273972976487,-1.1612889148473573,None-gene-42349-0,None-gene-42349-0,Trichinella nativa,6335,43.1,1.48e-05,54.3,Trichinella,6333,,,Trichinella,6333,0,Bilateria,33213,42349,42690,None-gene-25010388,None-gene-38670648,mRNA
None-gene-44266,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,375,-0.5151,-0.5151,0.9984,0,0,0.1437,0.0257,0.1437,0.0257,0.4267,1.3467,1.3467,-0.4588106920300543,1.121027635116575,-1.1881262255490488,None-gene-44266-0,None-gene-44266-0,Brachionus calyciflorus,104777,54.7,4.93e-34,133,cellular organisms,131567,Endopterygota,33392,Endopterygota,33392,1,Bilateria,33213,44266,44640,None-gene-19068298,None-gene-20781231,mRNA
None-gene-45189,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,750,-0.4201,-0.4201,0.9983,0,0,0.142,0.0231,0.142,0.0231,0.4387,1.6942,1.6942,-0.3765466913351797,1.1223205888329444,-1.18812819675378,None-gene-45189-0,None-gene-45189-0,Bradysia odoriphaga,1564500,68.6,6.46e-44,163,Bradysia odoriphaga,1564500,,,Bradysia,35571,1,Bilateria,33213,45189,45938,None-gene-10459504,None-gene-44625552,mRNA
None-gene-51765,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,456,-0.4946,-0.4946,0.9981,0,0,-0.0048,0.9406,-0.0048,0.9406,0.3947,0.4222,0.4222,-1.5473278620380997,1.0820026685307826,-1.1622529056612032,None-gene-51765-0,None-gene-51765-0,Bradysia odoriphaga,1564500,44.0,1.84e-32,129,Bradysia odoriphaga,1564500,,,Bradysia,35571,1,Bilateria,33213,51765,52220,None-gene-47009405,None-gene-40167394,mRNA
None-gene-52471,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,624,-0.452,-0.452,0.9981,0,0,0.0715,0.2545,0.0715,0.2545,0.4103,0.8715,0.8715,-0.9351622698271581,1.1027886253809107,-1.1754703907359594,None-gene-52471-0,None-gene-52471-0,Plutella xylostella,51655,48.8,6.08e-59,206,cellular organisms,131567,Nematocera,7148,Nematocera,7148,1,Bilateria,33213,52471,53094,None-gene-1425095,None-gene-21390567,mRNA
None-gene-54040,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,468,-0.4915,-0.4915,0.998,0,0,-0.0171,0.792,-0.0171,0.792,0.4188,1.119,1.119,-1.6362815224920841,1.0786180761433755,-1.1599345973401947,None-gene-54040-0,None-gene-54040-0,Anoplophora glabripennis,217634,37.1,5.34e-19,94.0,cellular organisms,131567,Sciaroidea,41830,Sciaroidea,41830,1,Bilateria,33213,54040,54507,None-gene-18362701,None-gene-29638812,mRNA
None-gene-58937,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,348,-0.522,-0.522,0.9978,0,0,0.1477,0.018,0.1477,0.018,0.4052,0.7243,0.7243,-0.43578040263887385,1.1205137502110705,-1.1873148414559274,None-gene-58937-0,None-gene-58937-0,Photinus pyralis,7054,32.8,6.43e-08,61.2,Hexapoda,6960,Diptera,7147,Diptera,7147,1,Bilateria,33213,58937,59284,None-gene-28431889,None-gene-29316637,mRNA
None-gene-59553,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,609,-0.4558,-0.4558,0.9978,0,0,-0.0181,0.7798,-0.0181,0.7798,0.3988,0.5404,0.5404,-1.6077276452943223,1.0786335966324037,-1.1594823542041393,None-gene-59553-0,None-gene-59553-0,,,,,,,,,,,,0,Unassigned,,59553,60161,None-gene-44981092,None-gene-23766668,mRNA
None-gene-60944,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,,294,-0.5356,-0.5356,0.9978,0,0,-0.0209,0.7471,-0.0209,0.7471,0.4286,1.4019,1.4019,-1.7090177428674964,1.0762335561927245,-1.1585545432171134,None-gene-60944-0,None-gene-60944-0,Pectinophora gossypiella,13191,58.4,1.19e-27,116,cellular organisms,131567,Diptera,7147,Diptera,7147,1,Bilateria,33213,60944,61237,None-gene-26501234,None-gene-42879236,mRNA
