g_name,c_name,c_num_of_genes,c_len,c_pct_assemby_len,c_genelenm,c_genelensd,c_pearson_r,c_pearson_p,c_gc_cont,c_gcdev,g_len,g_lendev_c,g_lendev_o,g_abspos,g_terminal,g_single,g_pearson_r_o,g_pearson_p_o,g_pearson_r_c,g_pearson_p_c,g_gc_cont,g_gcdev_c,g_gcdev_o
None-gene-451,contig_983,1,1656,0.0158,496.0,nan,0.0884,0.1585,0.3798,0.2489,496,nan,0.1251,0.4559,1,1,0.3009,0.0,0.5972,0.0,0.4294,nan,-0.8208
None-gene-114,contig_283,2,778,0.0074,165.0,69.0,-0.0175,0.7799,0.4871,1.2239,234,1.0,-0.4435,0.7088,1,0,-0.1359,0.035,0.5646,0.0,0.4872,0.6405,-0.225
None-gene-681,contig_283,2,778,0.0074,165.0,69.0,-0.0175,0.7799,0.4871,1.2239,96,-1.0,-0.743,0.9948,1,0,-0.0436,0.6001,0.2266,0.0058,0.4792,-1.5612,-0.3077
None-gene-3238,contig_455,3,7480,0.0713,1168.6667,1002.2712,0.1446,0.0206,0.6747,2.9282,626,-0.5414,0.4072,0.1343,1,0,0.1792,0.0086,0.2238,0.001,0.6837,-1.7406,1.8025
None-gene-3968,contig_455,3,7480,0.0713,1168.6667,1002.2712,0.1446,0.0206,0.6747,2.9282,306,-0.8607,-0.2872,0.1423,0,0,0.067,0.3607,0.3451,0.0,0.7124,2.2483,2.0987
None-gene-4755,contig_455,3,7480,0.0713,1168.6667,1002.2712,0.1446,0.0206,0.6747,2.9282,2574,1.4021,4.6348,0.9593,1,0,0.1107,0.0911,0.7047,0.0,0.6974,0.156,1.9433
None-gene-9,contig_1746,4,4337,0.0414,944.0,396.2941,0.0543,0.3872,0.4372,0.7699,551,-0.9917,0.2445,0.9963,1,0,0.0016,0.9791,0.4877,0.0,0.4773,1.8274,-0.3268
None-gene-585,contig_1746,4,4337,0.0414,944.0,396.2941,0.0543,0.3872,0.4372,0.7699,1149,0.5173,1.5423,0.7306,0,0,0.0127,0.8403,0.5559,0.0,0.443,-0.7098,-0.6809
None-gene-1949,contig_1746,4,4337,0.0414,944.0,396.2941,0.0543,0.3872,0.4372,0.7699,1493,1.3853,2.2888,0.5867,0,0,0.0358,0.5689,0.6438,0.0,0.4581,0.4098,-0.5247
None-gene-3646,contig_1746,4,4337,0.0414,944.0,396.2941,0.0543,0.3872,0.4372,0.7699,583,-0.9109,0.3139,0.9497,1,0,0.0254,0.6863,0.4345,0.0,0.434,-1.3775,-0.7741
None-gene-63,contig_289,2,552,0.0053,126.0,27.0,-0.0367,0.5593,0.4094,0.5178,99,-1.0,-0.7365,0.7745,1,0,-0.0853,0.2914,0.3767,0.0,0.4545,-1.2432,-0.5617
None-gene-398,contig_289,2,552,0.0053,126.0,27.0,-0.0367,0.5593,0.4094,0.5178,153,1.0,-0.6193,0.9927,1,0,-0.057,0.4189,0.6072,0.0,0.4575,0.8044,-0.5311
None-gene-119,contig_290,9,2443,0.0233,260.4444,149.297,-0.0136,0.8292,0.4302,0.7066,474,1.4304,0.0774,0.9034,1,0,-0.0084,0.8932,0.5475,0.0,0.5021,1.1853,-0.071
None-gene-500,contig_290,9,2443,0.0233,260.4444,149.297,-0.0136,0.8292,0.4302,0.7066,198,-0.4183,-0.5216,0.5913,0,0,-0.0617,0.3401,0.3351,0.0,0.4545,0.3213,-0.5617
None-gene-599,contig_290,9,2443,0.0233,260.4444,149.297,-0.0136,0.8292,0.4302,0.7066,293,0.2181,-0.3154,0.5102,0,0,-0.1555,0.0175,0.3923,0.0,0.4983,1.116,-0.1104
None-gene-951,contig_290,9,2443,0.0233,260.4444,149.297,-0.0136,0.8292,0.4302,0.7066,102,-1.0613,-0.73,0.2219,0,0,-0.0841,0.2538,0.2233,0.0022,0.4314,-0.0997,-0.8008
None-gene-1130,contig_290,9,2443,0.0233,260.4444,149.297,-0.0136,0.8292,0.4302,0.7066,117,-0.9608,-0.6974,0.0753,0,0,0.0956,0.2666,0.1941,0.023,0.359,-1.4149,-1.5477
None-gene-1269,contig_290,9,2443,0.0233,260.4444,149.297,-0.0136,0.8292,0.4302,0.7066,539,1.8658,0.2184,0.4791,0,0,0.0599,0.3398,0.4324,0.0,0.4249,-0.218,-0.868
None-gene-1294,contig_290,9,2443,0.0233,260.4444,149.297,-0.0136,0.8292,0.4302,0.7066,192,-0.4584,-0.5346,0.2154,0,0,0.0491,0.4792,0.273,0.0001,0.4375,0.0116,-0.7376
None-gene-1945,contig_290,9,2443,0.0233,260.4444,149.297,-0.0136,0.8292,0.4302,0.7066,120,-0.9407,-0.6909,0.6896,0,0,0.0961,0.2008,0.2564,0.0005,0.3667,-1.2751,-1.4683
None-gene-2019,contig_290,9,2443,0.0233,260.4444,149.297,-0.0136,0.8292,0.4302,0.7066,309,0.3252,-0.2807,0.905,1,0,0.0274,0.6712,0.3099,0.0,0.3463,-1.6455,-1.6787
None-gene-69,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,132,-0.8067,-0.6648,0.9845,1,0,-0.2031,0.0041,0.1132,0.1122,0.5379,1.416,0.298
None-gene-266,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,159,-0.7153,-0.6062,0.9397,0,0,0.1031,0.1098,0.2022,0.0016,0.4969,0.3623,-0.1252
None-gene-461,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,111,-0.8778,-0.7104,0.8953,0,0,0.1797,0.0363,0.1002,0.2456,0.3874,-2.4494,-1.2546
None-gene-577,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,546,0.5952,0.2336,0.8689,0,0,-0.1161,0.0637,0.4274,0.0,0.5293,1.1957,0.2096
None-gene-581,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,123,-0.8372,-0.6844,0.868,0,0,-0.0394,0.6058,0.1938,0.0104,0.5447,1.5916,0.3685
None-gene-1157,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,733,1.2284,0.6395,0.737,0,0,0.0208,0.7406,0.4053,0.0,0.4543,-0.7308,-0.5643
None-gene-1837,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,153,-0.7356,-0.6193,0.5823,0,0,0.109,0.1569,0.2931,0.0001,0.4444,-0.9839,-0.6659
