c_name,num_of_genes,lca,lcaID,percentage_target,most_abundant_taxon,target_bitscore_mean,target_bitscore_sd,target_evalue_mean,target_evalue_sd,other_bitscore_mean,other_bitscore_sd,other_evalue_mean,other_evalue_sd
gnl|Prokka|GBPCPCFC_19,3,Eukaryota,2759,0.6666666666666666,Rhizopus,329.1,333.61,1.73e-17,2.4465894629054543e-17,359.0,,1.17e-116,
gnl|Prokka|GBPCPCFC_2,5,cellular organisms,131567,0.4,Opisthokonta,341.5,282.14,3.55e-37,5.020458146424487e-37,429.5,259.51,1.615e-79,2.2839549032325487e-79
gnl|Prokka|GBPCPCFC_13,4,cellular organisms,131567,0.25,Pseudomonas koreensis,1103.0,,0.0,,151.0,57.45,1.363333586e-25,2.3613623821698476e-25
gnl|Prokka|GBPCPCFC_25,9,cellular organisms,131567,0,Rhizopus arrhizus,,,,,427.29,168.07,3.0857142857142856e-61,8.164032616999308e-61
gnl|Prokka|GBPCPCFC_24,12,cellular organisms,131567,0.25,Rhizopus arrhizus,173.03,189.63,5.8797e-07,1.0150096367522824e-06,330.12,127.54,2.487500000000069e-48,7.035712472806121e-48
gnl|Prokka|GBPCPCFC_21,19,cellular organisms,131567,0.15789473684210525,Rhizopus arrhizus,490.0,200.44,2.9666666666666666e-87,5.138417395787669e-87,306.27,314.8,5.1018730018703935e-09,1.6021843058569065e-08
gnl|Prokka|GBPCPCFC_23,18,cellular organisms,131567,0.05555555555555555,Rhizopus arrhizus,428.0,,2.49e-151,,313.21,198.32,4.611764705943529e-19,1.3499392687842553e-18
gnl|Prokka|GBPCPCFC_14,14,cellular organisms,131567,0.14285714285714285,Rhizopus arrhizus,337.0,73.54,8.05e-97,1.1384419177103416e-96,293.39,214.07,1.7818181831454585e-08,5.90962235328396e-08
gnl|Prokka|GBPCPCFC_20,17,cellular organisms,131567,0.11764705882352941,Rhizopus arrhizus,365.5,204.35,3.225e-59,4.560838738653232e-59,326.58,286.39,4.031818184409092e-18,1.2707011306387312e-17
gnl|Prokka|GBPCPCFC_9,9,cellular organisms,131567,0,Bacteria,,,,,449.7,719.76,2.36125000000108e-10,6.173909244323002e-10
gnl|Prokka|GBPCPCFC_4,8,Rhizopus,4842,0,Rhizopus arrhizus,,,,,164.77,141.77,2.2533333333333333e-05,3.902887819721871e-05
gnl|Prokka|GBPCPCFC_16,12,cellular organisms,131567,0.4166666666666667,Eukaryota,300.2,165.3,1.2300000000000001e-32,2.750363612324741e-32,339.17,221.19,1.7833333333333333e-27,4.3682567079633335e-27
gnl|Prokka|GBPCPCFC_8,12,cellular organisms,131567,0.08333333333333333,Rhizopus arrhizus,451.0,,1.11e-153,,224.48,146.31,3.300820909090969e-17,7.341665179835476e-17
gnl|Prokka|GBPCPCFC_3,10,cellular organisms,131567,0,Rhizopus arrhizus,,,,,237.98,212.89,2.32000236e-10,5.187676388521922e-10
gnl|Prokka|GBPCPCFC_5,11,cellular organisms,131567,0.09090909090909091,Ecdysozoa,302.0,,1.33e-98,,255.36,397.42,1.5772000105018e-07,3.240697325976526e-07
gnl|Prokka|GBPCPCFC_10,13,cellular organisms,131567,0.07692307692307693,Rhizopus arrhizus,248.0,,1.1e-69,,204.34,113.17,5.718181937181818e-09,1.89650635344735e-08
gnl|Prokka|GBPCPCFC_17,20,cellular organisms,131567,0.15,Rhizopus arrhizus,538.0,45.13,4.6000000000000304e-176,0.0,248.49,233.22,1.0700003854355587e-17,3.209999855461869e-17
gnl|Prokka|GBPCPCFC_7,20,cellular organisms,131567,0.1,Bacteria,261.0,213.55,1.155e-24,1.6334166645409248e-24,219.27,128.92,5.4583333335904285e-15,1.8908221315879278e-14
gnl|Prokka|GBPCPCFC_11,24,cellular organisms,131567,0.2916666666666667,Bacteria,147.67,107.3,1.8857182685776284e-08,4.9891292874519914e-08,143.97,74.85,4.2500000713206396e-07,1.6999999980981165e-06
gnl|Prokka|GBPCPCFC_15,66,cellular organisms,131567,0.30303030303030304,Arthropoda,296.54,246.43,9.458329295000068e-10,4.225974030748266e-09,230.81,286.02,1.832254558943681e-05,0.00010782646129004754
gnl|Prokka|GBPCPCFC_18,67,root,1,0.208955223880597,cellular organisms,254.2,113.29,1.1642857142858078e-08,4.35635824317249e-08,198.28,213.64,7.335462488692308e-05,0.00012498838986085134
gnl|Prokka|GBPCPCFC_12,75,cellular organisms,131567,0.32,Bacteria,336.1,270.43,4.1516666885341254e-05,0.00018996654086370036,263.55,304.94,5.427839332161711e-08,3.094083569104387e-07
gnl|Prokka|GBPCPCFC_1,123,cellular organisms,131567,0.14634146341463414,Bacteria,377.51,248.29,3.485944528896722e-07,1.4235992294483713e-06,248.44,226.24,2.0005964254534935e-05,0.00011995084521719964
gnl|Prokka|GBPCPCFC_6,381,cellular organisms,131567,0.28346456692913385,Rickettsia,485.16,340.6,1.3203441334093052e-06,1.3281888243830275e-05,342.51,280.1,1.2686869888243054e-05,8.667786150170573e-05
gnl|Prokka|GBPCPCFC_22,1222,cellular organisms,131567,0.2855973813420622,Rickettsia,532.92,355.44,3.8442249316218546e-07,4.8028491057745165e-06,359.9,285.66,5.384771258732592e-06,5.9716047750551664e-05
