g_name,c_name,c_num_of_genes,c_len,c_pct_assemby_len,c_genelenm,c_genelensd,c_pearson_r,c_pearson_p,c_gc_cont,c_gcdev,g_len,g_lendev_c,g_lendev_o,g_abspos,g_terminal,g_single,g_pearson_r_o,g_pearson_p_o,g_pearson_r_c,g_pearson_p_c,g_gc_cont,g_gcdev_c,g_gcdev_o
LONINKCB_00521,contig_101,4,5416,0.0,239.25,0.047,0.2438,0.0001,0.3471,-0.8798,204,0.0821,-0.4481,0.4614,1,0,-0.0466,0.5135,0.1612,0.0229,0.3382,0.3759,-0.8025
LONINKCB_00522,contig_101,4,5416,0.0,239.25,0.047,0.2438,0.0001,0.3471,-0.8798,204,0.0821,-0.4481,0.1611,0,0,0.009,0.8965,0.0599,0.3868,0.4412,0.5502,1.3131
LONINKCB_00523,contig_101,4,5416,0.0,239.25,0.047,0.2438,0.0001,0.3471,-0.8798,315,0.2274,0.3226,0.0876,0,0,0.2119,0.0009,0.0439,0.4968,0.4317,0.5342,1.1193
LONINKCB_00524,contig_101,4,5416,0.0,239.25,0.047,0.2438,0.0001,0.3471,-0.8798,234,0.1213,-0.2398,0.6786,1,0,-0.0915,0.226,0.0945,0.2111,0.2949,0.3025,-1.6937
LONINKCB_00628,contig_102,13,13011,0.0,667.1538,0.4255,0.3792,0.0,0.4024,4.2734,279,0.0452,0.0727,0.9239,1,0,0.1127,0.091,0.2182,0.001,0.4588,0.5809,1.6749
LONINKCB_00629,contig_102,13,13011,0.0,667.1538,0.4255,0.3792,0.0,0.4024,4.2734,231,0.0349,-0.2606,0.8761,0,0,0.0023,0.9726,0.2042,0.0021,0.4329,0.4414,1.143
LONINKCB_00630,contig_102,13,13011,0.0,667.1538,0.4255,0.3792,0.0,0.4024,4.2734,1044,0.2089,5.3843,0.523,0,0,-0.0249,0.6922,0.31,0.0,0.4377,0.4675,1.2425
LONINKCB_00631,contig_102,13,13011,0.0,667.1538,0.4255,0.3792,0.0,0.4024,4.2734,294,0.0484,0.1768,0.337,0,0,0.1682,0.0113,0.3348,0.0,0.398,0.2531,0.4249
LONINKCB_00632,contig_102,13,13011,0.0,667.1538,0.4255,0.3792,0.0,0.4024,4.2734,441,0.0798,1.1975,0.291,0,0,0.1367,0.034,0.3259,0.0,0.3991,0.2592,0.4482
LONINKCB_00633,contig_102,13,13011,0.0,667.1538,0.4255,0.3792,0.0,0.4024,4.2734,888,0.1755,4.3012,0.2238,0,0,0.0042,0.9465,0.4306,0.0,0.4122,0.3296,0.7168
