#gene_id	taxID	e_value	fasta_id
LONINKCB_00521			LONINKCB_00521-0
LONINKCB_00522			LONINKCB_00522-0
LONINKCB_00523			LONINKCB_00523-0
LONINKCB_00524			LONINKCB_00524-0
LONINKCB_00628			LONINKCB_00628-0
LONINKCB_00629			LONINKCB_00629-0
LONINKCB_00630			LONINKCB_00630-0
LONINKCB_00631			LONINKCB_00631-0
LONINKCB_00632			LONINKCB_00632-0
LONINKCB_00633			LONINKCB_00633-0
LONINKCB_00634	38358	1.19e-40	LONINKCB_00634-0
LONINKCB_00635		1.50e-14	LONINKCB_00635-0
LONINKCB_00636		1.15e-07	LONINKCB_00636-0
LONINKCB_00637	131567	1.92e-57	LONINKCB_00637-0
LONINKCB_00638	131567	2.98e-48	LONINKCB_00638-0
LONINKCB_00639		3.99e-78	LONINKCB_00639-0
LONINKCB_00640	35572	1.33e-99	LONINKCB_00640-0
LONINKCB_00113			LONINKCB_00113-0
LONINKCB_00114			LONINKCB_00114-0
LONINKCB_00115			LONINKCB_00115-0
LONINKCB_00116			LONINKCB_00116-0
LONINKCB_00117			LONINKCB_00117-0
LONINKCB_00118			LONINKCB_00118-0
LONINKCB_00119			LONINKCB_00119-0
LONINKCB_00120			LONINKCB_00120-0
LONINKCB_00121			LONINKCB_00121-0
LONINKCB_00122			LONINKCB_00122-0
LONINKCB_00123			LONINKCB_00123-0
LONINKCB_00124			LONINKCB_00124-0
LONINKCB_00125			LONINKCB_00125-0
LONINKCB_00126			LONINKCB_00126-0
LONINKCB_00127			LONINKCB_00127-0
LONINKCB_00128			LONINKCB_00128-0
LONINKCB_00129			LONINKCB_00129-0
LONINKCB_00130			LONINKCB_00130-0
LONINKCB_00131			LONINKCB_00131-0
LONINKCB_00132			LONINKCB_00132-0
LONINKCB_00133			LONINKCB_00133-0
LONINKCB_00134			LONINKCB_00134-0
LONINKCB_00135			LONINKCB_00135-0
LONINKCB_00136			LONINKCB_00136-0
LONINKCB_00137			LONINKCB_00137-0
LONINKCB_00138			LONINKCB_00138-0
LONINKCB_00139			LONINKCB_00139-0
LONINKCB_00140			LONINKCB_00140-0
LONINKCB_00141			LONINKCB_00141-0
LONINKCB_00142			LONINKCB_00142-0
LONINKCB_00143			LONINKCB_00143-0
LONINKCB_00525			LONINKCB_00525-0
LONINKCB_00526			LONINKCB_00526-0
LONINKCB_00527			LONINKCB_00527-0
LONINKCB_00528			LONINKCB_00528-0
LONINKCB_00529			LONINKCB_00529-0
LONINKCB_00530			LONINKCB_00530-0
LONINKCB_00531			LONINKCB_00531-0
LONINKCB_00532			LONINKCB_00532-0
LONINKCB_00533			LONINKCB_00533-0
LONINKCB_00534			LONINKCB_00534-0
LONINKCB_00535			LONINKCB_00535-0
LONINKCB_00536			LONINKCB_00536-0
LONINKCB_00537			LONINKCB_00537-0
LONINKCB_00538			LONINKCB_00538-0
LONINKCB_00539			LONINKCB_00539-0
LONINKCB_00540			LONINKCB_00540-0
LONINKCB_00541			LONINKCB_00541-0
LONINKCB_00542			LONINKCB_00542-0
LONINKCB_00543			LONINKCB_00543-0
LONINKCB_00544	38358	9.89e-27	LONINKCB_00544-0
LONINKCB_00545	38358	1.26e-113	LONINKCB_00545-0
LONINKCB_00546	38358	1.10e-22	LONINKCB_00546-0
LONINKCB_00547	38358	1.27e-20	LONINKCB_00547-0
LONINKCB_00548			LONINKCB_00548-0
LONINKCB_00549			LONINKCB_00549-0
LONINKCB_00550			LONINKCB_00550-0
LONINKCB_00551			LONINKCB_00551-0
LONINKCB_00552			LONINKCB_00552-0
LONINKCB_00553			LONINKCB_00553-0
LONINKCB_00554			LONINKCB_00554-0
LONINKCB_00555			LONINKCB_00555-0
LONINKCB_00556			LONINKCB_00556-0
LONINKCB_00557			LONINKCB_00557-0
LONINKCB_00558			LONINKCB_00558-0
LONINKCB_00559			LONINKCB_00559-0
LONINKCB_00560			LONINKCB_00560-0
LONINKCB_00561			LONINKCB_00561-0
LONINKCB_00562			LONINKCB_00562-0
LONINKCB_00563			LONINKCB_00563-0
LONINKCB_00059			LONINKCB_00059-0
LONINKCB_00060			LONINKCB_00060-0
LONINKCB_00061			LONINKCB_00061-0
LONINKCB_00062			LONINKCB_00062-0
LONINKCB_00063			LONINKCB_00063-0
LONINKCB_00064			LONINKCB_00064-0
LONINKCB_00065			LONINKCB_00065-0
LONINKCB_00066			LONINKCB_00066-0
LONINKCB_00067			LONINKCB_00067-0
LONINKCB_00068			LONINKCB_00068-0
LONINKCB_00069			LONINKCB_00069-0
LONINKCB_00070			LONINKCB_00070-0
LONINKCB_00071			LONINKCB_00071-0
LONINKCB_00072			LONINKCB_00072-0
LONINKCB_00073			LONINKCB_00073-0
LONINKCB_00074			LONINKCB_00074-0
LONINKCB_00075			LONINKCB_00075-0
LONINKCB_00076			LONINKCB_00076-0
LONINKCB_00077			LONINKCB_00077-0
LONINKCB_00078			LONINKCB_00078-0
LONINKCB_00079			LONINKCB_00079-0
LONINKCB_00080			LONINKCB_00080-0
LONINKCB_00081			LONINKCB_00081-0
LONINKCB_00082			LONINKCB_00082-0
LONINKCB_00083			LONINKCB_00083-0
LONINKCB_00084			LONINKCB_00084-0
LONINKCB_00085			LONINKCB_00085-0
LONINKCB_00086			LONINKCB_00086-0
LONINKCB_00087			LONINKCB_00087-0
LONINKCB_00088			LONINKCB_00088-0
LONINKCB_00089			LONINKCB_00089-0
LONINKCB_00090			LONINKCB_00090-0
LONINKCB_00091			LONINKCB_00091-0
LONINKCB_00092			LONINKCB_00092-0
