qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	taxid	taxname
LONINKCB_00019-0	XP_037049623.1	61.9	42	15	1	23	64	194	234	1.94e-06	54.7	38358	Bradysia coprophila
LONINKCB_00019-0	XP_037049638.1	61.9	42	15	1	23	64	176	216	1.89e-06	54.7	38358	Bradysia coprophila
LONINKCB_00019-0	XP_037049631.1	61.9	42	15	1	23	64	178	218	1.90e-06	54.7	38358	Bradysia coprophila
LONINKCB_00019-0	KAG4078058.1	46.2	52	27	1	13	64	157	207	1.71e-05	52.0	1564500	Bradysia odoriphaga
LONINKCB_00020-0	XP_037049623.1	74.8	115	5	1	5	119	94	184	4.25e-41	149	38358	Bradysia coprophila
LONINKCB_00020-0	XP_037049638.1	74.8	115	5	1	5	119	76	166	2.78e-41	149	38358	Bradysia coprophila
LONINKCB_00020-0	XP_037049631.1	74.8	115	5	1	5	119	78	168	2.92e-41	149	38358	Bradysia coprophila
LONINKCB_00027-0	XP_037049661.1	98.3	58	1	0	37	94	52	109	7.19e-32	120	35571;LCA:35571	Bradysia;LCA:Bradysia
LONINKCB_00027-0	KAJ6637571.1	89.7	58	6	0	37	94	52	109	3.12e-28	110	35572	Pseudolycoriella hygida
LONINKCB_00028-0	KAJ6637571.1	91.9	37	3	0	18	54	113	149	5.03e-15	74.7	35572	Pseudolycoriella hygida
LONINKCB_00028-0	XP_037049661.1	91.9	37	3	0	18	54	113	149	5.03e-15	74.7	35571;LCA:35571	Bradysia;LCA:Bradysia
LONINKCB_00028-0	XP_055383467.1	83.8	37	6	0	18	54	113	149	8.04e-14	71.6	2530218	Condylostylus longicornis
LONINKCB_00028-0	XP_055696064.1	71.4	49	8	1	12	54	103	151	2.37e-13	70.5	7200	Lutzomyia longipalpis
LONINKCB_00028-0	XP_045525303.1	91.2	34	3	0	21	54	116	149	3.21e-13	70.1	7116	Pieris brassicae
LONINKCB_00028-0	XP_055699701.1	69.4	49	9	1	12	54	103	151	3.35e-13	70.1	29031	Phlebotomus papatasi
LONINKCB_00028-0	XP_037902405.1	69.4	49	9	1	12	54	101	149	3.21e-13	70.1	343691	Hermetia illucens
LONINKCB_00028-0	XP_047522765.1	91.2	34	3	0	21	54	116	149	3.21e-13	70.1	78633	Pieris napi
LONINKCB_00028-0	CAF4943718.1	91.2	34	3	0	21	54	116	149	3.21e-13	70.1	345717	Pieris macdunnoughi
LONINKCB_00028-0	KAI8431296.1	91.2	34	3	0	21	54	120	153	3.50e-13	70.1	7141	Choristoneura fumiferana
LONINKCB_00028-0	CAH0688144.1	91.2	34	3	0	21	54	109	142	3.89e-13	69.7	168631	Chilo suppressalis
LONINKCB_00028-0	KPJ00427.1	91.2	34	3	0	21	54	150	183	8.99e-13	69.7	66420	Papilio xuthus
LONINKCB_00028-0	XP_053622456.1	91.2	34	3	0	21	54	119	152	4.84e-13	69.7	58824	Plodia interpunctella
LONINKCB_00028-0	XP_053622457.1	91.2	34	3	0	21	54	116	149	4.54e-13	69.7	58824	Plodia interpunctella
LONINKCB_00028-0	RVE40215.1	91.2	34	3	0	21	54	116	149	4.54e-13	69.7	168631	Chilo suppressalis
LONINKCB_00028-0	XP_013178961.1	91.2	34	3	0	21	54	116	149	4.54e-13	69.7	66420	Papilio xuthus
LONINKCB_00028-0	CAH0688143.1	91.2	34	3	0	21	54	145	178	8.19e-13	69.7	168631	Chilo suppressalis
LONINKCB_00028-0	NP_001299672.1	91.2	34	3	0	21	54	81	114	2.01e-13	69.7	66420	Papilio xuthus
LONINKCB_00028-0	XP_026762141.1	91.2	34	3	0	21	54	116	149	4.54e-13	69.7	7137	Galleria mellonella
LONINKCB_00028-0	XP_041983456.1	91.2	34	3	0	21	54	116	149	4.54e-13	69.7	91739	Aricia agestis
LONINKCB_00028-0	KPJ12604.1	91.2	34	3	0	21	54	232	265	2.91e-12	69.7	76193	Papilio machaon
LONINKCB_00028-0	XP_022831890.1	91.2	34	3	0	21	54	116	149	4.54e-13	69.7	69820	Spodoptera litura
LONINKCB_00028-0	XP_014361731.1	91.2	34	3	0	21	54	116	149	4.54e-13	69.7	76193	Papilio machaon
LONINKCB_00028-0	CAG5001035.1	91.2	34	3	0	21	54	191	224	1.76e-12	69.7	110799	Parnassius apollo
LONINKCB_00028-0	XP_022119379.2	88.2	34	4	0	21	54	116	149	4.54e-13	69.7	64459	Pieris rapae
LONINKCB_00028-0	XP_013192197.1	91.2	34	3	0	21	54	116	149	4.54e-13	69.7	680683	Amyelois transitella
LONINKCB_00028-0	XP_055324753.1	67.3	49	10	1	12	54	100	148	8.87e-13	68.9	263140	Sitodiplosis mosellana
LONINKCB_00028-0	XP_034485996.1	83.8	37	6	0	18	54	113	149	9.06e-13	68.9	198719	Drosophila innubila
LONINKCB_00028-0	XP_043653290.1	88.2	34	4	0	21	54	116	149	9.06e-13	68.9	7243	Drosophila teissieri
LONINKCB_00028-0	XP_013138117.1	91.2	34	3	0	21	54	116	149	1.28e-12	68.6	76194	Papilio polytes
LONINKCB_00028-0	XP_013196610.1	88.2	34	4	0	21	54	116	149	1.28e-12	68.6	680683	Amyelois transitella
LONINKCB_00028-0	XP_049884414.1	88.2	34	4	0	21	54	116	149	1.28e-12	68.6	13191	Pectinophora gossypiella
LONINKCB_00028-0	XP_028169425.1	88.2	34	4	0	21	54	116	149	1.28e-12	68.6	93504	Ostrinia furnacalis
LONINKCB_00028-0	XP_026487089.1	91.2	34	3	0	21	54	116	149	1.28e-12	68.6	171576;LCA:171576	Nymphalini;LCA:Nymphalini
LONINKCB_00028-0	CAH2064570.1	88.2	34	4	0	21	54	116	149	1.28e-12	68.6	110791	Iphiclides podalirius
LONINKCB_00028-0	XP_031620609.1	65.3	49	11	1	12	54	101	149	1.28e-12	68.6	265458	Contarinia nasturtii
LONINKCB_00028-0	XP_052746070.1	91.2	34	3	0	21	54	116	149	1.28e-12	68.6	110368	Bicyclus anynana
LONINKCB_00028-0	XP_001851528.1	85.3	34	5	0	21	54	116	149	1.28e-12	68.6	518105;LCA:518105	Culex pipiens complex;LCA:Culex pipiens complex
LONINKCB_00028-0	CAG9577668.1	85.3	34	5	0	21	54	109	142	1.55e-12	68.2	151541	Danaus chrysippus
LONINKCB_00028-0	XP_053681243.1	85.3	34	5	0	21	54	116	149	1.81e-12	68.2	185578	Anopheles nili
LONINKCB_00028-0	XP_052903396.1	85.3	34	5	0	21	54	121	154	2.01e-12	68.2	186751	Anopheles moucheti
LONINKCB_00028-0	XP_052903395.1	85.3	34	5	0	21	54	116	149	1.81e-12	68.2	186751	Anopheles moucheti
LONINKCB_00028-0	XP_032528261.1	85.3	34	5	0	21	54	116	149	1.81e-12	68.2	278856	Danaus plexippus plexippus
LONINKCB_00028-0	XP_053667787.1	85.3	34	5	0	21	54	121	154	2.01e-12	68.2	1521116	Anopheles marshallii
LONINKCB_00028-0	EDV91112.1	81.1	37	7	0	18	54	112	148	2.50e-12	67.8	7222	Drosophila grimshawi
LONINKCB_00028-0	XP_001994483.2	81.1	37	7	0	18	54	113	149	2.56e-12	67.8	7215;LCA:7215	Drosophila;LCA:Drosophila
