qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	taxid	taxname
None-gene-3759944-0	XP_055356531.1	50.5	103	51	0	1	103	753	855	4.07e-25	110	2943436	Paramacrobiotus metropolitanus
None-gene-3759944-0	XP_055344928.1	49.1	106	54	0	2	107	449	554	8.63e-25	109	2943436	Paramacrobiotus metropolitanus
None-gene-3759944-0	XP_055347500.1	50.5	103	51	0	1	103	222	324	2.39e-25	108	2943436	Paramacrobiotus metropolitanus
None-gene-3759944-0	KAJ4450982.1	48.5	103	53	0	1	103	469	571	3.17e-24	107	6978	Periplaneta americana
None-gene-3759944-0	KAJ4432237.1	48.6	107	55	0	1	107	613	719	3.51e-24	107	6978	Periplaneta americana
None-gene-3759944-0	XP_055350955.1	47.2	106	56	0	2	107	432	537	5.48e-24	107	2943436	Paramacrobiotus metropolitanus
None-gene-3759944-0	KAI5640648.1	48.5	103	53	0	1	103	226	328	1.15e-24	107	192464	Phthorimaea operculella
None-gene-3759944-0	KAJ4452161.1	49.5	103	52	0	1	103	38	140	2.06e-25	105	6978	Periplaneta americana
None-gene-3759944-0	XP_055327217.1	46.7	107	57	0	1	107	124	230	7.87e-25	105	2943436	Paramacrobiotus metropolitanus
None-gene-3759944-0	OXA49110.1	48.5	103	53	0	1	103	208	310	6.63e-24	104	158441	Folsomia candida
None-gene-3759944-0	XP_035711626.1	48.5	103	53	0	1	103	236	338	9.67e-24	104	158441	Folsomia candida
None-gene-3759944-0	GAV06647.1	46.0	100	54	0	4	103	7	106	1.55e-25	104	947166	Ramazzottius varieornatus
None-gene-3759944-0	GAV09243.1	47.0	100	53	0	4	103	93	192	1.32e-24	104	947166	Ramazzottius varieornatus
None-gene-3759944-0	PGH37340.1	48.6	107	55	0	1	107	33	139	2.39e-25	104	2044729	Candidatus Nephrothrix sp. EaCA
None-gene-3759944-0	XP_055351785.1	46.2	106	57	0	2	107	812	917	5.87e-23	104	2943436	Paramacrobiotus metropolitanus
None-gene-3759944-0	XP_021967784.1	46.6	103	55	0	1	103	411	513	6.48e-23	103	158441	Folsomia candida
None-gene-3759944-0	CAH2232343.1	47.1	104	55	0	1	104	269	372	2.69e-23	103	348720	Pararge aegeria aegeria
None-gene-3759944-0	XP_055345042.1	47.1	104	55	0	1	104	241	344	1.99e-23	103	2943436	Paramacrobiotus metropolitanus
None-gene-3759944-0	GAU90699.1	46.6	103	55	0	1	103	271	373	5.93e-23	103	947166	Ramazzottius varieornatus
None-gene-3759944-0	XP_055342196.1	47.6	103	54	0	1	103	623	725	1.46e-22	103	2943436	Paramacrobiotus metropolitanus
None-gene-3759944-0	XP_055342197.1	47.6	103	54	0	1	103	491	593	1.40e-22	103	2943436	Paramacrobiotus metropolitanus
None-gene-3759944-0	OXA61363.1	45.6	103	56	0	1	103	358	460	1.47e-22	103	158441	Folsomia candida
None-gene-3759944-0	OXA48253.1	45.8	107	58	0	1	107	982	1088	1.51e-22	103	158441	Folsomia candida
