g_name,c_name,c_num_of_genes,c_len,c_pct_assemby_len,c_genelenm,c_genelensd,c_pearson_r,c_pearson_p,c_gc_cont,c_gcdev,g_len,g_lendev_c,g_lendev_o,g_abspos,g_terminal,g_single,g_pearson_r_o,g_pearson_p_o,g_pearson_r_c,g_pearson_p_c,g_gc_cont,g_gcdev_c,g_gcdev_o,PC_1,PC_2,PC_3,diamond_header,fasta_header,best_hit,best_hitID,bh_pident,bh_evalue,bh_bitscore,lca,lcaID,refined_lca,refined_lcaID,taxon_assignment,taxon_assignmentID,is_target,plot_label,plot_labelID,start,end,upstream_gene,downstream_gene,gene_biotype
None-gene-451,contig_983,1,1656,0.0158,496.0,,0.0884,0.1585,0.3798,0.2489,496,,0.1251,0.4559,1,1,0.3009,0.0,0.5972,0.0,0.4294,,-0.8208,0.7251645105246535,2.2658384132352785,1.534955603744859,None-gene-451-0,None-gene-451-0,Toxorhynchites rutilus septentrionalis,329112,32.5,7.38e-04,51.2,Endopterygota,33392,Nematocera,7148,Nematocera,7148,1,Nematocera,7148,451,946,,,mRNA
None-gene-114,contig_283,2,778,0.0074,165.0,69.0,-0.0175,0.7799,0.4871,1.2239,234,1.0,-0.4435,0.7088,1,0,-0.1359,0.035,0.5646,0.0,0.4872,0.6405,-0.225,-2.9997580628668112,2.5284803975107772,-0.42428213222954536,None-gene-114-0,None-gene-114-0,Escherichia coli,562,58.3,9.19e-15,73.9,root,1,cellular organisms,131567,cellular organisms,131567,1,cellular organisms,131567,114,347,None-gene-681,,mRNA
None-gene-681,contig_283,2,778,0.0074,165.0,69.0,-0.0175,0.7799,0.4871,1.2239,96,-1.0,-0.743,0.9948,1,0,-0.0436,0.6001,0.2266,0.0058,0.4792,-1.5612,-0.3077,-3.1542436282922357,1.1765069005807884,1.3939856411138984,None-gene-681-0,None-gene-681-0,Escherichia coli O25b:H4,941280,78.1,1.02e-06,49.7,Escherichia coli O25b:H4,941280,,,Escherichia coli O25b:H4,941280,0,Escherichia coli O25b:H4,941280,681,776,,None-gene-114,mRNA
None-gene-3238,contig_455,3,7480,0.0713,1168.6667,1002.2712,0.1446,0.0206,0.6747,2.9282,626,-0.5414,0.4072,0.1343,1,0,0.1792,0.0086,0.2238,0.001,0.6837,-1.7406,1.8025,4.301898350048252,0.9439399151938527,3.088553307735816,None-gene-3238-0,None-gene-3238-0,Microbacterium saperdae,69368,82.5,1.66e-09,67.4,Microbacterium,33882,,,Microbacterium,33882,0,Microbacterium,33882,3238,3863,None-gene-3968,,mRNA
None-gene-3968,contig_455,3,7480,0.0713,1168.6667,1002.2712,0.1446,0.0206,0.6747,2.9282,306,-0.8607,-0.2872,0.1423,0,0,0.067,0.3607,0.3451,0.0,0.7124,2.2483,2.0987,3.909931808330148,0.20333550592492788,2.6867427995785365,None-gene-3968-0,None-gene-3968-0,Microbacterium sp. J1-1,2992441,55.8,6.30e-11,68.2,Actinomycetota,201174,,,Actinomycetota,201174,0,Actinomycetota,201174,3968,4273,None-gene-4755,None-gene-3238,mRNA
None-gene-4755,contig_455,3,7480,0.0713,1168.6667,1002.2712,0.1446,0.0206,0.6747,2.9282,2574,1.4021,4.6348,0.9593,1,0,0.1107,0.0911,0.7047,0.0,0.6974,0.156,1.9433,5.404207241996904,4.943759174571471,-0.6121700954579712,None-gene-4755-0,None-gene-4755-0,Microbacterium oxydans,82380,42.7,7.23e-119,399,Terrabacteria group,1783272,,,Terrabacteria group,1783272,0,Terrabacteria group,1783272,4755,7328,,None-gene-3968,mRNA
None-gene-9,contig_1746,4,4337,0.0414,944.0,396.2941,0.0543,0.3872,0.4372,0.7699,551,-0.9917,0.2445,0.9963,1,0,0.0016,0.9791,0.4877,0.0,0.4773,1.8274,-0.3268,0.4255075505882161,2.3505747358416924,1.6122426704044588,None-gene-9-0,None-gene-9-0,Taibaiella sp.,1869185,66.0,5.14e-27,113,Bacteroidota,976,,,Bacteroidota,976,0,Bacteroidota,976,9,559,None-gene-1949,None-gene-3646,mRNA
None-gene-585,contig_1746,4,4337,0.0414,944.0,396.2941,0.0543,0.3872,0.4372,0.7699,1149,0.5173,1.5423,0.7306,0,0,0.0127,0.8403,0.5559,0.0,0.443,-0.7098,-0.6809,1.2926754755685734,2.3092693687577226,-0.14026134872609292,None-gene-585-0,None-gene-585-0,Taibaiella sp.,1869185,37.5,1.48e-53,192,Taibaiella sp.,1869185,,,Taibaiella sp.,1869185,0,Taibaiella sp.,1869185,585,1733,,None-gene-1949,mRNA
None-gene-1949,contig_1746,4,4337,0.0414,944.0,396.2941,0.0543,0.3872,0.4372,0.7699,1493,1.3853,2.2888,0.5867,0,0,0.0358,0.5689,0.6438,0.0,0.4581,0.4098,-0.5247,1.7454587495480371,2.8942526671037188,-0.9183106585075309,None-gene-1949-0,None-gene-1949-0,Taibaiella sp.,1869185,35.6,4.38e-60,217,Bacteroidota,976,,,Bacteroidota,976,0,Bacteroidota,976,1949,3441,None-gene-585,None-gene-9,mRNA
None-gene-3646,contig_1746,4,4337,0.0414,944.0,396.2941,0.0543,0.3872,0.4372,0.7699,583,-0.9109,0.3139,0.9497,1,0,0.0254,0.6863,0.4345,0.0,0.434,-1.3775,-0.7741,0.5338394199352925,2.195457150727908,1.6729272868354776,None-gene-3646-0,None-gene-3646-0,Taibaiella sp.,1869185,88.1,1.28e-59,207,Bacteroidota,976,,,Bacteroidota,976,0,Bacteroidota,976,3646,4228,None-gene-9,,mRNA
None-gene-63,contig_289,2,552,0.0053,126.0,27.0,-0.0367,0.5593,0.4094,0.5178,99,-1.0,-0.7365,0.7745,1,0,-0.0853,0.2914,0.3767,0.0,0.4545,-1.2432,-0.5617,-3.5463388063434644,1.4390212828041073,1.173334592824964,None-gene-63-0,None-gene-63-0,Escherichia coli,562,97.0,9.55e-15,70.5,Escherichia coli,562,,,Escherichia coli,562,0,Escherichia coli,562,63,161,None-gene-398,,mRNA
None-gene-398,contig_289,2,552,0.0053,126.0,27.0,-0.0367,0.5593,0.4094,0.5178,153,1.0,-0.6193,0.9927,1,0,-0.057,0.4189,0.6072,0.0,0.4575,0.8044,-0.5311,-3.3020074541384776,2.818566988742664,-0.5095018268990071,None-gene-398-0,None-gene-398-0,Escherichia coli,562,98.0,7.37e-26,100,root,1,Arthropoda,6656,Arthropoda,6656,1,Arthropoda,6656,398,550,,None-gene-63,mRNA
None-gene-119,contig_290,9,2443,0.0233,260.4444,149.297,-0.0136,0.8292,0.4302,0.7066,474,1.4304,0.0774,0.9034,1,0,-0.0084,0.8932,0.5475,0.0,0.5021,1.1853,-0.071,-1.8628498174028305,2.4487006772546374,-0.9963968707630667,None-gene-119-0,None-gene-119-0,Timema douglasi,61478,100,1.69e-113,328,root,1,Neoptera,33340,Neoptera,33340,1,Neoptera,33340,119,592,None-gene-1269,None-gene-599,mRNA
None-gene-500,contig_290,9,2443,0.0233,260.4444,149.297,-0.0136,0.8292,0.4302,0.7066,198,-0.4183,-0.5216,0.5913,0,0,-0.0617,0.3401,0.3351,0.0,0.4545,0.3213,-0.5617,-2.111376198470551,0.10829827669991071,0.25598348121671605,None-gene-500-0,None-gene-500-0,Trichonephila clavipes,2585209,96.8,6.65e-10,62.0,cellular organisms,131567,Arthropoda,6656,Arthropoda,6656,1,Arthropoda,6656,500,697,None-gene-1130,None-gene-1945,mRNA
None-gene-599,contig_290,9,2443,0.0233,260.4444,149.297,-0.0136,0.8292,0.4302,0.7066,293,0.2181,-0.3154,0.5102,0,0,-0.1555,0.0175,0.3923,0.0,0.4983,1.116,-0.1104,-2.230861511051858,0.4678911372637727,-0.4148488965426971,None-gene-599-0,None-gene-599-0,Streptococcus uberis,1349,95.3,2.53e-33,120,Streptococcus uberis,1349,,,Streptococcus uberis,1349,0,Streptococcus uberis,1349,599,891,None-gene-119,,mRNA
