#gene_id	taxID	e_value	fasta_id
None-gene-1920	33392	1.47e-89	None-gene-1920-0
None-gene-21717	41088	1.23e-81	None-gene-21717-0
None-gene-1964	348720	3.77e-11	None-gene-1964-0
None-gene-2321	50385	3.94e-54	None-gene-2321-0
None-gene-686	35572	1.93e-30	None-gene-686-0
None-gene-2236	33392	2.45e-05	None-gene-2236-0
None-gene-4990	33392	4.40e-14	None-gene-4990-0
None-gene-5516	7147	6.96e-15	None-gene-5516-0
None-gene-8728	7184	6.50e-46	None-gene-8728-0
None-gene-13420	7147	2.26e-38	None-gene-13420-0
None-gene-17628	35572	1.53e-29	None-gene-17628-0
None-gene-17825	35571	8.38e-37	None-gene-17825-0
None-gene-25876	35571	6.76e-50	None-gene-25876-0
None-gene-52051	35572	1.89e-109	None-gene-52051-0
None-gene-17098	35571	1.53e-44	None-gene-17098-0
None-gene-26414	35571	1.40e-69	None-gene-26414-0
None-gene-49764	35572	1.21e-131	None-gene-49764-0
None-gene-67508	35571	7.09e-77	None-gene-67508-0
None-gene-79604	35572	4.76e-11	None-gene-79604-0
None-gene-24920			None-gene-24920-0
None-gene-570	7399	1.51e-17	None-gene-570-0
None-gene-2952	35571	5.01e-48	None-gene-2952-0
None-gene-12324	35572	7.85e-89	None-gene-12324-0
None-gene-15198	33392	2.49e-43	None-gene-15198-0
None-gene-18923	35571	9.89e-30	None-gene-18923-0
None-gene-19410	35571	1.04e-08	None-gene-19410-0
None-gene-19742	35571	4.01e-14	None-gene-19742-0
None-gene-22171	33392	1.66e-16	None-gene-22171-0
None-gene-23907	35571	8.90e-22	None-gene-23907-0
None-gene-24232	7148	9.91e-14	None-gene-24232-0
None-gene-28273	33392	9.68e-46	None-gene-28273-0
None-gene-12564	35571	8.63e-218	None-gene-12564-0
None-gene-22153	35571	5.23e-67	None-gene-22153-0
None-gene-35295	35571	2.15e-120	None-gene-35295-0
None-gene-44667	33392	7.49e-18	None-gene-44667-0
None-gene-52707			None-gene-52707-0
None-gene-58185	41088	1.11e-65	None-gene-58185-0
None-gene-60227	182803	2.72e-05	None-gene-60227-0
None-gene-61890	33392	2.10e-05	None-gene-61890-0
None-gene-67342	33392	3.05e-102	None-gene-67342-0
None-gene-69978	2747483	7.85e-06	None-gene-69978-0
None-gene-70685	35571	2.35e-49	None-gene-70685-0
None-gene-99704	35571	2.81e-74	None-gene-99704-0
None-gene-137148			None-gene-137148-0
None-gene-3402	33392	1.27e-12	None-gene-3402-0
None-gene-8640	33392	4.32e-116	None-gene-8640-0
None-gene-1388			None-gene-1388-0
None-gene-14540	7148	6.75e-15	None-gene-14540-0
None-gene-9123	113334	2.65e-04	None-gene-9123-0
None-gene-18448	35571	5.03e-47	None-gene-18448-0
None-gene-9425	35571	1.51e-26	None-gene-9425-0
None-gene-18740	7184	1.70e-32	None-gene-18740-0
None-gene-22423	471704	1.53e-07	None-gene-22423-0
None-gene-518	7147	9.69e-23	None-gene-518-0
None-gene-1329	35571	3.74e-22	None-gene-1329-0
None-gene-1680	35571	2.85e-20	None-gene-1680-0
None-gene-3493	6333	2.07e-11	None-gene-3493-0
None-gene-12762	33392	4.47e-51	None-gene-12762-0
