g_name,c_name,c_num_of_genes,c_len,c_pct_assemby_len,c_genelenm,c_genelensd,c_pearson_r,c_pearson_p,c_gc_cont,c_gcdev,g_len,g_lendev_c,g_lendev_o,g_abspos,g_terminal,g_single,g_pearson_r_o,g_pearson_p_o,g_pearson_r_c,g_pearson_p_c,g_gc_cont,g_gcdev_c,g_gcdev_o
None-gene-1920,contig_372,2,26683,0.0001,9346.0,0.4454,0.4513,0.0,0.3931,3.1834,18047,0.1177,4.2025,0.8562,1,0,0.3859,0.0,0.9475,0.0,0.3922,0.2731,0.1198
None-gene-21717,contig_372,2,26683,0.0001,9346.0,0.4454,0.4513,0.0,0.3931,3.1834,645,0.036,-0.4179,0.676,1,0,0.0687,0.2799,0.3501,0.0,0.4248,0.5596,1.0684
None-gene-1964,contig_379,2,2742,0.0,319.5,0.0048,0.2781,0.0,0.3665,0.8727,222,0.036,-0.5303,0.5934,1,0,0.249,0.0006,0.4294,0.0,0.4505,0.3547,1.8144
None-gene-2321,contig_379,2,2742,0.0,319.5,0.0048,0.2781,0.0,0.3665,0.8727,417,0.1177,-0.4785,0.9964,1,0,0.0542,0.4024,0.3035,0.0,0.4101,0.2449,0.6398
None-gene-686,contig_375,1,23279,0.0001,2941.0,0.18,0.4038,0.0,0.3624,0.5138,2941,0.0769,0.1917,0.9411,1,1,0.2341,0.0002,0.2368,0.0001,0.3876,0.3178,-0.0133
None-gene-2236,contig_382,6,53311,0.0002,985.5,0.0335,0.4141,0.0,0.3653,0.7708,1698,0.1212,-0.1384,0.9162,1,0,0.1842,0.0031,0.1465,0.0191,0.3863,0.2143,-0.0507
None-gene-4990,contig_382,6,53311,0.0002,985.5,0.0335,0.4141,0.0,0.3653,0.7708,524,0.0481,-0.4501,0.8128,0,0,0.1639,0.0096,0.1449,0.0222,0.4065,0.2602,0.5355
None-gene-5516,contig_382,6,53311,0.0002,985.5,0.0335,0.4141,0.0,0.3653,0.7708,213,0.0287,-0.5326,0.7931,0,0,0.0496,0.4794,0.1755,0.0116,0.3944,0.2326,0.1829
None-gene-8728,contig_382,6,53311,0.0002,985.5,0.0335,0.4141,0.0,0.3653,0.7708,2044,0.1428,-0.0465,0.6726,0,0,-0.0514,0.4127,0.1048,0.0944,0.4281,0.3092,1.1637
None-gene-13420,contig_382,6,53311,0.0002,985.5,0.0335,0.4141,0.0,0.3653,0.7708,674,0.0574,-0.4102,0.4966,0,0,0.0773,0.218,0.1888,0.0024,0.454,0.3682,1.9179
None-gene-17628,contig_382,6,53311,0.0002,985.5,0.0335,0.4141,0.0,0.3653,0.7708,760,0.0628,-0.3874,0.3387,1,0,0.1584,0.0111,0.0799,0.2024,0.4329,0.3202,1.3037
None-gene-17825,contig_386,3,59802,0.0002,4210.3333,0.1257,0.6697,0.0,0.3438,-1.1027,5419,0.097,0.8496,0.4039,1,0,0.2809,0.0,0.2682,0.0,0.3558,0.2237,-0.9395
None-gene-25876,contig_386,3,59802,0.0002,4210.3333,0.1257,0.6697,0.0,0.3438,-1.1027,783,0.0198,-0.3813,0.1346,0,0,0.1041,0.0965,0.1422,0.0229,0.401,0.3642,0.3765
None-gene-52051,contig_386,3,59802,0.0002,4210.3333,0.1257,0.6697,0.0,0.3438,-1.1027,6429,0.1138,1.1178,0.9558,1,0,0.3757,0.0,0.5227,0.0,0.3878,0.3231,-0.0089
None-gene-17098,contig_387,5,82417,0.0002,4099.0,0.1322,0.6767,0.0,0.3457,-0.9334,5838,0.1044,0.9608,0.5851,1,0,0.2481,0.0001,0.1795,0.004,0.363,0.234,-0.7306
None-gene-26414,contig_387,5,82417,0.0002,4099.0,0.1322,0.6767,0.0,0.3457,-0.9334,1122,0.0297,-0.2913,0.359,0,0,0.2157,0.0005,0.1728,0.0056,0.3984,0.3811,0.3001
None-gene-49764,contig_387,5,82417,0.0002,4099.0,0.1322,0.6767,0.0,0.3457,-0.9334,6090,0.1084,1.0278,0.3554,0,0,0.269,0.0,0.5569,0.0,0.3688,0.2582,-0.5609
None-gene-67508,contig_387,5,82417,0.0002,4099.0,0.1322,0.6767,0.0,0.3457,-0.9334,6659,0.1174,1.1788,0.7998,0,0,0.2877,0.0,0.3968,0.0,0.3819,0.3125,-0.1801
None-gene-79604,contig_387,5,82417,0.0002,4099.0,0.1322,0.6767,0.0,0.3457,-0.9334,786,0.0244,-0.3805,0.9508,1,0,0.0895,0.1535,0.1978,0.0015,0.4148,0.449,0.7761
None-gene-24920,contig_405,1,31834,0.0001,147.0,0.18,0.3547,0.0,0.3514,-0.4386,147,0.0769,-0.5502,0.5748,1,1,nan,nan,nan,nan,0.7075,0.3178,9.2919
None-gene-570,contig_374,11,30103,0.0001,666.7273,0.0294,0.5183,0.0,0.3783,1.8927,2159,0.1827,-0.016,0.9622,1,0,0.1719,0.0058,0.3015,0.0,0.3798,0.2246,-0.2407
None-gene-2952,contig_374,11,30103,0.0001,666.7273,0.0294,0.5183,0.0,0.3783,1.8927,282,0.0496,-0.5143,0.8039,0,0,-0.0307,0.6399,0.0624,0.3409,0.3723,0.2139,-0.4579
