c_name,num_of_genes,lca,lcaID,percentage_target,most_abundant_taxon,target_bitscore_mean,target_bitscore_sd,target_evalue_mean,target_evalue_sd,other_bitscore_mean,other_bitscore_sd,other_evalue_mean,other_evalue_sd
contig_372,2,Endopterygota,33392,0.5,Endopterygota,329.0,,1.47e-89,,254.0,,1.23e-81,
contig_379,2,Endopterygota,33392,0,Pararge aegeria aegeria,,,,,122.25,83.09,1.885e-11,2.6657925650732844e-11
contig_375,1,Pseudolycoriella hygida,35572,0,Pseudolycoriella hygida,,,,,143.0,,1.93e-30,
contig_382,6,Endopterygota,33392,0.8333333333333334,Endopterygota,111.96,55.73,4.900000010192e-06,1.0956733084051469e-05,121.0,,1.53e-29,
contig_386,3,Sciaridae,7184,0.6666666666666666,Bradysia,171.0,11.31,4.190000000000338e-37,5.92555482634279e-37,389.0,,1.89e-109,
contig_387,5,Sciaridae,7184,0.6,Bradysia,235.33,49.01,5.1000000000000004e-45,8.833459118601274e-45,260.3,271.1,2.38e-11,3.365828278447966e-11
contig_405,1,Unassigned,,0,,,,,,,,,
contig_374,11,Endopterygota,33392,0.8181818181818182,Bradysia,113.47,42.28,1.1555710406667655e-09,3.466660859912241e-09,186.9,126.01,7.55e-18,1.0677312395916868e-17
contig_406,2,Bradysia,35571,1.0,Bradysia,456.5,269.41,2.615e-67,3.6981684656056437e-67,,,,
contig_381,11,Arthropoda,6656,0.5454545454545454,Bradysia,210.15,129.78,3.5000000000012485e-06,8.573214099740511e-06,115.8,114.49,1.1683333333333332e-05,1.3999315459454912e-05
contig_424,2,Endopterygota,33392,1.0,Endopterygota,219.15,211.92,6.35e-13,8.980256121069154e-13,,,,
contig_419,2,Nematocera,7148,0.5,Nematocera,93.6,,6.75e-15,,,,,
contig_416,2,Endopterygota,33392,0.5,Melitaea cinxia,181.0,,5.03e-47,,49.3,,0.000265,
contig_417,3,Endopterygota,33392,0.6666666666666666,Bradysia,129.5,24.75,7.5500085e-27,1.0677300375101587e-26,53.1,,1.53e-07,
contig_431,4,Ecdysozoa,1206794,0.75,Bradysia,98.83,3.48,9.656966666666667e-21,1.6319133708727723e-20,65.9,,2.07e-11,
contig_418,3,Endopterygota,33392,0.6666666666666666,Endopterygota,275.5,140.71,2.235e-51,3.1607673119038675e-51,52.4,,0.00048,
contig_437,3,cellular organisms,131567,0,bacterium,,,,,154.1,66.61,1.12e-15,1.9398969044771426e-15
contig_413,14,Ecdysozoa,1206794,0.7142857142857143,Bradysia,187.0,118.03,5.500194000032599e-07,1.7392458976948901e-06,118.83,82.81,1.7666666666912667e-06,3.0599564266837123e-06
contig_433,9,Bradysia,35571,0.7777777777777778,Bradysia,420.71,165.65,2.0485714542857145e-78,4.402936235756015e-78,,,,
contig_421,18,Endopterygota,33392,0.7777777777777778,Bradysia,141.36,73.2,5.67857243290717e-07,2.1247268442970334e-06,137.83,114.51,7.866666666671934e-07,1.3625466352870605e-06
contig_448,2,Hexapoda,6960,0,Folsomia candida,,,,,170.75,155.92,6.4e-09,9.050966799187808e-09
contig_447,1,Endopterygota,33392,1.0,Endopterygota,70.1,,3.2e-10,,,,,
contig_414,17,Endopterygota,33392,0.5882352941176471,Bradysia,318.55,244.66,3.040000000124e-14,9.613324086868304e-14,158.84,80.98,8.640000000000012e-07,1.931962732559818e-06
contig_442,6,Neoptera,33340,0.8333333333333334,Bradysia,150.06,87.01,1.092e-10,2.44178623142977e-10,113.0,,7.13e-25,
contig_434,18,Ecdysozoa,1206794,0.7777777777777778,Bradysia,276.2,194.3,1.171428571432757e-09,4.383084367362555e-09,75.1,9.23,4.9500003425e-11,5.185871396946432e-11
contig_441,7,cellular organisms,131567,0.42857142857142855,Bradysia,207.33,81.07,1.0666666666666666e-33,1.847520861406802e-33,240.67,110.28,1.3066669053333332e-41,2.2632128485319647e-41
contig_446,4,Diptera,7147,1.0,Bradysia,222.0,157.55,0.0001015,0.00020299999999999997,,,,
contig_455,3,Terrabacteria group,1783272,0,Microbacterium,,,,,178.2,191.22,5.743333333333334e-10,9.407424372979745e-10
contig_450,14,Hexapoda,6960,0.8571428571428571,Bradysia,338.7,255.24,2.458409666668558e-06,8.515892435852046e-06,194.75,185.62,1.175e-11,1.6617009357883865e-11
contig_409,26,Panarthropoda,88770,0.6538461538461539,Bradysia,189.92,107.96,1.1884471180084786e-18,2.688100606981347e-18,209.76,300.1,2.3143020455714285e-06,6.123017261476614e-06
contig_456,2,Bradysia,35571,0.5,Bradysia,1535.0,,0.0,,,,,
contig_465,1,Ditrysia,37567,0,Ditrysia,,,,,220.0,,5.82e-56,
contig_388,38,Endopterygota,33392,0.6578947368421053,Bradysia,266.41,326.53,4.154451578364001e-06,1.6862469697440642e-05,227.51,194.53,9.602857142940858e-13,2.2346097134421068e-12
contig_461,5,Pancrustacea,197562,0.6,Bradysia,286.0,185.77,8.2e-29,1.4202816622064793e-28,170.65,133.43,5.55e-16,7.848885271170679e-16
contig_389,49,Eukaryota,2759,0.673469387755102,Bradysia,281.22,228.54,1.4063350968183422e-09,7.226301901849201e-09,140.65,107.42,9.580914538399998e-07,2.7769078023388206e-06
contig_457,7,Neoptera,33340,0.8571428571428571,Bradysia,322.05,179.63,1.18e-16,2.8903978964841495e-16,100.0,,5.05e-24,
contig_444,17,Arthropoda,6656,0.6470588235294118,Bradysia,190.12,126.05,3.3363660545454543e-06,1.1065465543986624e-05,86.44,43.86,4.274317399999999e-08,9.517680753499446e-08
contig_472,1,Pseudolycoriella hygida,35572,0,Pseudolycoriella hygida,,,,,313.0,,2.14e-93,
contig_458,7,Diptera,7147,0.8571428571428571,Bradysia,375.83,315.39,1.2083333333333334e-26,2.9598001058630074e-26,249.0,,8.31e-73,
contig_443,16,Pancrustacea,197562,0.4375,Endopterygota,89.06,37.51,1.832653265791286e-08,4.619856750583426e-08,160.37,76.89,2.044592857142857e-14,4.93642220240096e-14
contig_476,1,Bradysia,35571,1.0,Bradysia,141.0,,5.06e-39,,,,,
contig_440,14,Pancrustacea,197562,0.8571428571428571,Bradysia,179.16,157.92,2.1328175000016836e-07,7.327456033405136e-07,176.0,,1e-47,
contig_483,1,Folsomia candida,158441,0,Folsomia candida,,,,,100.0,,9.13e-18,
contig_479,2,Sciaridae,7184,0.5,Bradysia,582.0,,1.82e-185,,338.0,,2.52e-114,
contig_478,2,Sciaridae,7184,0.5,Bradysia,466.0,,2.6e-154,,109.0,,7.37e-25,
contig_452,18,Endopterygota,33392,0.8888888888888888,Bradysia,307.41,338.16,2.0731258873285064e-08,8.19435287208898e-08,158.85,90.72,3.69e-21,5.218448045156721e-21
contig_467,8,Endopterygota,33392,0.625,Bradysia,286.6,157.94,3.2400000000000004e-20,7.244860247099319e-20,142.0,16.97,5.725e-35,4.900249993622775e-35
contig_439,28,cellular organisms,131567,0.75,Bradysia,270.92,192.19,2.0418343411051905e-14,7.95168575606643e-14,178.67,46.06,3.400000000000024e-34,5.888972745734162e-34
contig_451,20,Neoptera,33340,0.8,Bradysia,298.31,227.38,1.7999000003234578e-24,4.41250322289869e-24,82.2,19.11,2.393333340033336e-07,4.145374926979141e-07
contig_473,4,Endopterygota,33392,0.75,Endopterygota,228.0,113.46,1.24e-25,2.147743001385408e-25,317.0,,9e-95,
contig_453,18,Protostomia,33317,0.6111111111111112,Bradysia,284.2,280.08,7.88381828287e-06,2.4795764307860188e-05,133.32,92.34,1.40292e-07,3.123290833720101e-07
contig_475,5,Bradysia,35571,1.0,Bradysia,141.38,99.11,7.960000001572083e-10,1.7799101100019505e-09,,,,
contig_454,22,Protostomia,33317,0.7272727272727273,Bradysia,190.66,136.78,3.993357572312514e-08,1.5710167357111742e-07,151.86,165.02,2.52014e-07,3.4808291538080406e-07
contig_490,1,Nematocera,7148,1.0,Nematocera,457.0,,3.79e-142,,,,,
contig_480,8,Endopterygota,33392,0.625,Bradysia,197.4,95.89,6.02e-05,0.00013461129224548736,313.0,,1.87e-105,
contig_494,3,Bradysia,35571,0.6666666666666666,Bradysia,110.0,43.84,8.7e-16,1.2303657992645928e-15,,,,
contig_500,2,Bradysia,35571,1.0,Bradysia,169.5,24.75,2.260000000003315e-33,3.1961226509585064e-33,,,,
contig_501,1,Bradysia,35571,1.0,Bradysia,205.0,,3.26e-51,,,,,
contig_498,7,Sciaroidea,41830,0.8571428571428571,Bradysia,150.8,92.57,2.39588e-13,5.831878958963397e-13,,,,
contig_503,2,Bradysia,35571,0.5,Bradysia,208.0,,3.98e-52,,,,,
contig_496,11,cellular organisms,131567,0.5454545454545454,Bradysia,189.07,127.52,4.887689e-10,1.1524586356599789e-09,156.33,52.79,9.333333333333335e-22,1.6165807537309522e-21
contig_493,9,Diptera,7147,0.6666666666666666,Bradysia,254.98,210.6,1.4080333333333333e-05,3.42540438585967e-05,,,,
contig_499,8,Nematocera,7148,0.875,Bradysia,208.01,150.58,4.0571429804285717e-08,1.0734190979098166e-07,,,,
contig_497,9,cellular organisms,131567,0.6666666666666666,Bradysia,246.22,173.76,3.4666666666666666e-10,8.49156444164835e-10,164.5,62.93,4.265e-25,6.03162084352125e-25
contig_486,18,Neoptera,33340,0.6111111111111112,Bradysia,188.2,130.49,1.4011842636363635e-08,3.070468339739715e-08,314.67,265.41,1.0516666666812166e-12,2.5760467128198477e-12
contig_415,51,cellular organisms,131567,0.8235294117647058,Bradysia,277.54,275.99,2.7204600085904806e-07,1.5424600484966287e-06,85.77,47.99,6.945046289000102e-05,0.00016782484275807352
contig_432,59,Ecdysozoa,1206794,0.7457627118644068,Bradysia,184.98,138.26,1.4830909692904884e-05,7.05837615849952e-05,121.82,71.26,4.8394809337484615e-05,0.00017414995554255845
contig_485,21,Endopterygota,33392,0.8095238095238095,Bradysia,188.2,114.53,1.7116120050352942e-07,6.85408411711833e-07,202.73,263.5,0.00031506666666666666,0.0005429425506748696
contig_487,19,Hexapoda,6960,0.7368421052631579,Bradysia,207.48,154.1,3.4990719438571437e-13,1.2838505587741226e-12,237.5,144.96,1.5e-30,2.1213203435596426e-30
contig_436,46,Eukaryota,2759,0.5869565217391305,Bradysia,210.03,134.69,7.474344785185891e-07,3.6361678175550057e-06,229.99,196.23,1.1856480625005325e-06,4.566886020666457e-06
contig_468,26,Neoptera,33340,0.8461538461538461,Bradysia,218.52,188.59,2.488741201818182e-08,1.1550397188714287e-07,147.02,75.23,1.49253625e-13,2.984975834115956e-13
contig_488,23,Hexapoda,6960,0.7391304347826086,Bradysia,227.74,158.29,3.823530905882461e-07,1.5764815242337508e-06,170.35,118.21,6.275e-08,1.255e-07
contig_509,6,Endopterygota,33392,1.0,Bradysia,380.38,216.78,4.766666666666666e-15,1.1675901107266482e-14,,,,
contig_508,7,Endopterygota,33392,0.8571428571428571,Bradysia,167.75,119.89,2.2317166666666664e-10,5.4224020029565e-10,53.9,,1.25e-07,
contig_491,18,Protostomia,33317,0.7777777777777778,Bradysia,283.75,192.86,1.1214857858171429e-10,4.1959850360199413e-10,421.9,524.81,4.095e-07,5.791204537917824e-07
contig_519,1,Bradysia,35571,1.0,Bradysia,240.0,,4.1e-72,,,,,
contig_516,3,Bradysia,35571,1.0,Bradysia,294.0,185.39,2.03e-31,3.5160631393648213e-31,,,,
contig_520,2,Bradysia,35571,1.0,Bradysia,137.85,68.09,4.475e-15,6.328605691619601e-15,,,,
contig_492,18,Endopterygota,33392,0.8333333333333334,Bradysia,248.73,170.21,2.911966686921422e-06,1.1256024007690593e-05,178.0,,8.78e-42,
contig_505,20,Panarthropoda,88770,0.8,Bradysia,203.28,142.42,6.506273137503012e-09,2.0911152619050334e-08,90.3,23.62,9.250000000004025e-13,1.3081475451945437e-12
contig_525,4,Hexapoda,6960,0.25,Cecidomyiini,64.3,,1.81e-09,,177.8,85.9,1.3066666666666666e-11,2.2632130552233327e-11
contig_531,3,Endopterygota,33392,0.6666666666666666,Bradysia,106.85,38.4,2.75e-12,3.8890872965260115e-12,52.0,,7.78e-05,
contig_532,2,Bradysia,35571,1.0,Bradysia,234.5,140.71,1.855e-39,2.6233661582020914e-39,,,,
contig_464,38,Protostomia,33317,0.631578947368421,Bradysia,235.46,218.27,8.198699166696207e-07,3.854301360279739e-06,150.95,140.17,4.2634577171818173e-07,1.3943089439277356e-06
contig_527,5,Arthropoda,6656,1.0,Bradysia,212.2,61.58,6.64e-26,1.4847491370598601e-25,,,,
contig_522,9,cellular organisms,131567,0.6666666666666666,Bradysia,290.15,207.25,1.6833333333333376e-10,4.123307733685015e-10,171.5,111.1,4.701e-23,8.053334899282408e-23
contig_533,2,Endopterygota,33392,0.5,Bradysia,442.0,,2.06e-146,,72.4,,6.33e-13,
contig_528,6,Arthropoda,6656,1.0,Bradysia,178.97,97.97,3.350000000000004e-11,8.205790638323645e-11,,,,
contig_504,26,Endopterygota,33392,0.8846153846153846,Bradysia,185.98,146.67,3.0845608695736236e-07,1.2230243550636693e-06,67.6,18.24,1.3050116e-08,1.8455322940195655e-08
contig_512,15,Endopterygota,33392,0.6666666666666666,Bradysia,257.79,258.6,5.490134000425003e-12,1.736085727648191e-11,113.0,,5.55e-26,
contig_535,4,Diptera,7147,1.0,Bradysia,169.65,118.12,1.315e-10,2.63e-10,,,,
contig_403,75,Opisthokonta,33154,0.8133333333333334,Bradysia,264.18,234.7,2.709372796097049e-06,1.8297660469274352e-05,229.66,191.85,1.9361111111111109e-07,5.61414384488954e-07
contig_538,3,Sciaridae,7184,0.6666666666666666,Bradysia,433.0,414.36,8.65e-32,1.2232947314527273e-31,67.8,,1.38e-12,
contig_545,2,Nematocera,7148,1.0,Nematocera,160.5,132.23,4.925e-11,6.965001794687493e-11,,,,
contig_542,3,Nematocera,7148,0.6666666666666666,Bradysia,74.15,28.07,3.995000000000003e-05,5.649783181680512e-05,106.0,,1.19e-19,
contig_506,26,Neoptera,33340,0.7307692307692307,Bradysia,235.61,153.66,1.6405602631622814e-07,6.943060399707474e-07,95.78,60.33,4.955000000000568e-07,6.099844260306365e-07
contig_544,3,Sciaridae,7184,1.0,Bradysia,149.0,45.53,1.313333334283333e-26,2.2747600597844013e-26,,,,
contig_546,1,Sciaridae,7184,1.0,Sciaridae,82.8,,3.53e-12,,,,,
contig_534,6,Nematocera,7148,0.6666666666666666,Bradysia,213.5,97.46,2.2e-26,4.4e-26,272.5,241.12,4.99e-21,7.056925676241744e-21
contig_513,22,cellular organisms,131567,0.6363636363636364,Bradysia,275.44,233.6,2.2572857143074076e-14,7.416154823998813e-14,109.97,50.53,5.9333333333333335e-08,1.0276834791575339e-07
contig_507,27,Neoptera,33340,0.6666666666666666,Bradysia,228.46,143.21,1.8578888890207945e-08,7.481896911757996e-08,90.34,53.58,4.884019540001294e-07,7.528681253612299e-07
contig_511,26,Arthropoda,6656,0.8461538461538461,Bradysia,158.96,89.61,2.073008502700317e-07,9.721889930775359e-07,58.15,11.38,2.40500212e-06,3.4011806193745413e-06
contig_529,17,Endopterygota,33392,0.8235294117647058,Bradysia,218.06,164.1,1.0428571434613804e-07,3.902014131747484e-07,153.03,127.57,1.2233335760000002e-12,2.11887527777046e-12
contig_521,19,cellular organisms,131567,0.5263157894736842,Bradysia,177.26,108.71,6.151612713e-10,1.941233745953851e-09,148.16,100.42,8.825454095e-05,0.0002496068592610985
contig_514,26,Opisthokonta,33154,0.8846153846153846,Bradysia,271.12,148.01,9.261044904276956e-10,4.441353197951719e-09,241.07,205.85,7.166666666666667e-09,1.2413030787576953e-08
contig_565,1,Sciaridae,7184,1.0,Sciaridae,55.8,,1.88e-07,,,,,
contig_523,33,Panarthropoda,88770,0.8484848484848485,Bradysia,295.79,326.14,1.5518614322331967e-10,7.6051240892755e-10,115.72,55.18,2.022500000000055e-06,4.044999999999964e-06
contig_510,30,Endopterygota,33392,0.6666666666666666,Bradysia,220.75,184.43,1.1351442674955207e-06,5.075840392610498e-06,162.54,116.7,9.6402e-07,2.1499726281978567e-06
contig_568,2,Nematocera,7148,0.5,Nematocera,102.0,,1.7e-18,,221.0,,9.48e-55,
contig_412,85,cellular organisms,131567,0.7294117647058823,Bradysia,204.72,170.46,1.4677529546410095e-06,1.1557010134813486e-05,103.77,56.41,1.926246473366319e-06,6.051323906250713e-06
contig_571,3,Endopterygota,33392,0.6666666666666666,Bradysia,213.5,99.7,2.46e-36,3.4789653634378136e-36,88.6,,8.32e-17,
contig_577,2,Pseudolycoriella hygida,35572,0,Pseudolycoriella hygida,,,,,53.1,,3.27e-08,
contig_524,28,Hexapoda,6960,0.7142857142857143,Bradysia,200.02,114.03,1.2850005850000528e-05,5.746694564480329e-05,265.94,204.95,8.142857142876285e-07,2.154397496151751e-06
contig_555,6,Bilateria,33213,0.3333333333333333,Sciaridae,268.0,165.46,3.16e-35,4.4689148570989803e-35,99.15,56.36,6.7e-09,9.475230867899736e-09
contig_588,1,Bradysia,35571,1.0,Bradysia,129.0,,2.78e-26,,,,,
contig_541,24,Hexapoda,6960,0.6666666666666666,Bradysia,175.02,149.66,3.2687815271381384e-05,0.00013074991593354767,109.16,50.5,1.1100000737150415e-08,2.9367839227764238e-08
contig_572,6,Endopterygota,33392,0.5,Bradysia,123.23,54.68,2.49e-11,4.3128065108465045e-11,302.5,19.09,2.431e-94,2.4168909780956196e-94
contig_594,3,Sciaroidea,41830,0.6666666666666666,Bradysia,337.0,166.88,6.25e-59,8.838834764831844e-59,,,,
contig_589,6,Diptera,7147,1.0,Bradysia,177.82,141.86,9.5500000035e-09,2.3392627041864706e-08,,,,
contig_537,28,Ecdysozoa,1206794,0.7142857142857143,Bradysia,303.94,223.41,1.1900000700000003e-08,5.3218417699732175e-08,228.12,192.53,2.9600000276000003e-06,6.618761197970509e-06
contig_579,9,Endopterygota,33392,0.7777777777777778,Bradysia,138.6,124.12,6.495257142959398e-09,1.7155397133107725e-08,,,,
contig_580,9,cellular organisms,131567,0.6666666666666666,Bradysia,141.18,102.23,9.700000003988949e-09,2.376005050304265e-08,53.5,,8.37e-07,
contig_536,32,Neoptera,33340,0.59375,Bradysia,312.99,240.93,5.6412473684659475e-08,2.430426015939243e-07,133.99,69.44,5.163503e-09,1.6281037155117363e-08
contig_547,32,Eukaryota,2759,0.90625,Bradysia,227.74,152.73,6.392531035844406e-10,3.321729498860346e-09,92.0,,5.09e-21,
contig_570,16,Arthropoda,6656,0.625,Bradysia,218.67,121.26,9.270000000004291e-08,2.9314313909759365e-07,91.45,42.41,5.901965000000005e-06,1.1798690581793384e-05
contig_600,3,Sciaridae,7184,0.3333333333333333,Bradysia,1263.0,,0.0,,696.0,,1.13e-220,
contig_553,24,Bilateria,33213,0.75,Bradysia,148.86,78.24,3.145438889003412e-09,9.093907646233499e-09,143.6,106.63,1.36e-09,1.9233304448274092e-09
contig_552,23,Bilateria,33213,0.7391304347826086,Bradysia,190.65,155.26,8.737860181176479e-12,2.4550873453582293e-11,64.17,18.97,8.237800000366666e-06,1.4256684976211631e-05
contig_603,1,Diptera,7147,1.0,Diptera,55.8,,1.49e-07,,,,,
contig_601,3,Sciaridae,7184,0.3333333333333333,Bradysia,628.0,,1.7e-197,,343.0,,2.08e-94,
contig_597,7,Pancrustacea,197562,0.5714285714285714,Bradysia,167.0,71.11,7.754999999999999e-24,1.3571542530849857e-23,57.95,4.6,2.1139500000000002e-08,2.87940952366974e-08
contig_550,31,Protostomia,33317,0.7419354838709677,Bradysia,234.4,242.08,4.008700130505391e-06,1.3286523307258966e-05,97.12,38.34,7.6600000151472e-07,1.7128280699180846e-06
contig_598,8,Pancrustacea,197562,0.625,Bradysia,196.4,96.68,2.1801686000000013e-26,4.8745339543519217e-26,68.55,6.58,1.07395e-09,1.4227695544254522e-09
contig_569,24,Arthropoda,6656,0.6666666666666666,Bradysia,156.82,101.23,4.210000017135871e-05,0.0001645469739961096,147.5,130.91,2.2541716057143144e-07,5.929126484904007e-07
contig_566,23,Endopterygota,33392,0.782608695652174,Bradysia,250.56,153.45,6.278355555555557e-11,2.663421134278292e-10,54.5,6.22,8.82485e-07,1.2409936141858265e-06
contig_259,1,Bradysia,35571,1.0,Bradysia,171.0,,2.6e-38,,,,,
contig_596,12,Nematocera,7148,0.9166666666666666,Bradysia,369.08,278.09,1.6090909145272727e-11,5.3367507972233784e-11,143.0,,5.4e-36,
contig_551,29,Protostomia,33317,0.8275862068965517,Bradysia,219.56,185.24,4.291673172595845e-07,2.1024785573143935e-06,112.72,39.62,2.526945e-14,5.0487046654331706e-14
contig_548,35,Eukaryota,2759,0.8285714285714286,Bradysia,179.72,112.35,1.3307504612176145e-08,4.4443483202332906e-08,81.45,14.92,1.50000000245e-12,2.1213203400948194e-12
contig_595,19,Panarthropoda,88770,0.9473684210526315,Bradysia,429.89,394.5,6.333333333333334e-16,2.6870057685088807e-15,109.0,,7.93e-25,
contig_607,8,Neoptera,33340,0.875,Bradysia,221.23,159.84,2.557142872285714e-05,6.765564060187794e-05,,,,
contig_261,11,Endopterygota,33392,0.7272727272727273,Bradysia,194.45,151.71,2.740460013125e-14,7.541753916450768e-14,224.0,52.33,1.55e-53,2.1920310216782974e-53
contig_599,18,Opisthokonta,33154,0.5555555555555556,Bradysia,291.48,283.08,2.2300000078499998e-05,7.051879179417277e-05,77.25,25.06,2.4742983333335264e-08,4.1476584635207756e-08
contig_275,2,Endopterygota,33392,1.0,Endopterygota,212.8,192.62,2.57e-14,3.634528855298854e-14,,,,
contig_435,128,Bilateria,33213,0.734375,Endopterygota,188.86,149.78,1.2639103890745487e-07,8.228923280114235e-07,167.78,108.16,5.932155135762557e-06,3.193938303521795e-05
contig_263,11,Nematocera,7148,0.6363636363636364,Bradysia,325.53,501.35,2.8498716471428584e-12,7.51842217460642e-12,68.9,,2.85e-07,
contig_557,47,Opisthokonta,33154,0.7021276595744681,Bradysia,227.62,171.71,1.737294091939394e-07,7.796850901781844e-07,188.26,231.55,4.816157183714415e-05,0.00012736578435633674
contig_265,13,Hexapoda,6960,0.6153846153846154,Endopterygota,138.44,61.79,1.483181250000635e-19,2.652183407514658e-19,102.36,58.58,0.00015710000000000024,0.0003175032283300438
contig_562,49,Opisthokonta,33154,0.6938775510204082,Bradysia,167.3,163.26,1.8647408579606688e-06,8.261619706968329e-06,114.08,95.35,6.553850459977461e-05,0.00018092612612907917
contig_262,21,Endopterygota,33392,0.8095238095238095,Endopterygota,154.12,96.9,3.834769236446176e-09,1.476601538158227e-08,116.3,91.18,3.1333333374666667e-06,5.4270925268029105e-06
contig_606,22,Eukaryota,2759,0.8636363636363636,Bradysia,226.13,131.58,4.3002700055789474e-05,0.0001874320010922501,108.8,59.68,2.27e-12,3.2102647865869255e-12
contig_608,25,cellular organisms,131567,0.72,Bradysia,197.49,149.78,4.627781000000014e-07,1.9633997486787483e-06,122.4,74.48,1.4400026e-08,2.8799982666708395e-08
contig_266,19,Opisthokonta,33154,0.7894736842105263,Bradysia,269.06,201.3,1.2630528399999998e-13,4.879128664519442e-13,271.97,308.79,7.233333333333333e-12,1.252850084141488e-11
contig_605,26,root,1,0.6153846153846154,Bradysia,176.64,90.27,1.678750168750083e-08,6.386738165577962e-08,147.48,126.42,1.0410628596250001e-06,2.9411362534251138e-06
contig_280,1,Unassigned,,0,,,,,,,,,
contig_279,2,Sciaridae,7184,0.5,Bradysia,378.0,,3.01e-127,,58.9,,4.76e-05,
contig_283,2,cellular organisms,131567,0.5,cellular organisms,73.9,,9.19e-15,,49.7,,1.02e-06,
contig_289,1,Arthropoda,6656,1.0,Arthropoda,100.0,,7.37e-26,,,,,
contig_556,92,Opisthokonta,33154,0.6195652173913043,Bradysia,252.94,201.42,1.4943946821123397e-07,8.303315928213251e-07,151.21,177.55,2.0940065125825664e-05,7.540608957499658e-05
contig_297,1,Bradysia,35571,1.0,Bradysia,90.1,,9.79e-16,,,,,
contig_296,2,Endopterygota,33392,1.0,Bradysia,109.7,28.71,8.9e-16,1.2586500705120548e-15,,,,
contig_298,4,Endopterygota,33392,0.75,Bradysia,220.67,115.79,3.466666667296667e-36,6.004442799026512e-36,53.5,,2.18e-06,
contig_286,7,Opisthokonta,33154,0.7142857142857143,Bradysia,158.58,64.74,2.5000000000000724e-09,5.590169943749434e-09,203.9,216.52,9.55e-06,1.3505739520663059e-05
contig_290,9,root,1,0.4444444444444444,cellular organisms,135.52,128.66,1.6628475000784998e-10,3.324768397850229e-10,128.0,48.01,4.1999999999999997e-16,9.391485505499115e-16
contig_301,3,Sciaridae,7184,0.3333333333333333,Pseudolycoriella hygida,466.0,,4.8e-165,,117.0,,1.34e-26,
contig_309,3,Sciaridae,7184,0.3333333333333333,Pseudolycoriella hygida,132.0,,1.6e-36,,64.7,,2.95e-11,
contig_302,6,Endopterygota,33392,0.6666666666666666,Bradysia,204.42,179.67,1.0175e-08,2.0350000000000004e-08,170.0,,2.49e-48,
contig_311,2,Bradysia,35571,1.0,Bradysia,242.0,106.07,1.43e-50,2.0223253941935258e-50,,,,
contig_287,8,Opisthokonta,33154,0.75,Bradysia,177.83,57.46,1.6266667965683333e-26,3.984503251288755e-26,371.9,454.1,1.115e-05,1.576848122046001e-05
contig_316,5,Endopterygota,33392,0.6,Endopterygota,371.67,37.58,7.366666666666667e-97,1.275944094909073e-96,202.5,6.36,2.0000021249999998e-57,2.82842411954237e-57
contig_299,12,Endopterygota,33392,0.6666666666666666,Endopterygota,197.76,152.29,1.475000006336e-11,4.1719300064405e-11,120.65,63.6,7.8272125e-12,1.564852555612269e-11
contig_294,15,Eukaryota,2759,0.7333333333333333,Bradysia,220.29,213.76,6.510308184909107e-08,2.129106973978682e-07,149.1,128.55,0.0003365,0.00047588286373854646
